name,id,parent_id,elevation,latitude,longitude
Alabama,105905173,,572,33.761, -86.88
BankHead Forest/ Thompson Creek Trail,107605102,105905173.0,,33.761, -86.88
The Journey Area,107605155,107605102.0,,33.761, -86.88
Will Robinson Area,107605138,107605102.0,,33.761, -86.88
Bankhead Forest/Ship Rock,106248455,105905173.0,,33.761, -86.88
bankhead forest/sipsey picnic area,108146250,105905173.0,,33.761, -86.88
Cherokee Bluffs,106833394,105905173.0,397,32.671, -85.908
Chewacla State Park,109749052,105905173.0,501,32.549, -85.478
Colbert Heights,106222485,105905173.0,842,34.678, -87.705
Cliffline.,106322475,106222485.0,,34.678, -87.705
Main Boulder Area,106322465,106222485.0,,34.678, -87.705
Overhang,106322471,106222485.0,,34.678, -87.705
Slabs,106322456,106222485.0,,34.678, -87.705
Coosa Slabs,106087709,105905173.0,204,32.613, -86.252
The Dumps,110705691,105905173.0,"1,048",34.484, -86.278
Fort Rucker Climbing Wall,114296768,105905173.0,351,31.325, -85.718
Griffin Falls,105923472,105905173.0,731,34.288, -85.924
Gulf State Park-Boulder Park,114570504,105905173.0,12,30.275, -87.607
Home Crag Boulders  a.k.a. Sherriff Boulders,106363568,105905173.0,,33.761, -86.88
Horse Pens 40,106094862,105905173.0,"1,295",33.921, -86.308
Deck Area/Front Slabs,107366748,106094862.0,,33.929, -86.249
Flat Roof Boulder,111547302,106094862.0,"1,288",33.92, -86.31
Hang Loose Area,107368521,106094862.0,,33.929, -86.249
HP Canyon,108475590,106094862.0,"1,402",33.92, -86.309
Kiss boulders,107370074,106094862.0,,33.929, -86.249
The Middle,112418061,106094862.0,"1,250",33.921, -86.309
Out of the Box area,117742739,112418061.0,"1,409",33.92, -86.309
Skywalker Area,112418067,112418061.0,"1,254",33.921, -86.309
The Middle/ Flow Area,107409381,106094862.0,,33.921, -86.309
Mortal Combat Area/ Light Post Boulders,107370149,106094862.0,,33.929, -86.249
Mortal Combat Area/ Mortal Combat boulders,107370335,106094862.0,,33.929, -86.249
Mulletino Boulder.,107366734,106094862.0,,33.921, -86.308
Point Boulders (Crown Boulder),111400232,106094862.0,"1,370",33.92, -86.311
Point Boulders (Eight Ball Boulder),111400079,106094862.0,"1,369",33.92, -86.311
Point Boulders (Highlife Boulder),111400091,106094862.0,"1,369",33.92, -86.311
Point Boulders (Redneck Boulder),111663596,106094862.0,"1,296",33.92, -86.311
Roadside Boulders/Cadillac Thrills Boulder,118272556,106094862.0,"1,416",33.921, -86.308
Slider Boulders,108029336,106094862.0,"1,317",33.92, -86.31
The Lady Slipper Boulder,108029415,108029336.0,,33.94, -86.238
The Slider Boulder,108029340,108029336.0,,33.94, -86.238
Uniball Area,111663640,108029336.0,"1,283",33.92, -86.311
Spirit Area,107367447,106094862.0,,33.921, -86.308
Supa Coola Area,107418665,106094862.0,,33.929, -86.249
Supa Coola Area/ Millipede Boulder,107418508,106094862.0,,33.921, -86.309
Suspicion Boulders,107368492,106094862.0,,33.929, -86.249
Ten Pins Area,107366669,106094862.0,,33.921, -86.308
Turtle Rock Area/ Corridors Area,107373214,106094862.0,,33.921, -86.309
Turtle Rock Area/ Landslide Boulders,107387135,106094862.0,,33.929, -86.249
Turtle Rock Area/ Panty Shields Boulder,107387221,106094862.0,,33.921, -86.309
Turtle Rock Area/ Slabolicious Block,107380424,106094862.0,,33.929, -86.249
Turtle Rock Area/ Small Stage Boulder,107372845,106094862.0,,33.929, -86.249
Turtle Rock Area/ Turtle Boulder,107388349,106094862.0,,33.921, -86.309
Turtle Rock Area/ Warning Signs Boulder,107378742,106094862.0,,33.921, -86.309
Turtle Rock Area/ Whiplash Boulders.,107387366,106094862.0,,33.921, -86.309
"Turtle Rock, Big Boulder",107372766,106094862.0,,33.929, -86.249
Turtle Rock/ Natural Boulder,107380328,106094862.0,,33.921, -86.309
Vandala Boulder,107366720,106094862.0,,33.929, -86.249
The Wash,107367802,106094862.0,,33.929, -86.249
Hospital Boulders,107890555,105905173.0,"1,127",34.076, -86.018
Barn Area,112428108,107890555.0,"1,140",34.077, -86.018
Eddie Area,112428114,107890555.0,"1,130",34.077, -86.018
Lower Area,112428119,107890555.0,"1,079",34.077, -86.017
Hurricane Creek Park,106161967,105905173.0,"1,004",34.287, -86.895
Hurricane Creek Park (Tuscaloosa),115965038,105905173.0,242,33.214, -87.45
Hurricane Creek Bouldering Problems,116072797,115965038.0,245,33.214, -87.451
"I'm ""Lichen"" these Cliffs Area",116072925,116072797.0,271,33.214, -87.45
"""Gneiss"" Cliff",116072929,116072925.0,261,33.214, -87.45
Moss Cliff,116072951,116072925.0,262,33.214, -87.45
Peace Cave,116540932,116072797.0,226,33.214, -87.451
Peace Cave,116541185,116540932.0,220,33.214, -87.451
Shattered Cliffs,116541205,116540932.0,219,33.215, -87.451
The Rocks that are Higher than I Bouldering Area,116072812,116072797.0,248,33.214, -87.449
AL Rock,116072897,116072812.0,246,33.214, -87.449
All The Cave,116485013,116072812.0,250,33.214, -87.45
Joelder,116072819,116072812.0,238,33.214, -87.449
The Rock that is Higher than I,116072856,116072812.0,248,33.214, -87.449
Roof Rock Area,116484817,116072797.0,229,33.215, -87.452
Near Side Cliffs,116541090,116484817.0,264,33.215, -87.454
