name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Bombs Away,107717687,Trad,107605138,5.8-,70,1,3.0,2.0,Climb a juggy face with many large rounded edges. There are three small buldges that lead to an airy point overlooking Thompson Creek. Test for loose rock/flakes diligently.,"{200015822: 4, 106800942: 2}"
"""Stonyman""",106248472,Trad,106248455,5.12a,80,1,4.0,1.0,"Beautiful 100 ft. gray wall,Crux is changing from the right arching hands to fingers crack, to transitioning into the smooth arete.",{106092355: 4}
Arrow Head,106249536,Boulder,106248455,V3-4,30,1,4.0,1.0,"Crux is the top. Careful going over the top, steep on the back side (exit the back side of boulder). Note: This is a high ball!",{106092355: 4}
Bubba,106249545,Boulder,106248455,V0-1,12,1,2.0,1.0,"Nice boulder, top out is slopey! Start on a horizontal down low and rock up right to another crack and to obvious holds near top.Crux at the top. Easy climb down back side.",{106092355: 2}
Cutting Teeth,106651430,Trad,106248455,5.10a,45,1,3.5,2.0,"follow obvious corner crack until it starts sweeping right to a ledge,fire straight up at this point through a blank section then left to the topout.great route","{106651241: 4, 106904857: 3}"
Father and Son,106248462,Trad,106248455,5.8,60,1,3.0,2.0,"Very clean hand size crack, solid pro. At the small boulder at the top go left and beware of loose rock on top. At the top under an overhang,scramble right to the top of the overhang rap off tree.","{106092355: 3, 106651241: 3}"
Fuzzy Crack,106249484,Trad,106248455,5.7,20,1,2.0,2.0,The crux is at the place where the crack goes left a little. Not a bad crack to warm up on.  The crack is covered with green moss.,"{106092355: 2, 106651241: 2}"
Live To Climb Another Day,106651418,Trad,106248455,5.9-,50,1,3.0,2.0,"the crux for me is topping out ,you come out of a corner crack onto a mossy ledge where you rap off. A second run above this huge ledge has been added, going through  big slot with one hanger to get you through. When you get to the next ledge, that will be behind you, step over and scramble up to a set of rap anchors. By this time you are above the canopy. Great view!","{106651241: 3, 106092355: 3}"
ride the lighting,107484556,Trad,106248455,5.10c,40,1,4.0,1.0,almost vertical splitter crack up face with no other features,{106651241: 4}
Storm Trooper,106651422,Boulder,106248455,V1-,20,1,4.0,1.0,throwing from a two finger crimp to a huge jug(5ft.),{106651241: 4}
way of the hand,107484544,Trad,106248455,5.11a,45,1,4.0,1.0,long arching splitter crack on slick stone leading into an obvious corner,{106651241: 4}
[Redacted],108146254,Boulder,108146250,V3-4,0,1,4.0,1.0,starts on pocketed over hanging north side of pavillion boulder.traverses right across  face up and over lip crux is catching lip and toping out love this route!,{106651241: 4}
A Good Life,106833521,Sport,106833394,5.8,25,1,2.8,6.0,This route is located in the middle of the cliff line. around the corner from A Hard Life. It starts out with good hand holds and goes to some small crimps. Using the arete on one move helps a lot.,"{107186479: 4, 106513687: 3, 112172298: 3, 200761603: 3, 200061863: 2, 106952502: 2}"
A Hard Life,114026883,Sport,106833394,5.11b/c,25,1,3.7,3.0,pretty obvious climb just right up the hill from Salute Your Shorts. probably one of the best hard routes at CB. Very techy Newly bolted on 1/19/2018.,"{112172298: 4, 200061863: 4, 111737928: 3}"
Angie's Crack,112291812,Trad,106833394,5.10+,20,1,3.3,4.0,Large crack running vertically to the left on the same wall as Slim Jim,"{107186479: 4, 112172298: 3, 109409153: 3, 200374208: 3}"
Book Of Eddy,114365032,Trad,106833394,5.8+,30,1,3.0,1.0,"Open book dihedral climbs at 5.6ish to the overhang. Right of the overhang/small roof is a 5.9ish topout.   Gear Anchor in a wide crack above route, or walls the huge ledge right to the anchor on Stolen.",{107186479: 3}
The Crescent,114008284,Boulder,106833394,V4+,10,1,3.2,5.0,Start lower left matched on the sidepull/crimp. Move out right to large horizontal flake. Get good a good foot on the start hold. Move to the small “Crescent” shaped crimp rail. Bare down for a large move to the top or to a lower crimp just below the rail. Get better feet and mantle out.   Down climb the corner of scramble down the other side. Named after the crescent shaped crimp on the upper face. A really great problem,"{200197965: 4, 112172298: 4, 200224556: 3, 200280189: 3, 107186479: 2}"
