name,id,parent_id,elevation,latitude,longitude
Alaska,105909311,,75,64.737, -150.732
Anchorage & South Central Alaska,106905072,105909311.0,107,61.217, -149.876
Anchorage & South Central Ice Climbing,105909315,106905072.0,75,61.213, -149.867
Beer Climbs,111518793,105909315.0,126,61.496, -149.06
Bellicose Peak,111128457,105909315.0,"7,640",61.241, -149.035
Caribou Creek,109775188,105909315.0,,61.213, -149.867
Eklutna Canyon,105909785,105909315.0,"1,889",61.353, -149.34
Homer,107320915,105909315.0,,61.213, -149.867
Hunter Creek,106625621,105909315.0,229,61.442, -148.81
The Amphitheater,106625637,106625621.0,,61.442, -148.81
East Fork,113352563,106625621.0,683,61.413, -148.813
Lower Hunter,111605164,106625621.0,391,61.43, -148.815
West Fork,113352596,106625621.0,596,61.413, -148.819
Kenai Peninsula ice climbing,106360187,105909315.0,799,60.751, -149.453
Grewink Lake and Glacier,110040237,106360187.0,150,59.605, -151.102
Victor Creek,106360191,106360187.0,480,60.43, -149.371
Knik Gorge,113587747,105909315.0,149,61.384, -148.59
Matanuska Glacier,106040546,105909315.0,"1,590",61.774, -147.754
Mount Yukla,107799645,105909315.0,"7,535",61.213, -149.867
Nantina Point,107943863,105909315.0,"6,850",61.213, -149.867
Ninilchik & Deep Creek,112539145,105909315.0,94,60.035, -151.696
O'Malley Peak,113352632,105909315.0,"3,860",61.105, -149.581
Portage,105955086,105909315.0,33,60.881, -148.91
Seward Highway,105909323,105909315.0,75,61, -149.648
"Snowbird Glacier, Talkeetna Mountains",106470514,105909315.0,,61.213, -149.867
Valdez,107034714,105909315.0,"3,708",61.125, -145.891
19 Mile Wall,108941763,107034714.0,967,61.115, -145.803
Bear Creek,108027071,107034714.0,565,61.101, -145.866
Heiden Canyon Zone,112802918,107034714.0,887,61.107, -145.753
Hole In The Wall,108939309,107034714.0,399,61.041, -145.911
Keystone Canyon,107079734,107034714.0,400,61.125, -145.891
Keystone Canyon Tunnel Wall,108623336,107034714.0,632,61.085, -145.893
Mineral Creek Ice Climbs,108616046,107034714.0,505,61.153, -146.352
Sheep Creek,108940874,107034714.0,899,61.123, -145.826
Shwall,113881098,107034714.0,138,61.142, -146.367
Snowslide Gulch,110021414,107034714.0,,61.125, -145.891
Solomon Gulch,108617447,107034714.0,197,61.082, -146.305
Thompson Pass,107102960,107034714.0,"2,300",61.159, -145.747
27 Mile Pk,110795848,107102960.0,"5,250",61.158, -145.772
Cracked Ice,111013744,107102960.0,"6,300",61.157, -145.587
Girls Mt.,110791867,107102960.0,"6,134",61.182, -145.775
Little Matterhorn,110862621,107102960.0,"5,100",61.159, -145.747
Loveland PK,110915855,107102960.0,"5,655",61.139, -145.803
Sapphire PK,110787776,107102960.0,"6,300",61.156, -145.796
Barbara Falls,116613587,106905072.0,554,61.286, -149.476
Chickaloon Boulders,106905178,106905072.0,738,61.765, -148.534
The House of Bouldering,106906353,106905178.0,741,61.764, -148.536
Supernova and Pop Start Boulders.,106906347,106905178.0,745,61.765, -148.534
The V1 Boulder,107171013,106905178.0,,61.765, -148.534
Deep Water Bay,110562421,106905072.0,37,60.483, -148.386
Eagle River,109175270,106905072.0,599,61.208, -149.252
Dew Mound,110682958,109175270.0,760,61.205, -149.252
Arrowhead Wall,110682997,110682958.0,,61.205, -149.252
Dew Mound - Lower Wall,110682964,110682958.0,,61.205, -149.252
"Frostbite Boulders- Anchorage, AK",106436706,109175270.0,604,61.21, -149.254
Kiliak Wall,108339771,109175270.0,824,61.211, -149.25
East Twin Peak,110890814,106905072.0,"5,840",61.445, -149.145
Girdwood- Ryan's Rip,108969342,106905072.0,"1,927",60.96, -149.085
Goat Rock,113572394,106905072.0,"5,233",61.443, -149.168
Hatcher Pass,106207101,106905072.0,"3,773",61.813, -149.255
"Archangel Valley Bouldering - Diamond, Fairangel, Monolith, Roadside, Indianhead",108216560,106207101.0,"2,913",61.812, -149.235
Archangel Bouldering,106931452,108216560.0,"2,927",61.813, -149.233
Aldershade,109088251,106931452.0,"2,192",61.788, -149.203
Diamond South Boulders,106976435,106931452.0,,61.813, -149.233
Dimond North,106931487,106931452.0,"3,359",61.816, -149.249
Fairangel Valley Area,106931477,106931452.0,"3,529",61.828, -149.244
Girlfriend Boulder,108356346,106931477.0,"3,189",61.818, -149.254
Indian Head Boulder,109091842,106931452.0,,61.813, -149.233
Lost World/Middle Earth,109301288,106931452.0,"2,831",61.81, -149.229
Monolith Area,119402312,106931452.0,"3,561",61.825, -149.245
Zoolander & Campus Boulders,119402345,119402312.0,"3,561",61.825, -149.244
Archangel Valley Sport and Traditional Climbing,106207107,106207101.0,"3,037",61.817, -149.238
3rd Generation Wall,108036829,106207107.0,,61.817, -149.238
Aurora Slab,106801478,106207107.0,"4,245",61.81, -149.25
Catch The Wave,108589786,106207107.0,,61.817, -149.238
The Diamond,106207116,106207107.0,"3,177",61.815, -149.243
Fairangel Gap and Valley,108254468,106207107.0,"4,275",61.816, -149.27
BPR Wall,110696690,108254468.0,"5,311",61.823, -149.264
The Sugar Cube,114556640,108254468.0,"4,375",61.816, -149.272
Tin Can Rock,108255973,108254468.0,,61.816, -149.27
Tunnel Vision Wall,108787479,108254468.0,"3,496",61.82, -149.258
Fairangel Walls,108244704,106207107.0,"3,037",61.817, -149.238
Wishbone,113288839,108244704.0,"3,572",61.827, -149.244
The Gargoyle,106773769,106207107.0,,61.817, -149.238
Green Gully,108036717,106207107.0,"3,420",61.814, -149.244
The Guardian,113227087,106207107.0,"4,000",61.81, -149.25
The Jungle Gym,108244709,106207107.0,,61.817, -149.238
Lane Prospect Area,113377338,106207107.0,"4,818",61.843, -149.233
Bear's Den,113377344,113377338.0,"4,500",61.844, -149.232
Rogers Roof,115146251,113377338.0,"4,837",61.843, -149.237
The Lost Wall,108417456,106207107.0,"3,865",61.811, -149.25
The Monolith,106207122,106207107.0,"3,407",61.825, -149.243
PBR Wall,115185784,106207107.0,"3,605",61.812, -149.245
Std walls,108244642,106207107.0,,61.817, -149.238
Tarzan's Temple,108036810,106207107.0,,61.813, -149.268
Warmup Wall,108244674,106207107.0,,61.817, -149.238
The White Spot,109190591,106207107.0,,61.813, -149.243
Yellow Brick Road,113227365,106207107.0,"4,000",61.81, -149.252
Zulu Wall,106795191,106207107.0,,61.296, -149.592
Glacier Creek Drainage and Snowbird Glacier,109699901,106207101.0,"5,000",61.758, -149.295
Because it's there Wall,106470541,109699901.0,,61.758, -149.295
Didilkama,109700731,109699901.0,"6,100",61.838, -149.215
Glacier Creek Bouldering,110782050,109699901.0,425,61.595, -149.442
Lower Spire,113446826,109699901.0,"6,029",61.846, -149.189
Northwest face of Lower spire,110688071,109699901.0,"5,000",61.762, -149.265
Nunatak,111959100,109699901.0,"4,191",61.838, -149.258
Whale Beak Buttress,113367287,109699901.0,"5,494",61.84, -149.214
Independence Mine Bouldering and Climbing,106931730,106207101.0,"5,025",61.837, -149.27
Black Face Boulder,111935663,106931730.0,"4,927",61.838, -149.27
Captain Kaboom Boulders,107267919,106931730.0,,61.837, -149.27
Crucifix Boulder,107267968,106931730.0,,61.837, -149.27
The Cube Boulder,108274527,106931730.0,,61.837, -149.27
Gold Cord Lake,117946914,106931730.0,"3,966",61.797, -149.263
Independence Crag,109080449,106931730.0,,61.792, -149.295
King Louie Boulder,119048588,106931730.0,"3,732",61.792, -149.292
The Mine,114940351,106931730.0,"4,462",61.803, -149.291
Moai Wall,111992708,106931730.0,"5,149",61.837, -149.278
Phantasia Boulders,107267931,106931730.0,,61.837, -149.27
Pinnacle area,113551426,106931730.0,"5,418",61.807, -149.262
The Pinnacle,113551460,113551426.0,"5,351",61.808, -149.262
Ramparts Wall,114946004,106931730.0,"4,448",61.792, -149.298
The Red Scare Boulder,108273116,106931730.0,,61.837, -149.27
Renaissance Wall,117325924,106931730.0,"4,667",61.804, -149.282
Such Awesome,108273089,106931730.0,,61.837, -149.27
Upper Tier walls,109148620,106931730.0,"4,500",61.837, -149.27
Mint Area,118586602,106207101.0,"4,947",61.864, -149.07
Troublemint Peak,118611883,118586602.0,"6,634",61.859, -149.043
Reed Lakes Bouldering and Climbing,106207110,106207101.0,"3,680",61.83, -149.19
The Barnyard,110850477,106207110.0,"3,500",61.831, -149.172
Birds of Prey,113091644,106207110.0,"3,461",61.831, -149.181
The Crack Garden,111999938,106207110.0,"3,358",61.817, -149.209
The Crack Garden,111999973,111999938.0,"3,266",61.817, -149.209
Garden Party Buttress,111999954,111999938.0,"3,306",61.817, -149.209
Hanging Garden,112043883,111999938.0,"3,345",61.817, -149.209
Dermatologist's Dream Wall,106803070,106207110.0,,61.83, -149.183
Falcon Slab/Zydeco Wall,109230288,106207110.0,"3,561",61.83, -149.173
Fatal Attraction Wall,113456369,106207110.0,"3,397",61.829, -149.172
The High Dive,106801265,106207110.0,,61.844, -149.161
Inferno wall,110964476,106207110.0,,61.828, -149.174
Mile High Wall,109707975,106207110.0,"4,418",61.834, -149.181
Main Wall,117390726,109707975.0,"5,304",61.845, -149.185
The Shield,115134010,109707975.0,"4,415",61.834, -149.181
Two toke tower,109775832,109707975.0,"5,650",61.834, -149.181
Mint hut,117788360,106207110.0,"4,833",61.861, -149.089
Monkey Face,113244939,106207110.0,"4,000",61.844, -149.165
Outpost Peak,119623835,106207110.0,"5,693",61.839, -149.144
Pulp Culture Wall,110864868,106207110.0,"3,500",61.829, -149.173
Reed Creek Wall,110850597,106207110.0,"3,500",61.83, -149.175
Reed Lakes Bouldering,106931717,106207110.0,"3,435",61.83, -149.175
Lower Reed Lake Boulders,109419015,106931717.0,"3,908",61.838, -149.166
trailside boulder,109419040,109419015.0,9,61.839, -149.162
Lower Reed Valley Bouldering,110650757,106931717.0,"2,672",61.824, -149.183
Nugget Boulder,109126377,110650757.0,"2,646",61.823, -149.183
Snowbird Slab Talus,110650766,110650757.0,"2,836",61.826, -149.182
Poetry Boulder,110651958,110650766.0,,61.826, -149.182
SnowBird Slab/Cornerstone,106806463,106207110.0,,61.83, -149.19
Spradlin spire,110653660,106207110.0,"4,685",61.842, -149.114
Long Lake (Revised),107171034,106905072.0,,61.217, -149.876
Lower Long Lake Boulders,107171045,107171034.0,,61.217, -149.876
Upper Long Lake,107171040,107171034.0,,61.217, -149.876
Metal Creek/Carpenter Creek/Friday Creek,119578819,106905072.0,"7,465",61.635, -148.477
Ice Cream Cone Mountain/Skybuster Peak,119578853,119578819.0,"8,678",61.636, -148.468
O'Malley Peak,113352664,106905072.0,"4,819",61.058, -149.602
Portage,105849288,106905072.0,356,60.762, -148.845
Bear Valley Wall,119612316,105849288.0,224,60.791, -148.824
Byron Glacier Bouldering,108256000,105849288.0,350,60.763, -148.846
