name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Kachemak Crack,107324402,Trad,107320915,5.7,70,1,1.0,1.0,Cruxy start with poor placement for the first 10-15 feet coupled with a nasty area to land if you do happen to peel off.  Then cruise up the veiny cracks to the chains.,{106771928: 1}
Salty Dawg,107324612,Trad,107320915,5.10a,115,1,2.0,1.0,"Start up the steppy corner staying in the dihedral as much as possible.  6 bolts, bring cams for longer run out sections.  Crux about midway at an overhanging slab.  Work left at the top of climb.",{106771928: 2}
South Ridge,110862625,Trad,110862621,Easy,2800,1,2.0,1.0,"Park at mile marker 28, cross Ptarmigan Creek and ascend up the School Bus Gulley. In the winter this a steep terrain trap for avalanches. This is the best way to gain access to the upper glacier in the summer. Allow 1.5-3 hrs to gain the glacier.     Once on the glacier cross it and ascend up the snow/ice slope to gain the col to the south ridge. In the winter the climbing is composed of steep snow and corniced ridge climbing and in the summer it is a 4th and 5th class scramble.",{106576794: 2}
Nameless for now....,116613597,Boulder,116613587,V2-3,13,1,3.0,1.0,"Looking at the crack, start with one hand in the triangle hold in the crack, and the other on a jug about three feet from the ground. Work your way up the arete with holds on both sides. The top is still mossy, so it can’t be topped. There is potential to top it, it just needs to be cleaned.",{200331485: 3}
Fluffy Muff,110446548,Boulder,106906353,V10,15,1,2.0,1.0,"Line up the middle of the main face, very shoulder intensive.    Stand start with right hand on a small sharp incut crimp just above head height and left hand on one of several holds to the left at head height.  Move left hand up to a gaston, and reach right to the big hold in the middle of the face, match finish straight over the bulge on the same finish as Powder Puff.    The sit start is V11 and starts with left hand on a good pinch, right hand on a crappy side-pull.",{107322604: 2}
Groovy Movie,106906373,Boulder,106906353,V9-10,11,1,2.0,2.0,"Start low on small crimps either making a large move left to the top, or using small intermediate to hit the same ending point. Short and Tall beta is possible.","{106325793: 2, 107322604: 2}"
Powder Puff,106906364,Boulder,106906353,V9,14,1,2.3,3.0,"Crouch start on edges and shelf. Move right handed to 1.5 finger width crimp with the right hand. Catch a heel hook on the shelf and flag the left foot. Reach left to two pinch/side pulls, set feet and fire for the top.","{200060783: 3, 106325793: 2, 107322604: 2}"
Thunder Fluff,106906368,Boulder,106906353,V8,14,1,3.2,5.0,"Start pinching a diagonal rail and move right and then up on slopers and edges to the easier topout. Once you have hands above the roof, the problem is V3(from a stand start). Beta dependent body position from the starting moves. Using a heel-cam at the beginning makes the starting move true to the grade. Not using the heel cam is more core intensive and a definite V9.","{200060783: 4, 106325793: 3, 106967939: 3, 107322604: 3, 110769954: 3}"
Shark Tooth,106906359,Boulder,106906347,V8-9,12,1,2.5,2.0,"SDS low in the alcove, with feet to your right(or wherever is comfortable) and hands on a couple of small slick holds. Move up right to an intermediate undercling/side pull, before grabbing the open hand sloping edge. Move left to a small crimp and make a final move to exit the crux. Finishes directly after this.","{107322604: 3, 106325793: 2}"
Wishful Thinking,108138304,Boulder,106906347,V5,0,1,2.3,4.0,"A nice power problem on near friction less rock. Start on a two pinches, where foot placement is paramount for success. Pop to a flat shelf and move up and right for a stiffer grade and likely V6- or continue straight up on better feet bring the grade to V5.","{108266520: 3, 106325793: 2, 107322604: 2, 106967939: 2}"
