name,id,parent_id,elevation,latitude,longitude
Arizona,105708962,,"3,832",34.38, -112.061
Central Arizona,107447478,105708962.0,"1,079",33.431, -112.072
*Phoenix Areas,107448852,107447478.0,"1,150",33.505, -112.077
Beardsley Boulders Area,105800798,107448852.0,"1,568",33.682, -112.043
Beardsley Bouldering,119455323,105800798.0,"1,568",33.682, -112.043
Alka Smelser Boulder,119455376,119455323.0,"1,568",33.682, -112.043
Assorted Goods Boulder,119455580,119455323.0,"1,568",33.682, -112.043
Bean Boulder,119455396,119455323.0,"1,568",33.682, -112.043
Crown Top Boulder,119455384,119455323.0,"1,568",33.682, -112.043
The Egg,119455338,119455323.0,"1,568",33.676, -112.04
Frosted Flake Boulder,119455506,119455323.0,"1,568",33.682, -112.043
Hand Jive Boulder,119456955,119455323.0,"1,567",33.682, -112.043
Monkey Lust Boulder,119455391,119455323.0,"1,574",33.682, -112.043
No Hands Boulder,119455366,119455323.0,"1,567",33.682, -112.043
Osmosis Boulder,119456968,119455323.0,"1,565",33.683, -112.043
Outer Space Boulder,119456931,119455323.0,"1,567",33.682, -112.043
Pencil Thin Boulder,119455387,119455323.0,"1,573",33.682, -112.043
Problems on Unnamed Boulders,119455491,119455323.0,"1,567",33.682, -112.043
Rattlesnake Boulder,119455372,119455323.0,"1,570",33.682, -112.043
The Slab Boulder,119455400,119455323.0,"1,567",33.682, -112.043
Smile Boulder,119455407,119455323.0,"1,568",33.682, -112.043
Split Boulders,119455478,119455323.0,"1,568",33.682, -112.043
Sunshine Boulder,119455566,119455323.0,"1,568",33.682, -112.043
Unnamed Boulder #1,119456895,119455323.0,"1,573",33.676, -112.04
Unnamed Boulder #2,119456920,119455323.0,"1,571",33.681, -112.042
Unnamed Boulder #3,119456925,119455323.0,"1,568",33.682, -112.043
Unnamed Boulder #6,119456943,119455323.0,"1,568",33.682, -112.043
Unnamed Boulder #7,119456948,119455323.0,"1,568",33.682, -112.043
Unnamed Boulder #9,119456958,119455323.0,"1,577",33.683, -112.043
Virgin Boulder,119456939,119455323.0,"1,567",33.682, -112.043
Warm Up Boulder,119455357,119455323.0,"1,568",33.682, -112.043
Wiley Thompson Boulder,119455351,119455323.0,"1,567",33.682, -112.042
Beardsley Roped Routes,119455316,105800798.0,"1,568",33.682, -112.043
Camelback Mountain,105787836,107448852.0,"1,500",33.515, -111.962
August Canyon,113498132,105787836.0,"1,923",33.519, -111.971
Bobby's Rock,111591694,105787836.0,"1,456",33.519, -111.976
Boulder Canyon,106389009,105787836.0,,33.515, -111.962
Camel's Ear,112927760,105787836.0,"1,623",33.517, -111.976
Camel's Foot,114253960,105787836.0,"1,816",33.517, -111.974
Echo Canyon ViewPoint,118624515,105787836.0,"1,655",33.521, -111.97
Gargoyle Wall,106020994,105787836.0,"1,940",33.519, -111.969
The Headwall,105805832,105787836.0,"1,769",33.52, -111.97
The Hump,113157033,105787836.0,"2,707",33.515, -111.962
The Praying Monk,105805617,105787836.0,"2,000",33.515, -111.962
South Walls/Neck Area,113808679,105787836.0,,33.515, -111.962
Suicide Canyon,106961101,105787836.0,,33.518, -111.973
Western Bouldering Area,110588808,105787836.0,"1,528",33.521, -111.972
Western Walls,112831167,105787836.0,"1,644",33.517, -111.978
Cholla Mountain,105801327,107448852.0,,33.787, -111.824
FINS Trails Park,118689420,107448852.0,"1,045",33.319, -112.449
Greevers' Needle,108540836,107448852.0,"2,268",33.469, -111.545
Hobo House,116689381,107448852.0,"1,205",33.438, -111.932
Ice Castles,120025615,107448852.0,"1,584",33.771, -112.208
Icecapades,105952543,107448852.0,"2,000",33.741, -112.174
Adventure Time Boulder,107944799,105952543.0,"1,625",33.744, -112.173
Beer Bong Boulder,105952577,105952543.0,"1,599",33.742, -112.175
The Corridor Boulders,109047870,105952543.0,"1,611",33.742, -112.175
Den Boulder,107928173,105952543.0,813,33.741, -112.173
The Fin,105952585,105952543.0,,33.741, -112.174
Joel's House,109689901,105952543.0,"1,669",33.744, -112.176
Milkjugs,109184627,105952543.0,"1,631",33.743, -112.174
Poor Decisions,109103248,105952543.0,"1,619",33.74, -112.175
Saddle Boulders,109461121,105952543.0,"1,639",33.741, -112.174
UFO Boulders,109103086,105952543.0,"1,614",33.742, -112.175
Jacuzzi Spires,105968142,107448852.0,,33.505, -112.077
First Jacuzzi Spire,105968150,105968142.0,,33.505, -112.077
Library Wall,120055791,107448852.0,"2,086",33.575, -111.779
Little Granite Mountain,105787828,107448852.0,"2,862",33.774, -111.802
Bobcat Boulder,105811038,105787828.0,"2,912",33.777, -111.803
Coyote Canyon,120023503,105787828.0,"2,746",33.795, -111.799
Coyote Canyon Boulder,120023585,120023503.0,"2,746",33.795, -111.799
The Loaf,105811047,105787828.0,"2,967",33.777, -111.803
Lost Bandana Area,105793878,105787828.0,"2,000",33.774, -111.802
The Cone,106154026,105793878.0,"3,400",33.775, -111.803
Dueling Hammers Formation,108560145,105793878.0,"2,891",33.774, -111.802
Lost Bandana Wall,105979416,105793878.0,"2,200",33.775, -111.802
Mogul Wall,109901568,105787828.0,"3,190",33.787, -111.804
Pasta Slab,108467092,105787828.0,"2,902",33.773, -111.801
The Riven Wall,119665184,105787828.0,"2,833",33.776, -111.805
Roofer Madness and Fairweather Walls,108006345,105787828.0,,33.781, -111.802
Sleeping Cactus Wall,105798925,105787828.0,"2,500",33.782, -111.8
Unknown,108602819,105787828.0,"2,500",34.495, -112.02
Lookout Mountain,105801342,107448852.0,,33.623, -112.049
McDowell Mountains,105787825,107448852.0,"3,068",33.687, -111.809
Crossroads wall (AKA parking lot wall),117669227,105787825.0,"3,714",33.681, -111.81
Lower Tier,117669468,117669227.0,"3,714",33.681, -111.81
Upper Tier,117669318,117669227.0,"3,714",33.681, -111.81
Fort Mcdowell,118120122,105787825.0,"3,190",33.686, -111.811
Gardener's Wall,105797336,105787825.0,"3,556",33.682, -111.807
Girlie Man Area,107844892,105787825.0,"2,910",33.689, -111.799
Glass Dome,116543726,105787825.0,"3,721",33.68, -111.806
Goat Hill,107944637,105787825.0,,33.687, -111.809
Granite Ballroom,118182644,105787825.0,"2,757",33.685, -111.79
Half and Half Wall,107944400,105787825.0,"3,300",33.686, -111.813
Hawk Boulder,114173290,105787825.0,"3,117",33.685, -111.808
Hog Heaven,112431274,105787825.0,"3,599",33.679, -111.796
Iggy Boulder,116385327,105787825.0,"2,745",33.693, -111.795
Knob Hill Area,105802203,105787825.0,,33.696, -111.786
