name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Babel Tower,108892490,Sport,107824526,5.9,60,1,2.8,16.0,Bolted arête to the left of the classic dihedral For Whom the Bell Tolls. Pull over a low roof (crux) and follow the arête with great holds on both sides to a set of bolted anchors.,"{107755397: 3, 200099747: 3, 200138493: 3, 110584840: 3, 110148614: 3, 200220853: 3, 111166221: 3, 109423069: 3, 108679988: 3, 107041196: 3, 110213399: 3, 107559987: 3, 108933244: 3, 110755607: 2, 107843504: 2, 109325110: 2}"
Captain Crunch,108907890,Trad,107824526,5.8,55,1,3.0,2.0,"This is an easy jug-lined crack. Rock quality was decent. The route would probably be 5.7, except its a little steep down low. A fun warm up.","{200143486: 4, 107559987: 2}"
Dirty Girl,108051435,Trad,107824526,5.6,45,1,1.0,1.0,Work your way up a the thin flake that starts nearly straight and then begins to pull left.  Easy warmup and nice route for the beginning trad climber.,{111166221: 1}
For Whom the Bell Tolls,108892428,Trad,107824526,5.10a,65,1,3.9,23.0,A classic left facing corner crack with a short offwidth section leading up to a roof system. A leftward underclinging traverse leads to a foot rail then up another short corner to another roof traverse. Move easily to the anchors on the left. This is the must do route at Haw Creek.,"{107755397: 4, 111522632: 4, 107406726: 4, 107955776: 4, 200220853: 4, 110148614: 4, 110584840: 4, 200138493: 4, 109872933: 4, 112207022: 4, 108886549: 4, 110875347: 4, 109423069: 4, 107041196: 4, 109069728: 4, 109169434: 4, 107482343: 4, 110213399: 4, 108679988: 4, 110755607: 4, 109152722: 3, 107559987: 3, 12084: 3}"
Frisbie Golf,108892637,Trad,107824526,5.7,40,1,2.2,5.0,Offwidth left facing corner with lots of face holds requiring no offwidth technique. Kind of a fun little route. Would be awesome if the crack went for a 100 ft. or more.,"{110213399: 3, 107755397: 2, 110755607: 2, 110875347: 2, 200099747: 2}"
Home Sweet Home,119075110,Trad,107824526,5.7,60,1,1.0,1.0,Climb up a flared crack for a short distance before wandering up the top face. This is the most direct line to the anchors on this wall with 4 other routes merge into this and share anchors.,{200099747: 1}
Killer Pillar,112334601,Trad,107824526,5.9,55,1,3.0,1.0,"Obvious pillar/buttress further down the cliff line, climb the left side through a crux or two with solid pro to the anchors",{109855183: 3}
Midday Lightning,108892610,Sport,107824526,5.9,55,1,2.6,14.0,A bolted left angling blunt arête starting off a detached block. Very fun route and a good warm-up.,"{107755397: 3, 200099747: 3, 111166221: 3, 111538009: 3, 109423069: 3, 110755607: 3, 107843504: 3, 109325110: 3, 200138493: 3, 110213399: 2, 110875347: 2, 107559987: 2, 110584840: 2, 109152722: 1}"
No Verguenza,110999684,Trad,107824526,5.10c,60,1,1.0,1.0,"Climb the 5.7 dihedral ""Frisbie Golf"", climb past it's anchors through the roofs.",{110213399: 1}
Pepper and Salt,108069764,Sport,107824526,5.8,40,1,1.8,8.0,From the guide book: Climb the knobby face past low and high cruxes to a set of anchors at mid-height.,"{111166221: 3, 110213399: 2, 107843504: 2, 109423069: 2, 108933244: 2, 107755397: 1, 107559987: 1, 200099747: 1}"
Sangre Americana,111130130,Sport,107824526,5.9,65,1,1.5,2.0,Steady climbing through first two bolts getting easier up high. Goes straight up and meanders to the right and up to anchors.,"{107843504: 2, 111166221: 1}"
Shadow Dancing,108907858,Trad,107824526,5.11a,55,1,2.4,10.0,"Climb up the orange and black flake to a decent stance about 6-7 ft off the ground. There is a finger size crack in back of the flake. Plug in a few small cams. Fire through the delicate layback and clip the first bolt from a solid jug. Move left from the first bolt clipping two more bolts from positive but pumpy holds. After the bulge, run it out through easy terrain to the anchors.","{107559987: 3, 111522632: 3, 110755607: 3, 108679988: 3, 110213399: 3, 109152722: 2, 109169434: 2, 109423069: 2, 200099747: 2, 109069728: 1}"
Broken English,112265114,Trad,110999708,5.8,70,1,2.0,1.0,"Fun but dirty, some loose rock, not well traveled",{110875347: 2}
The Diving Bell and the Butterfly,112350415,Sport,110999708,5.10b,60,1,2.5,2.0,"Very fun climbing through the crux to the 3rd bolt, at which point the grade eases up.  The final slab can be dirty (but easily doable due to the good feet).  Anchors shared with Green Hornet & Lost My Lizard.","{109419855: 3, 111538009: 2}"
Green Hornet,110999739,Trad,110999708,5.8+,65,1,3.0,2.0,"An excellent, dirty, and varied crack. A hard start (for 5.8) followed by a 5.8 layback, followed by a short offwidth section, followed by a moderate roof.","{110213399: 3, 110875347: 3}"
Lost My Lizard,110999755,Sport,110999708,5.10a,60,1,1.3,4.0,"A technical 5.10. At the 5th bolt, traverse to the right and begin to join ""The Diving Bell and the Butterfly""","{107965009: 2, 110213399: 1, 109419855: 1, 108978472: 1}"
No Remorse,110999764,Sport,110999708,5.10c,70,1,3.5,6.0,A sustained 5.10C on positive holds. Get through the V3-4 boulder problem move then bash the overhanging jugs to the last bolt. Pull a spicy move off some pockets and climb easy terrain to the anchors. Beta: Don't slow down.    Some chossy sections. Make sure people are not below the climber and the belayer is wearing a helmet.,"{110213399: 4, 111538009: 4, 108978472: 4, 110755607: 3, 200099747: 3, 108933244: 3}"
Steep Show,110999721,Sport,110999708,5.11d,65,1,3.0,1.0,"Climb a chossy arete. Layback a nice fingercrack. Then power through a horizontal roof section, clipping nearby bolts. Cut feet and pull the roof.",{110213399: 3}
dirt dabber,112306258,Boulder,111679790,V3,0,1,2.0,1.0,"start sitting on the left side of little overhang. work right through some tense moves, then nice holds to the lip and top out.",{108084510: 2}
Kris's traverse,112385495,Boulder,111679790,V4,0,1,3.0,1.0,"traverse the wall right until you get to a shallow dihedral, then go up and top out at the break",{108084510: 3}
Meat nose,112304007,Boulder,111679790,V2,0,1,2.0,1.0,start siting on the right set of underclings and follow neat holds and top out right side,{108084510: 2}
Slopey seconds,112304016,Boulder,111679790,V2,0,1,3.0,1.0,"Fun problem.  start sitting on the left set of underclings, do some moves to get to the sloping bump, then head up and right.",{108084510: 3}
Two-Face,111680039,Boulder,111679790,V2,0,1,3.4,5.0,"Crimpy and tall. stand start on chest height holds, work up and right through some techy crimps and feet, aiming for the break on the right, topout at the break. sustained.","{108084510: 4, 200205291: 4, 108964383: 3, 108962560: 3, 200061347: 3}"
Belly flop,112379753,Boulder,111679769,V4-,0,1,2.0,2.0,"start with a small right hand sidepull and a good left hand side pull. work your way up to a big shelf, then bust a fat awkward dyno to gain the sloper up top.      also, made this name up. definitely done before me.","{108084510: 2, 200138493: 2}"
double aretes,112379682,Boulder,111679769,V1,0,1,1.0,1.0,"right side of the south facing face.  make one move to gain the holds at the bottom of the two arêtes, then use both arêtes to top out.",{108084510: 1}
Gadzoom,112323200,Boulder,111679769,V3,0,1,2.0,1.0,"start with an obvious knob feature in the middle of the wall, make a left hand move to a sloper and make moves aiming at a horn-shaped jug up and to the left.  top out is slopey but will clean up.",{108084510: 2}
Iron Band Dyno,112323210,Boulder,111679769,V3,0,1,2.0,1.0,"fun dyno for the grade. sit start on the left side of the boulder on two large, opposing, and sloping iron bands. get low and throw big for the horn shaped jug and top out.",{108084510: 2}
Pick Up Sticks,112304023,Boulder,111679769,V5,0,1,4.0,1.0,"very beautiful arête. do it when it's cold! left hand and foot on, make a little hop to get right hand on the bubble in the arête, then do whatever you can to fight your way up this thing.",{108084510: 4}
single arete,112379706,Boulder,111679769,V2,0,1,3.0,1.0,"left arête only. start from the obvious hold near the bottom, make a reach to some holds at the base of the arête, then press your way up using only the left arête for hands. not too contrived, though you can bail out by making an awkward reach to the right arête and make it easier.",{108084510: 3}
Stilettos,112379774,Boulder,111679769,V6,0,1,2.0,1.0,"sit start on some sloper crimps and bad feet. move right to some more sloper crimps, set up and make a big move right to a decent hold and get on top.",{108084510: 2}
Warm Up Slab,112306197,Boulder,111679769,V1,0,1,2.0,1.0,"use some bad holds to get established on the slab, then tip toe up little knobs to the good topout. will eventually clean up to a 3 star line with some traffic and consistent cleaning.",{108084510: 2}
(Somewhat Pessimistic) Micro-Flora,112476261,Boulder,111679778,V5,0,1,4.0,1.0,"sit start crossed on the left side of the boulder with the right hand low and the left on a perfectly ergonomic knob. move to the two obvious slopers, work your way to the obvious side-pull crimp on the face using a right undercling and some funk, then keep working your way right, topping out on the mega-fauna fins any way you can. The beta is extra weird and hard to solve, but an excellent problem when done.  Nothing is ""off"" on this problem, though it is just a bit contrived. if you keep heading straight up the flakes, it becomes more difficult to get into the crimp. so while the upper flakes aren't ""off"" they are kind of a dead end if you want to do this problem.",{108084510: 4}
(Super Charismatic) Mega Fauna,111679830,Boulder,111679778,V5,0,1,4.0,6.0,"Area Classic.  Cant miss this beautiful boulder. sit start on bad underclings and feet. throw left hand up to a shallow side-pull, then work through the compression moves with surprisingly specific feet to some jug flakes and a delicate, but easy topout.","{108084510: 4, 108964383: 4, 111737831: 4, 200038676: 4, 112225989: 4, 200677940: 4}"
100 Days,112379489,Boulder,111679778,V4,0,1,3.0,1.0,"beautiful arête that has been laying in wait for an ascent.  Stand start at the obvious chest high break, step on and pick a left foot, work and slap up opposing holds until you gain the sideways jug and just cruise to the finish. basically a 10' v4 followed by 10' of v0-1 laybacking.  Once at the top, traverse right on flat jugs and good feet to the downclimb.",{108084510: 3}
A-Hole,112316474,Boulder,111679778,V3,0,1,2.5,2.0,"start low on a crappy flake, work up and right through a few holds in a small hueco, set and launch for the jug hole out right, work around and straight up through good holds to slopey, slightly dirty but easy topout.","{108084510: 3, 200099747: 2}"
A-Hole direct,112316486,Boulder,111679778,V1,0,1,1.0,1.0,"start on the right side of boulder in some breaky-funky jugs, work through the juggy shelf then straight up to top out.",{108084510: 1}
baby classic,112317875,Boulder,111679778,V1,0,1,2.0,1.0,"Great little problem, just short.  start on the lowest good holds and work up and out the steepest part of the roof to a slopey but low ball topout.",{108084510: 2}
Baller Without Reason,112316390,Boulder,111679778,V4,0,1,2.0,1.0,"fun climb climb with cool moves, but a bit contrived.  start way to the left of SNEKS and low on whatever hands you see fit (I used two underclings for the FA) and terrible feet. make a big move to the closest jug on SNEKS. Move up and right a bit to the highest set of jugs, then make a hard left hand move to a sloping sidepull (just down from the finishing sloper on SNEKS), set feet, make a quick grab for a jug on the right side of the sloper, and top out.",{108084510: 2}
