name,id,parent_id,elevation,latitude,longitude
California,105708959,,"3,964",37.744, -119.581
Central Coast,105796934,105708959.0,167,35.273, -120.668
Big Sur,105737120,105796934.0,28,35.839, -121.401
Andrew Molera S.P. Beach,111951436,105737120.0,19,36.28, -121.855
Granite Creek,113810891,105737120.0,167,36.433, -121.919
The Amphitheatre,113816335,113810891.0,21,36.433, -121.919
The Corridor,113810938,113810891.0,30,36.433, -121.919
Pride Rock,119037160,113810891.0,25,36.432, -121.918
Jade Cove,111759679,105737120.0,50,35.915, -121.47
Partington Cove,107101605,105737120.0,5,36.174, -121.697
Salmon Creek,111164626,105737120.0,300,35.839, -121.401
Lower Falls,111164733,111164626.0,300,35.839, -121.401
San Simeon,107758409,105737120.0,48,35.583, -121.12
Shredded Skin Boulder,117132829,107758409.0,35,35.582, -121.121
Slate's Spire,105737210,105737120.0,4,35.856, -121.415
Willow Creek Picnic Ground,108224866,105737120.0,119,35.893, -121.461
Gremlin Boulder,108224871,108224866.0,,35.893, -121.461
Pacific Triangle Boulder,108225045,108224866.0,,35.893, -121.461
Willow Road Area,106041135,105737120.0,100,35.727, -121.315
The Plaque Boulder,106041139,106041135.0,100,35.727, -121.315
Pulchritude Boulder,106041151,106041135.0,100,35.727, -121.315
Camarillo Springs Boulder (Lonesome Cube),107146192,105796934.0,296,34.203, -118.972
Carmel Bay,107798290,105796934.0,13,36.539, -121.928
Crab Town,105733974,107798290.0,80,36.501, -121.939
Dike Wall,107798899,107798290.0,,36.539, -121.928
The Fin,107799479,107798290.0,,36.539, -121.928
Gamewize Boulder,107802708,107798290.0,,36.539, -121.928
Garrapata State Beach,119949395,107798290.0,79,36.422, -121.913
Arachnophile,119949739,119949395.0,33,36.418, -121.915
Delia,119949894,119949395.0,13,36.419, -121.916
Lil Hugs,119950197,119949395.0,18,36.418, -121.916
Lil Jugs,119950112,119949395.0,80,36.422, -121.913
Polygon Dwanawall,119950241,119949395.0,8,36.417, -121.916
Slots,119949813,119949395.0,14,36.419, -121.915
Tall Wall,119949579,119949395.0,18,36.418, -121.915
King Otter's Castle,107802243,107798290.0,,36.539, -121.928
Neptune's Landing,107802396,107798290.0,,36.539, -121.928
The Thrones,112561109,107798290.0,25,36.56, -121.933
Conejo Mountain,105850674,105796934.0,951,34.198, -118.964
City Limits,113250256,105850674.0,626,34.197, -118.972
Mystery Science Theater,105850680,105850674.0,942,34.198, -118.963
The Outcast,105850683,105850674.0,951,34.198, -118.964
Hwy 166/Silly Rock,105737123,105796934.0,"1,261",35.111, -120.096
Big Rocks,105789111,105737123.0,,35.129, -120.118
The China Boulder,112260440,105737123.0,"1,537",35.136, -120.128
Doom Wall,105737228,105737123.0,,35.136, -120.127
The Hondo Boulder,112260284,105737123.0,"1,537",35.136, -120.128
Miller's Crossing,105737234,105737123.0,,35.121, -120.102
Mr. Lees Greater Hong Kong,105737237,105737123.0,"1,525",35.136, -120.128
Owl Tor,105737231,105737123.0,"1,412",35.12, -120.104
The Sea of Love Wall,112260343,105737123.0,"1,535",35.136, -120.128
Hwy 33/Ojai,105796942,105796934.0,"1,269",34.487, -119.303
Bigcone and Ladybug Canyons,114364746,105796942.0,"4,020",34.596, -119.323
Bigcone Canyon,114365575,114364746.0,"4,026",34.593, -119.323
Ladybug Canyon,114365594,114364746.0,"4,111",34.593, -119.333
Dark Prow,114367042,114365594.0,"4,117",34.593, -119.333
Ursus,114367028,114365594.0,"4,123",34.593, -119.333
Derrydale Cliff,106216535,105796942.0,"4,000",34.586, -119.274
"Foothill Crag (""The Foot"")",105798037,105796942.0,746,34.471, -119.251
The Fortress,105892652,105796942.0,"3,642",34.584, -119.263
Central Gully,106094658,105892652.0,,34.584, -119.263
Right Side Gully,106094647,105892652.0,,34.584, -119.263
Hwy 33/Ojai Bouldering,108071705,105796942.0,"1,318",34.487, -119.303
Bigcone and Ladybug Canyons (bouldering),114367919,108071705.0,"4,113",34.593, -119.333
In The Beginning,118947538,114367919.0,"4,112",34.593, -119.333
The Hideout,107933712,108071705.0,"1,727",34.47, -119.248
Home Away From Home Boulder,107219422,108071705.0,"1,408",34.506, -119.295
Munson Boulders,107226225,108071705.0,,34.487, -119.303
Pine Mountain,105796886,108071705.0,"7,000",34.638, -119.319
The Badlands,119479950,105796886.0,"6,925",34.638, -119.319
The Meadow,119479967,119479950.0,"6,928",34.638, -119.319
Enlightenment Ridge,105886916,105796886.0,"7,124",34.636, -119.311
Happy Hunting Grounds,105886074,105796886.0,,34.638, -119.319
