name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Bruins Are Keepers,111951455,Boulder,111951436,V1,8,1,2.0,1.0,Sit start with a high right.    Beta: Sit start with OK feet. Requires a little mantle vision.,{111951433: 2}
Easy Frank,111951439,Boulder,111951436,V1,18,1,2.0,2.0,Wait for low tide. Rock can be wet. kind of chossy to the right.    BETA:::  Start with a strong left hand and swing up. Crux is getting solid feet. Bonus points if you stay dry.,"{111951433: 2, 200172373: 2}"
The Ice Man,111952094,Boulder,111951436,V2,8,1,2.0,1.0,Sit start with good right foot with both hands on the shelf.,{111951433: 2}
Still Easy (Traverse),111951444,Boulder,111951436,V1,18,1,2.0,2.0,"Larger of the two boulders, Frank. Wait for low tide. Rock can be wet. kind of chossy especially when you get to the right.    BETA:::  Traverse right with a gnarly double pinch match. Crux is establishing left foot after first move.","{111951433: 2, 200172373: 2}"
Black rock hole,107101661,Boulder,107101605,V0,8,1,1.7,3.0,At the end of the crack/flake wall there is a black boulder. Get down in the hole and climb out on big holds. The problem faces the trail.,"{105969607: 2, 108730681: 2, 110386297: 1}"
Crack/Flake climb,107101624,Boulder,107101605,V0,10,1,1.8,4.0,"This climbs a nice juggy crack that slants right.    Once topped out, traverse right to the low angle portion of the wall and downclimb.","{105969607: 2, 110386297: 2, 108730681: 2, 107560585: 1}"
Left wall traverse,107101617,Boulder,107101605,V0,10,1,2.0,2.0,Go right or left along the wall that faces the ocean.,"{105969607: 2, 110386297: 2}"
Low ball extravaganza,107101641,Boulder,107101605,V0,6,1,1.0,2.0,Climb up edges and top out. It isn't that high.,"{105969607: 1, 110386297: 1}"
Pockets up face,107101648,Boulder,107101605,V0+,0,1,2.5,2.0,Climb pockets in limestone veins up center of wall. Scary looking top out. Bang on holds before committing.,"{110386297: 3, 105969607: 2}"
Slopers on a slab,107101632,Boulder,107101605,V0,7,1,2.0,2.0,Start on slightly bad slopers. The crux is deciding how low to put your feet without feeling like a cheat (it curves a lot). Downclimb to the right.,"{105969607: 2, 110386297: 2}"
Mind If I Go Topless?,111164753,Sport,111164733,5.11d,45,1,2.0,1.0,Bad bolts placed forever ago? Could use a replacement/upgrade up to anything remotely resembling modern standards.,{107039524: 2}
Shredded Skin,107758421,Boulder,117132829,V1+,12,1,2.4,8.0,"This route goes up the overhanging arête of the boulder closest to skull rock. It has good hand holds that are very sharp. Footholds are mainly slick and sloping with a few edges for heel hooking. The start goes from a standing start to a an easy move to a small jug and then a larger move to a big jug. Footwork is difficult and you have to math feet and heel hook. The crux is the next move in which you have to pull up, lock off, and reach or dyno to another jug. The trick is to keep your feet on the rock. From there it is easy to the top. Excellent climb, pumpy, lots of big moves and delicate footwork. However the jugs are super sharp and shred your skin. There are other much harder routes up the boulder. A sit start would make this much more difficult. Bring a brush to clean the holds!   Right before the crux move    skull rock    skull rock closer ","{111231891: 4, 107743501: 3, 106172145: 3, 200815725: 3, 106209564: 2, 108303439: 2, 200572508: 1, 200120814: 1}"
Regular Route,105737495,Trad,105737210,5.5,50,1,2.7,13.0,You can probably climb this rout without shoes if you are not worried about the bird crap.  Suzanne got bit by a crab at the bottom so be careful.  The rock is rather loose since it is not climbed often.  I would suggest using all three bolts at the top anchor seeing as it is exposed to salt air all the time.  Make sure you keep an eye on your watch since the tide can come in fast.  If you figure out a way to get your rope down dry let me know.,"{108088043: 4, 13930: 4, 108592027: 4, 200038924: 4, 111614485: 4, 106784621: 3, 107433201: 3, 110680880: 2, 111798166: 2, 12457: 2, 200194507: 2, 10481: 1, 106998548: 0}"
Brian's Wet Feet,108224876,Boulder,108224871,V0,0,1,2.0,2.0,Start on the obvious jug on the NE side of the boulder ( The side that faces the ocean)  and move up and right to top out.,{106651140: 2}
Don't Get Me Wet,108224999,Boulder,108224871,V4-5,0,1,2.0,1.0,"Start same as Mogwai (Sit) and move out right to two good crimps, then move out onto the face.",{}
Little Sur,108225034,Boulder,108224871,V1,0,1,2.0,2.0,Start low to the right of Brian's Wet Feet. Make your way up on good small hold to the lip.,{108730681: 2}
Mogwai (Sit),108224989,Boulder,108224871,V3+,0,1,2.8,4.0,Low start on the shelf in the small overhung area. Move out to the start of Mogwai Stand.,"{107178132: 3, 108730681: 3, 111801079: 2}"
Mogwai (Stand),108224978,Boulder,108224871,V2,0,1,2.0,2.0,Stand start on crimps and move up to a pinch and then a series of good holds to top out.  ,{106651140: 2}
Dorsal Fin,106041143,Boulder,106041139,V1+,25,1,3.0,1.0,"The crux for me was mental, falling from near the top would hurt really bad. Climb up to the overhang then traverse right and pull up and over the lip. If the wind is right you can hear the sea lions barking.",{105889684: 3}
