name,id,parent_id,elevation,latitude,longitude
Colorado,105708956,,"5,280",39.996, -105.298
10 Mile Canyon,106817352,105708956.0,"9,200",39.556, -106.132
10 Mile Tower,119784144,106817352.0,"9,301",39.57, -106.12
Brick Wall/Alcoves,119747707,106817352.0,"9,321",39.566, -106.126
The Alcoves,119747800,119747707.0,"9,331",39.567, -106.126
Brick Wall,119747726,119747707.0,"9,273",39.566, -106.126
The Cache Wall,112221833,106817352.0,"9,471",39.561, -106.132
The Diamond /Officer's Wall Massif,117387473,106817352.0,"9,995",39.538, -106.138
The Diamond Wall,106817410,117387473.0,"9,200",39.538, -106.138
Officer's Wall,108256713,117387473.0,"10,032",39.538, -106.138
The Dome,107938625,106817352.0,"9,500",39.571, -106.118
Halfway Rock,107751804,106817352.0,"10,060",39.539, -106.136
Mount Royal (near Frisco),106811705,106817352.0,"10,500",39.572, -106.111
Officer's Gulch West,107761942,106817352.0,"9,896",39.53, -106.141
The Shire,107211983,106817352.0,"9,333",39.572, -106.117
Sunshine Buttess (aka Wichita Wall),107748246,106817352.0,"10,500",39.571, -106.118
"Sunshine, Ding Dong Dome Bouldering",119014525,106817352.0,"9,184",39.57, -106.117
Caveman Boulder,119014547,119014525.0,"9,191",39.57, -106.117
Teeter Top,119747913,106817352.0,"9,543",39.568, -106.126
Wheeler Lakes,119346112,106817352.0,"11,085",39.521, -106.168
White Cliff,106869718,106817352.0,"9,500",39.568, -106.123
Alpine Rock,105744466,105708956.0,"12,146",40.257, -105.657
Capitol Peak,105746266,105744466.0,"14,130",39.15, -107.082
Chimneys of Treasure,105846369,105744466.0,"12,820",39.028, -107.117
The Citadel,107952001,105744466.0,"13,294",39.715, -105.911
Frasco's Toe,108625707,105744466.0,"12,600",39.129, -106.506
Gore Mountain Range,106753366,105744466.0,"10,000",39.693, -106.273
Buffalo Mountain,106639569,106753366.0,"12,770",39.618, -106.142
Eagle's Nest,109376503,106753366.0,"13,432",39.774, -106.35
East Partner Peak (aka Peak V),107747316,106753366.0,"13,057",39.693, -106.273
Mount Silverthorne,111123442,106753366.0,"13,357",39.654, -106.189
Peak C,107841242,106753366.0,"13,220",39.75, -106.337
Peak L,111600093,106753366.0,"13,213",39.742, -106.279
"Peaks X, Y, and Z",112031651,106753366.0,"13,100",39.706, -106.259
Sakkety Point,117559999,106753366.0,"8,967",40.154, -106.552
"Valhalla Peak, Freya Tower",112221941,106753366.0,"12,121",39.666, -106.206
"Valhalla Peak, Thor Tower",108214910,106753366.0,,39.693, -106.273
West Partner Peak,107657678,106753366.0,,39.693, -106.273
Grizzly Peak,105746644,105744466.0,"13,998",39.043, -106.597
Holy Cross Wilderness,111610593,105744466.0,"13,000",39.429, -106.509
Fool's Peak,112463302,111610593.0,"12,947",39.451, -106.6
Gold Dust Peak,112463342,111610593.0,"13,365",39.479, -106.595
The Underworld,113578767,111610593.0,"12,559",39.471, -106.467
Indian Peaks,105802014,105744466.0,"12,462",40.05, -105.64
"""Ooh La La!""",105746817,105802014.0,"12,945",40.162, -105.668
