name,id,parent_id,elevation,latitude,longitude
Connecticut,105806977,,149,41.509, -72.861
Central Valley,106076672,105806977.0,440,41.63, -72.81
Bear Rock,112179154,106076672.0,616,41.471, -72.649
Bradley Mountain,106414769,106076672.0,668,41.649, -72.833
1 Sunset Rock,112571200,106414769.0,669,41.659, -72.842
1a High Noon Crag,112573035,106414769.0,644,41.657, -72.84
1b Microrock,112573057,106414769.0,649,41.656, -72.839
"1c ""Nano Rock(s)""",112573074,106414769.0,604,41.655, -72.839
2 Sunrise Rock,112571215,106414769.0,553,41.655, -72.838
3 Trailside Rocks,113664968,106414769.0,630,41.649, -72.833
Firewall,108051741,106414769.0,592,41.649, -72.834
Firewall Boulder,110332156,108051741.0,559,41.649, -72.834
Historical Routes,106414781,108051741.0,629,41.649, -72.834
Sport Routes,108051745,108051741.0,628,41.649, -72.834
Cathole Mountain,109407542,106076672.0,350,41.56, -72.811
Main Walls,105800349,109407542.0,414,41.56, -72.811
Southern Wall,109407546,109407542.0,350,41.559, -72.811
Chauncey Peak,118735517,106076672.0,626,41.557, -72.759
Looking Glass,118919250,118735517.0,568,41.562, -72.76
Prison Wall,118735550,118735517.0,572,41.557, -72.759
Training Ground,118735544,118735517.0,631,41.557, -72.759
East Peak,105800461,106076672.0,902,41.557, -72.834
The Alcove,108360461,105800461.0,938,41.557, -72.834
Amphitheater,106079355,105800461.0,,41.557, -72.834
Castle Crag,106079349,105800461.0,,41.557, -72.834
Dihedral Section,107810684,105800461.0,800,41.557, -72.834
Fall Wall,106242258,105800461.0,"1,000",41.557, -72.834
Merimere Face,105877305,105800461.0,646,41.559, -72.829
Rite of Spring,107810817,105800461.0,800,41.557, -72.834
Jacob's Rock,114607410,106076672.0,506,41.691, -72.833
Pinnacle Rock,105877744,106076672.0,590,41.69, -72.833
A-Frame Wall,105877799,105877744.0,,41.69, -72.833
Cracked Wall,106050777,105877744.0,559,41.691, -72.833
Dream Weaver Wall,107769200,105877744.0,567,41.69, -72.833
Emerald City Slab,105877776,105877744.0,,41.69, -72.833
Entertainer Wall,107191684,105877744.0,,41.69, -72.833
Lone Pine,107847767,105877744.0,600,41.691, -72.832
Nike Base,107847555,105877744.0,600,41.687, -72.835
