name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
The Chaser,117918743,Sport,112179154,5.12b,40,1,3.6,8.0,Goes out the right side of the steep cave on some of the better rock at the cliff.  Climb up jugs to a tricky match and a big pull to a huge hole.  Pull the lip on some smaller crimps and trend-right to the anchor.  Suffers from wetness after rain.  Fun movement and cool holds.   ,"{107220856: 4, 106398706: 4, 7073220: 4, 200643916: 4, 106153684: 3, 200070186: 3, 112276558: 3, 106189019: 3}"
Chossmosis,114595599,Sport,112179154,5.11+,0,1,1.5,6.0,"Shares the start with Shit Ticket. After the first bolt, move right and up the face to a set of chains. ","{112042073: 2, 106153684: 2, 200100774: 2, 200333846: 1, 110764470: 1, 106189019: 1}"
Chosstacular,112179163,Sport,112179154,5.10,0,1,2.3,18.0,This route is in the central section of the cliff (to the left of the obvious crack)  and has a high first bolt. It veers left after the second bolt.,"{108032974: 3, 200070186: 3, 200333846: 3, 107473980: 3, 110340063: 3, 106189019: 3, 7073220: 2, 106153684: 2, 112276558: 2, 107819218: 2, 111639879: 2, 200306147: 2, 106917454: 2, 200309168: 2, 112042073: 2, 112091216: 2, 200100774: 2, 110764470: 1}"
The Color of Aluminum,119479689,Sport,112179154,5.12c/d,55,1,3.7,3.0,"A linkage, but the combination of two nice sections of climbing.  Startup the first 3 bolts of Salmon Killer then cut right along the undercling into the crux of Double Check finishing on that route.  Another variation is to finish up on Killing Me which adds some more small boulder moves.  This climb is unique as it has relatively nice holds but consistent pumpy moves. Video","{107220856: 4, 200070186: 4, 106153684: 3}"
The Color of Salmon,119917221,Sport,112179154,5.12c/d,55,1,2.0,1.0,A variation/link up of Color of Aluminum.  Both salmon and aluminum have that stunning metallic silver color.  Climb COA through the crux of Double Check.  Instead of clipping the bolt cut left and clip the last bolt of Natural Born.  Finish on that route.  ,{106153684: 2}
Double Check,117358337,Sport,112179154,5.12b/c,70,1,3.1,10.0,"Scramble up easy rock to reach the crack. Climb the first two bolts of Garbjistan.  Leave a long sling on the second bolt and follow flakes out left. Undercling and jam to reach the third bolt. Squirrel away some rest, and then launch into the powerful and fun crux sequence through the bulge. After getting established on the bulge, pinch a quartz crystal and crank to eventually grab a jug below the roof. An engaging sequence leads you to a stance and bolted anchor.","{200100774: 4, 106189019: 4, 7073220: 3, 200070186: 3, 105823713: 3, 111483897: 3, 106912253: 3, 111542777: 3, 108032974: 3, 106153684: 2}"
Garbajistan,112179186,Sport,112179154,5.11b/c,0,1,2.7,23.0,"Probably the classic climb from this area. Its to the right of the obvious crack in the middle of the cliff. It has an extension (probably a 5.12) after the anchors where you veer left, past 2 bolts to another set of anchors","{200070186: 4, 107473980: 4, 106189019: 3, 111542777: 3, 7073220: 3, 107819218: 3, 106398706: 3, 107412921: 3, 111969490: 3, 200100774: 3, 110764470: 3, 112091216: 3, 107696530: 3, 108178915: 3, 200309168: 3, 112276558: 2, 200810232: 2, 112042073: 2, 200333846: 2, 110340063: 2, 106917454: 2, 106153684: 2, 108032974: 2}"
Killing Me!,114595569,Sport,112179154,5.12a,15,1,2.8,18.0,"An extension to Garbajistan. After the anchors to Garbajistan, trend left and pull a roof with a critical heel hook. 3 bolts leads to a set of chains. ","{200100774: 4, 107220856: 4, 111969490: 3, 105823713: 3, 111483897: 3, 200070186: 3, 106153684: 3, 7073220: 3, 111542777: 3, 106189019: 3, 108032974: 3, 107473980: 3, 110764470: 3, 107696530: 3, 112276558: 2, 111102654: 2, 112042073: 2, 200333846: 1}"
Memories,118972134,Sport,112179154,5.11a,0,1,1.7,7.0,"Just right of Symbiotic Seven. Climb up a crack and good edges to the high first bolt, traverse right under the overhang on jugs, and pull the fun bulge. That's it. Short and sweet.","{107412921: 3, 110340063: 2, 107601902: 2, 200100774: 2, 112276558: 1, 105823713: 1, 200643916: 1}"
Natural Born Salmon Killer,119272009,Sport,112179154,5.12b,50,1,2.8,5.0,"Just right of Chosstacular and just left of Double Check.  Stick clip the 1st bolt then proceed up the seam to the second bolt and the business boulder problem using a really nice pocket, crimp, and pinch.  Gain the underclings and then trend left in some jugs and then back right to the 4th and final bolt. From here climb straight up a bulge on crimps where you might kneed to utilize some tricks to gain the anchor.  Sporty up top.  Put a big smile on my face so ** FA 6/22/20","{106189019: 4, 107220856: 3, 111483897: 3, 200643916: 3, 106153684: 2}"
Posie's Porpoise,112179197,Sport,112179154,5.10b,0,1,2.8,21.0,"Another classic from this area. Is the route to the right of Garbajistan. It has nice big holds but is still quite interesting. There is a ""hold"" that moves, but does not seem to be going anywhere anytime soon.","{200462085: 4, 200309168: 4, 107819218: 3, 7073220: 3, 110340063: 3, 200381231: 3, 106398706: 3, 200810232: 3, 106189019: 3, 200100774: 3, 107318184: 3, 200017903: 3, 200306147: 3, 112042073: 3, 200064397: 3, 200070186: 2, 107473980: 2, 112276558: 2, 110764470: 2, 106153684: 2, 108032974: 2}"
Rainbows and Unicorns,118645362,Sport,112179154,5.10,35,1,2.2,6.0,"Start up to the first bolt after a large ledge, climb past a couple more bolts to a thin face for a couple moves at the top, chains sit just under a roof.","{106189019: 3, 200810232: 3, 112276558: 2, 110340063: 2, 200643916: 2, 200100774: 1}"
Recollections,119565803,Sport,112179154,5.12a,0,1,1.7,3.0,"Somewhat interesting climbing getting to the high first bolt. Uncomfortable crystal holds lead up to a small roof. Crank up and over. Unpleasant holds, but the movement is good. Worth doing if you like Bear Rock.","{111483897: 2, 200070186: 2, 110340063: 1}"
The Revenant,119546347,Sport,112179154,5.13a,45,1,3.0,1.0,"The radical-looking line right out the steepest section of the cliff.  Climb the easy slab to a roof,  make 4 boulder moves to victory jugs.  Revenant: a person who has returned, especially supposedly from the dead.Video of the FA",{106153684: 3}
Symbiotic Seven,112517735,Sport,112179154,5.7,50,1,2.2,24.0,Easy jugs with a layback midway. Don't miss the not so obvious sloper just up right from the second bolt.,"{200443897: 4, 200306147: 4, 200865361: 3, 106912253: 3, 108032974: 3, 200371713: 3, 200478633: 3, 106189019: 2, 200743697: 2, 110340063: 2, 107412921: 2, 112042073: 2, 200810232: 2, 200498102: 2, 200591925: 2, 106917454: 2, 200309168: 2, 111802056: 2, 107473980: 2, 107318184: 2, 106398706: 2, 200549738: 1, 200333846: 1, 112276558: 0}"
Climbs Left of Nor'easter,112571320,Trad,112571200,3rd,500,1,1.0,1.0,Nichols lists 8 climbs before Nor'easter. Starting from the far left of the cliff (and left of the scree field) they are:     Concussion 5.10 TR  1-star    Blast Wave  5.11+  TR   Bradley International  5.9 R 2-stars   Ides of March  5.9 R& Hooks  1-star(?)   February Fool 5.4 (the crack with black birch trees at its top)    Idiot in Heaven  5.3 R    Negative Charge  5.11+ TR 1-star (the arete on the left side of the Nor'easter face)    Ozone 5.9+  2-star,{108310475: 1}
Early Show,112572996,Trad,112571200,5.4,60,1,3.0,1.0,Climb # 37 in the Blue Book; climbs the left-facing corner just left of the pinnacle.,{108310475: 3}
Evil Spirits,112572987,Trad,112571200,5.7,700,1,2.0,1.0,"This is route # 36 in the Blue Book.    Find the free-standing pinnacle.  The route Early Show climbs the left-facing corner left of the pinnacle; Evil Spirits climbs the face 5 ft left of Early Show, finishing on the crack.     My notes say: ""Stepping left = 5.8+ RX"" Sorry, the notes were made years ago [8/30/98] so I'm not sure exactly the context.",{108310475: 2}
Le Coq d'Or,112572971,Trad,112571200,5.5,70,1,2.0,1.0,"This is route #22 in the ""Blue Book"".     Walking along the base from climber's left you pass a scree ""fan"" (Ken's word) and then a cave. The ""left-facing corner capped by a roof"" about 35 ft right of the cave is the climb Fowl Mouth 5.6 (2-stars in Ken's book).    The arete a few feet further right is Le Coq d'Or.    START on the left side of the arete and finish on the right.",{108310475: 2}
Nor'easter,112571334,Trad,112571200,5.7,70,1,3.0,1.0,"3-stars as a TR     Start on the face about 10 ft left and uphill from the arete. Climb the face, traverse right on a horizontal crack (Var) and up the ending crack.  Var - ""Fingerstorm"" 5.9+ - Continue up the diagonal crack (FA Nichols, June 1980)",{108310475: 3}
Old Memories,112573010,Trad,112571200,5.3,60,1,2.0,1.0,"Climb # 39 in Blue Book    Climbs the face via a crack behind the left side of the pinnacle.     My notes say:"" 'crux' at top, step right for 5.3. Directly up may be harder.""",{108310475: 2}
Slots of Fun,112573061,Trad,112573057,5.2,25,1,2.0,1.0,"More of a ""landmark"" that you have reached the correct crag, this route climbs the off width slot.",{108310475: 2}
Daybreak,112571288,Trad,112571215,5.8,70,1,2.8,4.0,"Start about 5-7 ft right of Thin Man and climb over the OH on it's right end (crux, tricky sequence) then up the face passing the block on the right.    Nichols gave this a 5.8+ in the Green book, then changed it to 5.7 in the Blue Book; my notes indicated I felt it "" 5.8 to 5.8+"".     The climb between Thin Man and Daybreak is called ""Solar Wind"", 5.8R and climbs the OH at the corner.","{108310475: 3, 111187921: 3, 200805965: 3, 111900615: 2}"
Forest Murmurs,112571247,Trad,112571215,5.6,70,1,2.0,1.0,"The right-hand of the two cracks on the left end of the main slab.     The ""Green Nichols' book had given it a 5.7, the ""Blue"" graded it 5.6 and my notes say I agreed with that.",{108310475: 2}
Morning Glory,112571295,Trad,112571215,5.7+,70,1,2.8,4.0,"12 feet right of Thin Man, layback the crack; climb right of the OH, then a blocky crack to a right-facing corner.     Nichols gave it 5.8 in the Green Book, ""downed"" it to 5.7 in the Blue book; my notes said "" 5.7+""","{108310475: 3, 111187921: 3, 105887867: 3, 200805965: 2}"
Mourning Cloak,112571270,Trad,112571215,5.4,70,1,1.0,2.0,"The chimney that narrows to a jamcrack.    I put the route in more as a ""place holder"" for other routes.     Mountainproject ""requires"" a star rating be inserted; I'm loath to give it a ""bomb"" but 1-star may be too high.","{108310475: 1, 111900615: 1}"
