name,id,parent_id,elevation,latitude,longitude
Delaware,106861605,,46,38.823, -75.443
Alapocas Run State Park,106923052,106861605.0,78,39.769, -75.558
Ebright Azimuth,118880763,106861605.0,446,39.836, -75.519
Rockford Park,115175215,106861605.0,255,39.768, -75.574
Black Widow Boulder,116607256,115175215.0,250,39.768, -75.574
Heat Index Boulders,115342121,115175215.0,249,39.768, -75.575
Makeout Cave Cluster,118048725,115175215.0,218,39.768, -75.575
Scattered Small Boulders,118034996,115175215.0,237,39.768, -75.575
Spacklehead Boulder,116547394,115175215.0,234,39.768, -75.575
Spearhead Boulder,115342201,115175215.0,219,39.769, -75.574
Rockwood Park / Greenway Trail,118940453,106861605.0,125,39.774, -75.516
