name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
(warm up traverse),107483026,Boulder,106923052,V0+,0,1,2.3,3,"The natural warmup boulder traverse a foot above ground level, on the vertical face between Arena Arete and Chossy's Corner. It's on par with, or a hair harder than, Arena Arete. Move delicately between little flakes at various heights and angles, a good drill for face climbing.","{200462758: 3, 106853948: 2, 200485073: 2}"
Grey Streak (or Temptation?),116634608,Boulder,106923052,5.10d,20,1,3.0,1, Excellent tiny feet and almost impossible hands make this a really fun climb / boulder problem... for delaware...,{200158156: 3}
Old Grandmom,108102489,Trad,106923052,5.2,0,1,1.2,5,Low angle easy climb,"{200252937: 2, 107081418: 1, 107853675: 1, 200032274: 1, 200485073: 1}"
Blood Tax,116607263,Boulder,116607256,V3-,8,1,2.5,4,"Short but very stout. Start with hands on the bottom of the steeply slanting rail in the middle of the boulder and feet deep underneath on a good edge. Do a lot of twisting and turning and squeezing to follow the steep rail to the top. Good holds, but harder than it looks.","{112529638: 3, 200626791: 3, 112825759: 2, 110233256: 2}"
A Balance of Question,115342135,Boulder,115342121,V0+,25,1,1.0,1,"Climb the slab, left and right aretes are off.",{200352947: 1}
Chim Chiminey,115342153,Boulder,115342121,V0,25,1,2.0,1,Back and foot pressure traverse out to overhang. Pull the overhang and finish up the face.,{200352947: 2}
Heat Index 110,115342124,Boulder,115342121,V0,20,1,1.0,1,Climb straight up the 2 tiered face.,{200352947: 1}
Paha Sapa,115342183,Boulder,115342121,V0+,8,1,0.0,1,Short mantle problem.,{200352947: 0}
Powerball,118048780,Boulder,118048725,V2,12,1,3.0,1,Start on the boulders underneath the cap. Use holds in the corner and very awkward movement to grunt onto the slab and tenuously step up to top out.,{112529638: 3}
Tree Route,118048848,Boulder,118048725,V0,8,1,1.0,1,Start on the jug edge deep underneath the tree. Follow jugs up and out right of the tree. ,{112529638: 1}
Air Delaware,118118649,Boulder,118034996,V2-3,10,1,2.0,1,"Sit-start compressing both arete, with creative feet. Do a couple bumps up the corners until you get a good hold over the top of the lip. Follow good holds up and right until you can top out.",{112529638: 2}
Backboard,118035008,Boulder,118034996,V0,8,1,3.0,1,Sit start with smeary feet and a good flat hand hold. Follow obvious holds straight up.,{112529638: 3}
Black Friday,118049717,Boulder,118034996,V1,8,1,1.0,1,Use large holds and smeary feet to climb the short corner.,{112529638: 1}
Flapper,118118524,Boulder,118034996,V3-4,10,1,3.0,1,"Start with hands on the incut dimple at the lip of the overhang and/or on the right arete. All surrounding blocks are off. Get a high smeary foot onto the lip and use a devilish sidepull to work up to a positive flake far  up the face. Be gentle with the flake, I don't fully trust its integrity. ",{112529638: 3}
Wagging the Dog,119822702,Boulder,118034996,V4,10,1,3.0,1,"Start left hand on the slopey rail and right hand on a small crimp on the face. Move out left for a couple moves, then back right for a tricky mantle over the lip to top out. Topping out left is easier (v3) and up the middle will likely be the hardest, but is still a project.",{110233256: 3}
Easy Street/downclimb,118035034,Boulder,116547394,V0,12,1,1.0,1,Easiest route on the spacklehead boulder and the best way to get off of the top.,{112529638: 1}
