name,id,parent_id,elevation,latitude,longitude
Florida,111721391,,101,28.565, -81.387
Bertha - Cross Seminole Trail,118706406,111721391.0,65,28.623, -81.258
Blowing Rock Preserve,108970421,111721391.0,2,26.98, -80.084
Eckerd College Buildering,119860464,111721391.0,4,27.711, -82.688
Egmont Key,111735363,111721391.0,,27.582, -82.763
Elizabeth Wolfe Park - Boulders,117124633,111721391.0,33,30.202, -81.625
Large boulder,117124679,117124633.0,34,30.202, -81.625
Medium Boulder,117124719,117124633.0,33,30.202, -81.625
Small Boulder,117124735,117124633.0,30,30.202, -81.625
Hollywood Holds,116986841,111721391.0,6,26.022, -80.115
Lexington Crossing,114047129,111721391.0,79,29.617, -82.364
Memory Boulder,117590519,111721391.0,95,29.618, -82.419
Myakka State Park Boulder,112425318,111721391.0,16,27.242, -82.314
Pcola,115447309,111721391.0,91,30.468, -87.238
Rattlesnake Island,116127041,111721391.0,,29.708, -81.232
University of Florida,118690512,111721391.0,178,29.651, -82.346
Wellington Village Park Boulder,112533358,111721391.0,24,26.634, -80.229
Wickham Park ID Sculpture,117955186,111721391.0,31,28.161, -80.661
