name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Watch out for Spiders,118706486,Boulder,118706406,V3,500,1,2.0,1,"Endurance, endurance, endurance. Panels vary and depending on figure size you may want to tape your cuticles. It's long but moves are no harder than a V3. Some panels have dirt, plants and/or spiders in the cracks. Bring a rag or broom as your weapon. ",{200490768: 2}
Gator,116096721,Boulder,108970421,V4+,20,1,4.0,1,"Sit start matched in the south west side of the cave formation. Begin by traversing east, finding the lowest possible ledges for hands. You will most certainly need to sprinkle a few heel hooks in there along with some spicy footwork. As you get to the exit of the cave set your feet high and work your way up over the northeast face. The rock gets sharp and brittle here so watch how you distribute your weight. Head straight up a few moves and top out. A clean pumpy line that involves a bit of finess. Climb with a mustache to reduce the rating by one full grade.   Easier variation by using upper handholds before you pull the east bulge. Don’t be a wuss, Harden up and get it done.  ",{200387297: 4}
Love Shack,116382391,Boulder,108970421,V4+,20,1,3.5,2,"Another proper line in this area. Start matched on the north side of the cave formation under a roof with an opening in it. There is a smooth ledge for hands and feet, traverse south from beneath the roof, and setup for a long reach out to the head wall. If you catch the hold, match hands and set feet up to pull straight up over the bulge. Top out. This route is as fun as it sounds, and at times it can be wet, sandy, and has a sharp top out. Good.","{200387297: 4, 200613389: 3}"
Unknown Hueco Route,114000389,Boulder,108970421,V0,10,1,3.3,3,"Start below hueco and climb up using. There are many variations that can be done (left of hueco, direct above, right of hueco), but all are fun to try. Watch out for high tide as the water shoots into the hueco (and into your face if you aren't careful).","{110430510: 4, 110037249: 4, 109213362: 2}"
Dolphin-back Crack,119868599,Trad,119860464,5.7+,25,1,4.0,1,Short but decent 5.7 crack. Wide hands and shallow depth. Best way down is back down the crack.,{200464110: 4}
Back L->R,116986878,Boulder,116986841,V2-3,0,1,3.0,1,Fun Boulder problem jungle gym next to Hollywood beach.Map updated: At the corner of Garfield St and N Surf Rd.,{200465660: 3}
Gator Wrastlin',114047132,Boulder,114047129,V2,6,1,1.7,3,"SDS on the southeast face of the control structure with hands on either side and an obvious spot for your foot where a chunk of the concrete has been somehow damaged (don't even want to speculate on how that could have happened). Don't be afraid to use the chipped corner up and to your left! Do one or two short moves to get a hand up atop the structure then mantle to top out. It is MANDATORY that you then stand atop the structure and perform the traditional University of Florida ""gator chomp"" arm motion.","{200227191: 3, 200206280: 1, 200555411: 1}"
Easy Spiral,117590558,Boulder,117590519,V1,8,1,4.0,2,All holds are good on this side.,"{200555411: 4, 200348688: 4}"
The Eye,117590539,Boulder,117590519,V2,8,1,4.0,2,Start low and use the single finger hold to reach higher on the right side.,"{200555411: 4, 200348688: 4}"
Backside Traverse,112425326,Boulder,112425318,V1,15,1,2.0,7,Locate a rail low on the back side of the boulder. Start sitting on the right side of the boulder and traverse out left through some gastons into jugs up the left arete.    Top out having enjoyed a boulder problem in the state of Florida.,"{112486916: 3, 200640965: 3, 106967283: 2, 200329995: 2, 200662222: 2, 200322051: 1, 200330003: 1}"
