name,id,parent_id,elevation,latitude,longitude
Georgia,105897947,,"1,005",33.715, -84.386
Ansley Boulder,119824703,105897947.0,597,33.906, -83.353
big cheese,117777134,105897947.0,"4,447",34.74, -83.937
Blood Mountain,109291078,105897947.0,"4,450",34.74, -83.937
Boat Rock,106080767,105897947.0,913,33.72, -84.562
Beam Me Up Scotty Area,112774871,106080767.0,911,33.72, -84.562
Beam Me Up Scotty Area,112774987,112774871.0,915,33.72, -84.562
Double Crack Area,112774990,112774871.0,915,33.72, -84.562
Easy Crack Area,112774846,106080767.0,913,33.72, -84.562
The Beach Area,112774916,112774846.0,910,33.72, -84.562
The Caterpillar Area,112774931,112774846.0,911,33.72, -84.562
Dream Scoop Area,112774902,112774846.0,916,33.72, -84.562
Easy Crack Area,112774913,112774846.0,899,33.72, -84.563
Heartbreaker Area,112774909,112774846.0,899,33.72, -84.563
House Crack Area,112774944,112774846.0,909,33.72, -84.562
Keeper of the Boat Area,112774889,112774846.0,921,33.72, -84.562
Parking Lot Area,112774950,112774846.0,913,33.72, -84.562
The Slug Area,112774920,112774846.0,921,33.72, -84.562
Sourwood Area,112774905,112774846.0,920,33.72, -84.562
Waves in Motion Area,112774936,112774846.0,910,33.72, -84.562
Glove Area,112774858,106080767.0,911,33.72, -84.562
Half Pipe Area,112774874,106080767.0,913,33.72, -84.562
Bobotron Area,112775000,112774874.0,913,33.72, -84.562
Half Pipe Area,112774996,112774874.0,913,33.72, -84.562
Leather Arete Area,112775006,112774874.0,913,33.72, -84.562
Pope Face Area,112775003,112774874.0,913,33.72, -84.562
Paint Can/Lost Digits Area,112774850,106080767.0,913,33.72, -84.562
Dishes Area,112774983,112774850.0,915,33.72, -84.562
Firewoman Area,112774977,112774850.0,915,33.72, -84.562
Kashmir Area,112774969,112774850.0,915,33.72, -84.562
Lost Digits Area,112774980,112774850.0,915,33.72, -84.562
Paint Can Area,112774973,112774850.0,915,33.72, -84.562
Pizza Before Cake Area,112774965,112774850.0,914,33.72, -84.562
Snake Pit Area,112774868,106080767.0,912,33.72, -84.562
Spider Man Area,112774861,106080767.0,915,33.72, -84.562
Unsorted Problems,112775174,106080767.0,915,33.72, -84.562
Woods' Hill Area,112774829,106080767.0,913,33.72, -84.562
Apocketlipto Area,112774839,112774829.0,915,33.72, -84.562
H2O Area,112774836,112774829.0,913,33.72, -84.562
Yellow Wall Area,112774864,106080767.0,912,33.72, -84.562
Buford Dam Boulders,114515904,105897947.0,"1,139",34.147, -84.082
Boulders,114516156,114515904.0,"1,139",34.147, -84.082
Clearcut Wall,114515640,114515904.0,"1,117",34.147, -84.082
The Great Roof,114515917,114515904.0,"1,077",34.147, -84.082
Longhouse Roof,114515816,114515904.0,985,34.15, -84.081
MindWarp,114516261,114515904.0,"1,122",34.147, -84.082
Noon Wall,116247436,114515904.0,"1,032",34.147, -84.082
Pride Rock,114516221,114515904.0,"1,139",34.147, -84.082
Wunderland,114516081,114515904.0,"1,073",34.147, -84.082
Buford Dam Boulders,112066800,105897947.0,929,34.15, -84.081
Cherokee Bluff,117584275,105897947.0,"1,147",34.136, -83.913
Currahee Mountain,105901443,105897947.0,"1,724",34.529, -83.376
Boulders,110290636,105901443.0,"1,550",34.527, -83.376
Above the Brick Wall,111710617,110290636.0,"1,533",34.529, -83.377
Below the Brick Wall,111710609,110290636.0,"1,438",34.527, -83.377
Below the Main Face,111710604,110290636.0,"1,393",34.527, -83.376
Middle Junction,118284438,110290636.0,"1,550",34.527, -83.376
Brick Wall,106090578,105901443.0,"1,650",34.528, -83.376
The Buzzard Wall,106083094,105901443.0,"1,543",34.528, -83.375
Slab Area,105901446,105901443.0,,34.529, -83.376
The Small Wall,107989030,105901443.0,"1,549",34.527, -83.376
"Dug Mountain (Hood Rock) Dalton, GA",107261731,105897947.0,"1,510",34.743, -85.015
Eagle & Phenix Dam,117997534,105897947.0,246,32.47, -85
G-wall,107637589,105897947.0,"4,458",34.647, -83.964
Graffiti Boulder,118719264,105897947.0,"2,539",34.885, -83.576
Hitchiti Boulders,106312923,105897947.0,411,33.026, -83.721
Boulder  1,106312927,106312923.0,,33.026, -83.721
Boulder  2,106319510,106312923.0,,33.026, -83.721
Boulder  3,106319513,106312923.0,,33.025, -83.72
Boulder  3A,106319524,106312923.0,,33.026, -83.721
Boulder  3B,106319530,106312923.0,,33.026, -83.721
Boulder  4,106319535,106312923.0,,33.026, -83.721
Boulder  5,106319538,106312923.0,,33.026, -83.721
Boulder  6,106319542,106312923.0,,33.023, -83.72
Falling Creek Boulder,109953735,106312923.0,349,33.028, -83.723
Random Boulder,106371807,106312923.0,446,33.024, -83.714
Hogpen Gap,106985289,105897947.0,"3,402",34.727, -83.842
Indian Seats,109644104,105897947.0,"1,963",34.25, -84.135
Jones Bridge Park,111655013,105897947.0,889,34.001, -84.239
Juliette Boulders,106321040,105897947.0,491,33.03, -83.767
The Brain,106322398,106321040.0,,33.03, -83.767
The Line,106340461,106321040.0,,33.03, -83.767
Right Scoop,106330300,106321040.0,,33.03, -83.767
Thenar Wedge,106321427,106321040.0,,33.03, -83.767
The Throne of God,106322376,106321040.0,,33.03, -83.767
Turtle’s Landing,115453651,106321040.0,491,33.03, -83.767
Waterworld,107420914,106321040.0,,33.03, -83.767
The Wedge,106321157,106321040.0,,33.03, -83.767
Lake Allatoona Boulders,119449799,105897947.0,890,34.171, -84.73
Lake Lanier Boulders,106759338,105897947.0,"1,071",34.205, -84.05
The Roche Cove Boulders,106759347,106759338.0,"1,071",34.205, -84.05
Limestone Quarry,111314077,105897947.0,322,32.415, -83.726
Doses and Mimosas,111314100,111314077.0,325,32.416, -83.726
Lost Wall,105900335,105897947.0,"1,392",34.667, -85.371
Metro-Atlanta Area,106112610,105897947.0,"1,008",33.752, -84.386
Allenbrook,106086339,106112610.0,934,34.01, -84.355
Island Ford,111303901,106112610.0,968,33.992, -84.328
Front Steps,114213021,111303901.0,887,33.989, -84.325
Pancake Boulder,111346380,111303901.0,870,33.992, -84.326
The Sandman,111303913,111303901.0,914,33.992, -84.326
Sundrop Boulder,111304054,111303901.0,887,33.995, -84.326
Urban Bum,116473569,111303901.0,902,33.993, -84.325
Joey's Rock,118104997,106112610.0,797,33.909, -84.45
Long Island,106113167,106112610.0,815,33.868, -84.453
Medlock Bridge Park,112834464,106112610.0,903,33.995, -84.205
The Palisades - West,116089008,106112610.0,797,33.894, -84.445
The Palisades,107134105,106112610.0,860,33.897, -84.442
Bamboo Forest Area,116848505,107134105.0,860,33.894, -84.442
