name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Back Pocket,119824948,Boulder,119824703,V2,0,1,2.0,1.0,"Plant a classic Ansley Right Heel Hook(TM) and pull over it, enjoying the pocket on the face of the climb before topping out.",{200180201: 2}
Blue Ridge Fire Brigade,119824969,Boulder,119824703,V1-,0,1,3.0,1.0,Start by pinching sharp pancakes and using excellent feet to prepare for a cool ascent up the obvious left-moving arete. Descend via tree for the full experience.,{200180201: 3}
Classic City Slab,119824713,Boulder,119824703,V0,0,1,3.0,1.0,Start standing at the leftmost part of the boulder. Follow excellent holds to the tippy tippy top for a true classic city slab. Warm up your mantle here.,{200180201: 3}
Classic City Slab Sit Start,119824940,Boulder,119824703,V1-2,0,1,2.0,1.0,"Butt on the floor, left hand in the pocket, then move up and left before joining up with Classic City Slab.",{200180201: 2}
Cyclops,119824753,Boulder,119824703,V3,0,1,3.0,1.0,"Sit start at the ledge with a right heel before getting situated to throw to the nostril of your choice. Climb up the eye and slight right for a sloped top out with great feet. Avoid tree beta, but who ever really cared about a dab?",{200180201: 3}
Dad's Massage Gun,119824935,Boulder,119824703,V3,0,1,2.5,2.0,"Start at Cyclops but climb up and right, following the face of the boulder instead of using any hand or footholds right of the crack. ","{200218717: 3, 200180201: 2}"
The Eggman,119824914,Boulder,119824703,V4+,0,1,3.0,2.0,"Start with right hand on the clam-shaped shelf under the roof and another hand palming the bowl just over the ledge. You'll want to throw right and up to follow crimps and side-pulls right of the eggman, with beta on the intermediate slopers varying depending on your preference. Top out straight up after finding your feet and trying hard not to dab on the floor. But who minds a dab anyway...","{200180201: 3, 200965587: 3}"
Hipsin,119828892,Boulder,119824703,V1-2,0,1,1.0,1.0,Start on the sharp pancakes of Blue Ridge Fire Brigade but climb straight up using the mini-arete.,{200180201: 1}
Palmada,119856261,Boulder,119824703,V1-2,10,1,1.0,1.0,Two-hand start on jug under shelf. Slap up above you and continue straight up on good holds. ,{200218717: 1}
Shantipack,119824830,Boulder,119824703,V1,0,1,3.5,2.0,"Start without hands. Yes. Without hands.Cam those feet in as far left of the roof off-width as you can. Do a curl-up to get the first hand-holds, then progress right with extra points if you land the excellent double knee bar and pause to take in the view of the river behind you fully upside-down. Regain normal circulation by grabbing jugs on and near the arete that marks the end of the crack and finding smears below for feet.Move right to top out above the Eggman.","{200180201: 4, 200218717: 3}"
