name,id,parent_id,elevation,latitude,longitude
Hawaii,106316122,,"-1,805",21.167, -157.94
Hawaii (Big Island),109264557,106316122.0,"7,582",19.622, -155.536
Beach 69,118315498,109264557.0,1,19.982, -155.829
Cape Kumukahi,116091602,109264557.0,23,19.513, -154.811
End Of The World (Deep Water Solo Cave),107523825,109264557.0,1,19.548, -155.959
getto rock,106612160,109264557.0,162,20.075, -155.855
Kilauea Iki Crater,107212772,109264557.0,"3,575",19.415, -155.243
Kua Bay,111110117,109264557.0,2,19.811, -156.007
Mahukona Beach,118312408,109264557.0,9,20.183, -155.901
Mauna Kea,114206306,109264557.0,29,20.004, -155.823
Papakolea Beach (Green Sand Beach),109069723,109264557.0,25,18.936, -155.646
South Point Cliffs,110164587,109264557.0,6,18.915, -155.683
Waianuenue,112262304,109264557.0,400,19.719, -155.111
Kauai,109264168,106316122.0,"4,672",22.077, -159.523
"""Secret"" Beach (Kauapea)",109380818,109264168.0,4,22.223, -159.419
Dragon's Breath,114293079,109264168.0,42,22.223, -159.425
Dragon's Breath & Vicinity,114303888,114293079.0,12,22.22, -159.426
Dragon's Breath Area Bouldering,114295600,114293079.0,32,22.222, -159.425
Scales boulder,117649101,114293079.0,32,22.222, -159.425
"Glass Beach, Kauai",106880042,109264168.0,20,21.898, -159.585
Haena State Park,109349676,109264168.0,20,22.22, -159.566
Maniniholo Cave,109349681,109349676.0,,22.22, -159.566
Wet Cave (Blue Room),112425349,109349676.0,48,22.22, -159.581
Hideaways Beach,114784185,109264168.0,1,22.224, -159.494
Honeymooners Hole,113185026,109264168.0,12,21.881, -159.425
Kahili Beach (Rock Quarry),109384286,109264168.0,14,22.221, -159.383
"Kalalea Mountain, Kauai",106935411,109264168.0,20,21.899, -159.584
Kalihiwai Beach,114257701,109264168.0,2,22.217, -159.429
Kealia Coastal Path,109264173,109264168.0,3,22.108, -159.296
Kokee State Park,114968562,109264168.0,"3,732",22.132, -159.65
Lumaha'i Beach,109360080,109264168.0,17,22.215, -159.52
Lumahai East,109361423,109360080.0,2,22.215, -159.52
Lumahai West,109361426,109360080.0,3,22.215, -159.526
Salty Toes,118591245,109360080.0,13,22.217, -159.532
Makaleha Mountains,109265787,109264168.0,"3,071",22.115, -159.4
Makauwahi Cave,110269064,109264168.0,-63,21.889, -159.402
Mokolea Point,114545754,109264168.0,20,22.224, -159.383
Na Pali Coast,114557155,109264168.0,-51,22.19, -159.64
Kalalau Beach,114557170,114557155.0,32,22.172, -159.66
On Stranger Tides,113179957,109264168.0,25,21.895, -159.406
poipo boulders,114545205,109264168.0,4,21.868, -159.444
Turtle Cove,114489986,109264168.0,8,22.229, -159.483
Wailua River,108224633,109264168.0,15,22.039, -159.36
Waimea Canyon State Park,114804525,109264168.0,738,22.066, -159.644
Lanai,110277643,106316122.0,"3,366",20.834, -156.924
Hulopo'e Bay,110283047,110277643.0,5,20.834, -156.924
The Gazebo,110291696,110283047.0,3,20.834, -156.924
Maui,109264554,106316122.0,"1,994",20.799, -156.338
The Backside,112239630,109264554.0,30,20.928, -156.697
Black Rock on Maui,106453177,109264554.0,3,20.927, -156.697
Dragon's Teeth,117660727,109264554.0,1,21.006, -156.656
Honolua Bay,110269351,109264554.0,10,21.014, -156.638
Kahakuloa Head,110269317,109264554.0,200,20.999, -156.545
Caudal Peduncle Boulder,110270975,110269317.0,200,20.999, -156.545
Kahakuloa Head & Kahekili's Leap,110418645,110269317.0,636,21.001, -156.545
The Rummikube,110422182,110269317.0,200,20.999, -156.545
Kamaole Beach Park III,116125627,109264554.0,2,20.711, -156.446
McGregor Point,111871760,109264554.0,44,20.777, -156.523
"Nakalele Point (aka ""Blowhole"")",110292395,109264554.0,50,21.027, -156.589
The Anvil,110303817,110292395.0,50,21.027, -156.589
Bikini Bottom,110417891,110292395.0,100,21.027, -156.589
Davey Jones Locker,110418098,110292395.0,100,20.3, -156.36
The Patio,110292468,110292395.0,60,21.027, -156.589
Venus Pool,112242519,109264554.0,25,20.704, -155.995
Molokai,116787571,106316122.0,970,21.135, -157.007
Bomb Bay,117005807,116787571.0,26,21.159, -157.274
Kamakahi Gulch: Menehune Wall,117046311,116787571.0,118,21.188, -157.236
Pohaku Mauliuli Lithified Sand,116787594,116787571.0,21,21.195, -157.248
Oahu,106343403,106316122.0,551,21.463, -157.984
The Arch,109284146,106343403.0,11,21.569, -158.269
Jungle Boulders,107481843,106343403.0,442,21.419, -158.027
Lowlands,114122848,106343403.0,398,21.432, -157.996
Makapu'u Point,106463822,106343403.0,155,21.309, -157.657
Mokule'ia Wall,106457411,106343403.0,725,21.574, -158.23
Nuuanu Memorial Park & Mortuary (Town Boulders),109181671,106343403.0,142,21.324, -157.847
Highball Boulder,109184470,109181671.0,,21.325, -157.847
Rise Boulder,109182042,109181671.0,,21.324, -157.847
Roots Boulder,109182374,109181671.0,,21.324, -157.847
Warm-up Boulder,109181780,109181671.0,,21.324, -157.847
Zombie Boulder,109182401,109181671.0,,21.324, -157.847
Oz,109185563,106343403.0,,21.463, -157.984
First Tier,109188416,109185563.0,,21.463, -157.984
Third Tier,109190255,109185563.0,,21.463, -157.984
Sacreds,109215940,106343403.0,24,21.638, -158.067
Waimea Bay Bouldering,106603666,106343403.0,31,21.639, -158.064
Yi Wall,113238693,106343403.0,5,21.63, -157.921
