name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Dodge the Tide,118315579,Boulder,118315498,V0,0,1,2.0,1.0,Beginning footing is obviously slippery.  Climb up and over the center.,{200503117: 2}
Jackfruit Stew,116091632,Boulder,116091602,V0,12,1,2.0,1.0,"Walk to the end of the black sand beach. Climb the freestanding boulder on the smooth side (NW, mauka). Beware the rough side breaking off. Clear away any rocks at the base beforehand for a soft landing.  Variation: top out naked V0+ ",{200386776: 2}
Crab Traverse DWS,107526170,Boulder,107523825,5.10-,30,1,2.0,2.0,It was named crab traverse for the several crab shells found in the horizontal crack as well as the crab like positioning on the first half of the traverse.    Start on the right or do everything opposite and start on the left which may be more natural but dangerous being tired over rocks at the end.  Start in the obvious horizontal crack at the first prominent overlap in the roof.  Move left on really good hands and ok high feet.  When the crack tapers off you should be above and just right of the main cove.  Move to overhanging holds and stay above the cove.  A few tricky moves into big pockets moves you down and left of the otherwise blank face.  Finish by moving a little lower and around the low overhanging arête.    The leftward variation is advised just to be cautious of the exposed rock on the first few move on the right.,"{107229353: 2, 107610322: 2}"
Dong Central Station,110479963,Boulder,107523825,V1-2,15,1,3.3,3.0,Pretty fun climb. The holds are nice and juggy. The crux is right before you ascend to top out of the climb. The only concern is making sure you straighten yourself before falling into the water 20ft below!,"{112511761: 4, 200442463: 4, 110479961: 2}"
If You're Ballzy Enough,111866230,Boulder,107523825,V1,20,1,3.0,4.0,Pretty fun! I wanted to do a bat hang over the water so I figured out a route to do it!,"{110479961: 3, 110520425: 3, 111718218: 3, 200086388: 3}"
Rip Hide DWS,107523832,Boulder,107523825,5.10c,25,1,3.0,9.0,Named Rip Hide because it was sent when swell was big and it sliced through my hands and feet when I tried it first without tape.  Because it is a DWS route I am giving a detailed beta filled description that for some would ruin the onsight.    Traverse in from the left or climb from the water into the central cove big enough to stand in the mouth of it.  From the cove traverse up and further right to the main wide crack in the roof.  This section of the roof is surprisingly easy with huge jugs elbow deep in the offwidth roof crack.  Find a solid doorknob sized hold at the lip with your right and move your left hand to the base of a mini arête at the lip.  The next move pulling the lip is the crux.  Move your right hand to either the crack (looks easier but is probably a slightly harder move) or on the next good placement on the arête.  These moves are all fairly laybacking with your left foot plastered on the left side of the lip.  Shift a little further left and reach far with your left hand for good holds and top out.    This route is probably the safest top out route being directly in the center of the cave you would land exactly where the cliff jumpers do.,"{200112845: 4, 200442463: 4, 107229353: 3, 106602432: 3, 200280280: 3, 106735252: 3, 200188028: 3, 110625617: 2, 112826729: 2}"
Broda Iz,107212803,Boulder,107212772,V1,0,1,1.0,1.0,Climb the featured arete,{107183498: 1}
Mark of the Haole,107212787,Boulder,107212772,V3,0,1,2.0,1.0,"Climb the rounded belly of the most prominent boulder.   eliminate the right hand for a direct dyno, around V6",{107183498: 2}
RIP Rock,111110207,Boulder,111110117,V5,15,1,2.0,1.0,"Overhung problem, V5, easy to get to, the stone is  razor sharp, don't slip or you open yourself up.",{110363094: 2}
Sandy Butt,111110910,Boulder,111110117,V1,12,1,3.0,1.0,"Balancy Problem, the easiest of the fingers of any of the boulders in the area. crux is about 3/4 of the way up.",{110363094: 3}
Shredder is a Turtle,111110861,Boulder,111110117,V3,8,1,1.0,1.0,"Sit-start boulder problem, sharp stone, don't cut yourself",{110363094: 1}
Touch O' Green,111110889,Boulder,111110117,V1,5,1,1.0,1.0,"Short problem, sit-start, whole thing is the crux.",{110363094: 1}
Water Moccasin,111110873,Boulder,111110117,V3,9,1,2.0,1.0,"Sit-start, balancy problem, crux is at the beginning.",{110363094: 2}
Harbor Rubble,118312466,Boulder,118312408,V0,0,1,2.0,1.0,Sit start with left hand in crack and right hand on sliver in front of smeared cement.  Goes up to a 3 finger crimp and up and over the right side.,{200503117: 2}
Bodybag,114206314,Boulder,114206306,V2+,10,1,2.0,1.0,"Located right below a creepy looking hut, three moves and the route is finished, for a harder route go for the sit start.",{7099556: 2}
Olivine's Crack,114072013,Boulder,109069723,V3,15,1,2.0,1.0,"A fun crack climb boulder problem, over sand. The crux is at the very top when trying to traverse left out of the crack and top out. Some of the footholds may break off. While working the crack there is a rock on the ground about 8 feet behind you to watch out for if you fall.",{200217041: 2}
Pele's Melee,109069731,Boulder,109069723,V1+,10,1,0.0,,"Start to left under roof on jugs, make long reach to topout holds. Weather-rounded holds make it much friendlier than the sharp volcanic rock surrounding.",
The Blowhole DWS,110138512,Boulder,110164587,5.6,35,1,1.0,1.0,"Very Ledgy. It's pretty easy, many different holds to choose from. Only climb when the surf is NOT rough!",{110138496: 1}
HighTide Pocket,110164596,Boulder,110164587,V1-2,8,1,2.8,4.0,"The problem starts from a long thin ledge overhanging the water on the right side of the cave, and finishes in a pocket in the cliff face large enough to sit or stand in. From the left side of the thin ledge, climb up along the arete of the formation to the pocket right above (V2). Alternately, from the right side of the ledge, climb straight up to the large pocket holds and then traverse left and up to the top (V1). The crux is the first move or two getting above the ledge from hanging in the water. Watch for sharp and/or slightly loose rocks near the top.","{110520425: 3, 111877155: 3, 111718218: 3, 110164576: 2}"
"""For Whom The Roof Tolls""",117342798,Boulder,109380818,V7,16,1,3.0,1.0,"SDS - Start on the right side of the cave, with both hands on the big brain. Climb up into the roof. The crux is crossing through while holding onto the left hand pinch, then down-climbing back to the ground.",{200498958: 3}
Feathers in the Sand,114459780,Boulder,109380818,V4,15,1,2.0,1.0,"SDS 15 ft right of the cave, crimping on a block around waist height. Make a big reach up left, then an even larger span into an iron cross. Continue left to a jug where the cave starts. Avoid the jugs atop the shelf when possible, a contrived eliminate.",{109152722: 2}
Huaka'i po (Nightmarchers),114366024,Boulder,109380818,V3,12,1,3.0,1.0,SDS as low as possible in cave. Move up through underclings to a big reach to a hold on the face. Finish slightly higher on a juggy horn.,{109152722: 3}
Menehune Traverse,114366131,Boulder,109380818,V4,150,1,3.0,1.0,"Long, sandy, pumpy traverse on crumbly rock.  In Hawaiian lore, the menehune are dwarf sized people, hidden in the forests and valleys of the islands.",{109152722: 3}
Paupueo,114365829,Boulder,109380818,V2-3,10,1,2.0,1.0,"SDS w/ R hand sidepull jug. Reach left hand to undercling/handjam (!). Work up to two slopey crimps above the bulge. Deadpoint to jug up and left. Match and drop.  In Hawaiian, Paupueo is the name of the Owl god, who would send his owls after the legendary menehune people when they became unruly.",{109152722: 2}
Uhu Poo,114365872,Boulder,109380818,V2,10,1,2.0,1.0,"SDS very low on left undercling. Move right to a perfect crimp rail, then up and stay left over bulge to hit jugs at ~10 feet.",{109152722: 2}
Unnamed  1,109380950,Boulder,109380818,V1,10,1,1.0,2.0,Up on puzzle piece crimps,"{109152722: 1, 107717653: 1}"
Unnamed  2,109380942,Boulder,109380818,V1,12,1,1.0,1.0,Start low on chocolate pudding crimps and go straight up the arete/bulge.,{109152722: 1}
Unnamed  3,109380933,Boulder,109380818,V1,10,1,1.0,1.0,Start low and right on a slot jug and work up left crossing the dihedral onto juggish crimps. Make one long move onto more good holds and continue to the top.,{109152722: 1}
Unnamed  4,109380923,Boulder,109380818,V0-,10,1,1.0,1.0,Start just left of the ramp and work up on big crimps and jugs. Easy.,{109152722: 1}
The Bone Dragon,117660235,Boulder,114295600,V5,10,1,3.0,2.0,Steep compression line starting under the steepest part of the boulders land side. Great stone and cool moves lead to an enjoyable topout with amazing views.,"{108073332: 3, 109152722: 3}"
Dead-Eye Cajun,114405996,Boulder,114295600,V7,10,1,3.0,3.0,Start on the obvious jug low in the middle of this side of the boulder. Gain a wide pinch then heel hook and deadpoint up left to a crimp that places a spike in the middle of your hand. Hold this and finish up. Surprisingly great rock quality.,"{200220654: 4, 108073332: 3, 109152722: 2}"
Door to the Dragon's Lair,114468917,Boulder,114295600,V2,11,1,3.0,1.0,"Weird start with LH sloper, RH good crimp, and RF far right on an edge or pocket placing you horizontal. Lock off and reach up right to your choice of holds, then eventually make your way to the great crimp in the middle of the face and finish higher on easier ground.",{109152722: 3}
The Dragon's Egg,114376075,Boulder,114295600,V0,12,1,4.0,1.0,SDS Middle of front of boulder. Climb up on good jugs and incuts.,{109152722: 4}
The Dragon's Talon,114295624,Boulder,114295600,V2,10,1,3.0,1.0,"Start low under the overhang on a jug/horizontal hand jam. Make reachy moves up and out on good holds to the lip. Turn and mantel the enjoyable, juggy topout.",{109152722: 3}
Haunting the Flesh,114406009,Boulder,114295600,V4,8,1,2.0,2.0,"SDS on RH jug and LH sidepull. Make a big move up right to a jug, then a toe hook and a committing move up left. You will definitely hit your head on the boulder behind you.","{109152722: 2, 108073332: 2}"
Molting Lava,114376743,Boulder,114295600,V2,12,1,2.0,2.0,SDS on obvious large horn jug on the arete. Climb straight up to a crux topout.,"{109152722: 2, 200220654: 2}"
Night Fury,114468413,Boulder,114295600,V5,14,1,3.5,2.0,Start compressed next to the loose fang with RH on a crimp. Follow amazing pinches up and left to the most obvious jug/horn finish.  Beware the choss above.  A V4 variation skips the crimp start and begins with the good sidepull.,"{109152722: 4, 108073332: 3}"
Obsidious,114431976,Boulder,114295600,V2,0,1,2.0,1.0,SDS and climb through tough slopers,{109152722: 2}
