name,id,parent_id,elevation,latitude,longitude
Idaho,105708958,,"9,037",43.644, -114.697
Central Idaho,112960905,105708958.0,"8,238",44.123, -114.763
Banner shield,112800316,112960905.0,"7,500",44.35, -115.236
Below the dam buttress,119225655,112960905.0,"5,929",44.268, -114.733
Billy Goat Buttress,112201054,112960905.0,"9,500",43.828, -114.556
Box Canyon,107290450,112960905.0,"5,258",43.862, -112.92
Bardini Wall,107290939,107290450.0,,43.869, -112.917
James Bond Wall,108131830,107290450.0,,43.863, -112.918
Lower Canyon Slabs,108132027,107290450.0,,43.861, -112.919
The Narrows left side,107295534,107290450.0,,43.869, -112.916
The Narrows Right Side,111773081,107290450.0,"5,574",43.869, -112.916
Shade Wall,107290458,107290450.0,,43.868, -112.916
Sky Buttress,108131896,107290450.0,,43.863, -112.919
Sun Slab,107290478,107290450.0,,43.863, -112.92
Texas Barbecue,111773110,107290450.0,"5,429",43.866, -112.919
Challis Pallis,118738742,112960905.0,"5,026",44.468, -114.219
The dam buttress,112208828,112960905.0,"6,000",44.267, -114.739
The Fins,108134051,112960905.0,"7,757",43.731, -113.084
The 56 Wall,111096246,108134051.0,"7,730",43.73, -113.083
The Discovery Wall,108134199,108134051.0,"7,417",43.727, -113.082
Jet A Sector,108134216,108134199.0,,43.727, -113.082
Martini Sector,108134257,108134199.0,,43.727, -113.082
Mothership Sector,108134244,108134199.0,,43.727, -113.082
The Head Wall,108134063,108134051.0,,43.73, -113.084
The Honing Stone,108134159,108134051.0,"7,777",43.73, -113.084
Mortal Earth,113384606,108134051.0,"6,500",43.72, -113.077
Gateway Rock,114315640,113384606.0,"6,572",43.721, -113.076
Rolling Stone,115405792,113384606.0,"6,748",43.721, -113.077
Classic Rock,113185115,113384606.0,"6,732",43.72, -113.076
Alt Rock,119122949,113384606.0,"6,747",43.72, -113.076
Burning Spear,112851201,113384606.0,"6,809",43.72, -113.077
Psychedelic Rock,113385152,113384606.0,"6,796",43.72, -113.077
Rock of Ages,113267872,113384606.0,"6,849",43.721, -113.077
The Watchtower,113385235,113384606.0,"6,903",43.721, -113.077
American Beauty,113558222,113384606.0,"6,954",43.721, -113.077
Sea of Joy,113558203,113384606.0,"7,023",43.721, -113.078
Dark Side of the Moon,113558217,113384606.0,"7,033",43.721, -113.078
Stone Temple,113558185,113384606.0,"6,821",43.722, -113.078
Cannonball Wall,117244271,113384606.0,"6,967",43.722, -113.078
Wonderwall,115137637,113384606.0,"6,921",43.722, -113.078
X-Crack Crag,113385254,113384606.0,"6,715",43.722, -113.077
Solar Inversion Wall,117283995,108134051.0,"7,389",43.727, -113.081
Solstice,109427610,108134051.0,,43.731, -113.084
Yellow Cake,110940078,108134051.0,,43.731, -113.084
Grand View Canyon,118738774,112960905.0,"6,218",44.363, -114.072
Lemhi Range,111690117,112960905.0,"9,119",44.245, -113.175
Bell Mountain,115381452,111690117.0,"11,315",44.236, -113.195
Diamond Peak,106181931,111690117.0,"12,197",44.141, -113.083
Saddle Mountain,119282241,111690117.0,"9,126",44.245, -113.175
The Saddle's Horn,117056662,111690117.0,"7,957",43.895, -112.951
Lost River Range,107815348,112960905.0,"12,662",44.116, -113.757
Bear Creek Wall,114622135,107815348.0,"8,114",43.989, -113.494
The Left Side,114622321,114622135.0,"8,042",43.988, -113.494
Lower Tier,114622259,114622135.0,"8,071",43.988, -113.494
The Main Wall,114622395,114622135.0,"8,241",43.988, -113.494
The Right Flank,114622609,114622135.0,"8,177",43.988, -113.494
Cedar Creek,111810456,107815348.0,"8,000",44.123, -113.81
GFC Wall,111962383,111810456.0,"8,542",44.123, -113.809
Main Wall,111958557,111810456.0,"8,553",44.123, -113.808
Via Ferrata Wall,111962356,111810456.0,"8,533",44.123, -113.808
Morgan Creek,111389707,107815348.0,"5,500",44.653, -114.215
