name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Drill em all,115456262,Trad,112800316,5.10a/b,200,2,3.0,1.0,"P1 climb left facing corner past a small roof and onto grooved slab above. Cams available then clip a bolt, move up to next bolt (crux) move right to flake. Clip a pin in another flake then follow diagonal right about 20’ to 2 bolt belay. P2 head up and left from anchor. 5 bolts to another anchor. Don’t be tempted by flare on the right, it is nasty! Stay left on good clean rock. Rap with single 60.",{112190756: 3}
Making America grope again,112800327,Trad,112800316,5.10+,200,3,4.0,1.0,"Three pitch friction slab with gear and bolts. Bolted on lead so not a sport route. Start middle of wall by an obvious pointy flake under an overlap roof. Flake offers sling pro before a bolt. Face moves past bolt to roof and gear2-3 Camelot and wire at lip. Pull around onto slab above. Shallow water runnels and good friction past 3 bolts takes you to a nice scoop and a DBB. 30m, 5.9.    Pitch 2 is the money, climb up and right of belay small cam in slot up to an obvious vertical groove with a bolt. Weird moves here and a good piece of pro then up to a left trending corner and large cam. Move out of corner left under horizontal roof to a smooth ramp and another bolt, keep smearing left to another bolt and smearsmearsmear left till you can reach a vertical crack at left end of roof (crux) and a hanging DBB. Whew! Watch rope drag on this one, 25m, 5.10+PG13.   Pitch 3 follows the crack past 2 bolts then it lays back DBB,15m 5.9.",{112190756: 4}
Andre the giant,119225718,Trad,119225655,5.10c,75,1,3.0,1.0,"The arete immediately right/ upstream from attack of the spider monkey. Climb an unprotected slab about 20 feet to a horizontal crack, medium cam or reach up to slab above for the first bolt. Pull onto this slab from right side and move left to arete and a good small cam or wire. Another thin crack above holds a small cam. Move up arete to a slabby ledge below a roof. Piton here and long sling recommended. Move right then up till you can clip a bolt. Harder moves past this and hard clip for second bolt, harder moves past this to double bolt belay above. Great rock and fun this moves.",{112190756: 3}
Attack of the spider monkey,119225691,Trad,119225655,5.10b,75,1,3.0,1.0,"This is the left most route and is recognized by a square cut arete leading to a small tree. Start by large tree at base, stepping left onto arete and a bolt. A small cam is available in a slot above this, then a small runout takes you to the next bolt. The crux is thin moves above the bolt to the tree, sling and a good .75 under the roof. Move right and pull the roof, good medium cam, then to double bolt anchor. This route was climbed ground up free, so the bolting was done where I could get a good foot hold, Not a sport climb sorry! ",{112190756: 3}
The green iguana,119225786,Trad,119225655,5.8,75,1,1.0,1.0,"The scrappy right facing corner to the right of KOTSW. It is the back of the tower the previous route climbs. With a dedicated cleaning crew, half gallon of gas and a fire hose, this would be pretty classic 5.8 crack climbing. Climb the corner with a crux about half height, it becomes wider at top. Either climb over rim and a tree belay or stem onto summit of tower and use KOTSW anchors.",{112190756: 1}
Bardini Wall,107290942,Sport,107290939,5.10c/d,300,3,3.0,10.0,P1- 5.8 90'   P2- 5.10c/d 90'   P3- 5.10a 120',"{200189039: 4, 200173290: 4, 107941193: 4, 106523837: 3, 109385742: 3, 106799524: 3, 107075506: 3, 108766448: 2, 107721531: 1}"
Coral Sea,107290949,Sport,107290939,5.10a,150,1,3.5,4.0,a very long single pitch.,"{106799524: 4, 107499704: 3, 107075506: 3}"
Barely Legal,108131852,Sport,108131830,5.11a/b,45,1,2.5,4.0,Enjoyable climbing leads to a seriously thin crux. Balance and friction will get you through the top (maybe).,"{200189039: 3, 200098252: 3, 200065743: 2}"
Dr. No.,108131844,Sport,108131830,5.12c/d,30,1,2.0,1.0,"Short and difficult. Thinner and steeper than Oddjob, this one's a challenge.",{107075506: 2}
High Society,108131859,Trad,108131830,5.9,45,1,0.0,1.0,"Start on unprotectable chossy slab to access the flake. Take caution as a fall here will grate you into skin-ribbons.  After the slab, place gear and pray to your gods that the flake won't flex outward (as it did mine), rendering your puny placements ineffective. This one will test your convictions.  Descent: Walk off or rap from the chains on Barely Legal, drive home to shed tears upon your pillow.",{}
Oddjob,108131834,Sport,108131830,5.10d,25,1,3.2,6.0,"Short little climb with fun movement. Easy start, easy finish with engaging middle.","{200189039: 4, 107075506: 3, 108235430: 3, 200098252: 3, 200173290: 3}"
Thunderball,108863772,Sport,108131830,5.13a,25,1,3.0,3.0,Start with some thinner moves up to a flat jug rail. Then bust out the hard bouldery section to the anchors. Really fun moves!,"{107075506: 3, 200682962: 3, 200238672: 3}"
It Ain't a Perfect World,108132052,Sport,108132027,5.8,85,1,2.6,5.0,Fun and easy low-angle slab.,"{109135865: 3, 107075506: 3, 110390745: 3, 108766448: 2}"
Same at it Never Was,108132044,Sport,108132027,5.8,70,1,2.0,6.0,"A notch above Wish List in difficulty, similar slab climbing on positive rock. This one ascends left of the cave/pod.   More run-out than Wish List, a bit heady if 5.8 is your limit.","{109135865: 2, 107075506: 2, 108766448: 2, 112429854: 2, 200098252: 2}"
Wish List,108132032,Sport,108132027,5.7,85,1,3.0,4.0,"Fun route at the grade. Sustained 5.7 climbing on easy slab. Ample space between bolts, so be comfortable with 5.7 climbing. ","{109135865: 3, 107075506: 3, 108766448: 3}"
Canvas of the Sheepeaters,115153025,Sport,107295534,5.10c,25,1,2.0,4.0,"Sometime in the last three or four years, somebody decided it would be a good idea to bolt a route in perhaps the most conspicuous location in the canyon. Despite the dubious development, this short route features some interesting movement on mostly side pulls. Follow the vertical series of two-finger pockets. No definitive crux, but sustained at the grade.  Having found no one to illuminate either the developer, the FA, or the route name, I'm calling the route Canvas of the Sheepeaters since the routes on this wall are closely adjacent to a panel of pictographs. If someone knows the actual name, please let me know.  Please offer grade suggestions. I’m saying 10c based on the one time I’ve been on it, but I don’t really know.","{200361550: 2, 200098252: 2, 200173290: 2}"
Lemhi Winds,107295541,Sport,107295534,5.10a,60,1,3.3,8.0,Good clean fun. I wish there was a second and a third pitch,"{108157562: 4, 108766448: 4, 110390745: 4, 107075506: 3, 106799524: 3, 200361550: 3, 106523837: 2}"
The Thread,107295552,Sport,107295534,5.12c,100,1,3.0,2.0,Very delicate slab climbing. Named for a threaded sling at about 1/2 height.,"{107075506: 3, 106799524: 3}"
Rite of Passage,111773086,Sport,111773081,5.11c,70,1,3.8,5.0,"""Super quality Rock"".  A good mix of technical and powerful, this route is spicy fun!  Also, this route stays cooler with the shade and sometimes the strong wind blowing through the natural air plenum that it lies.","{107075506: 4, 200189039: 4, 200173290: 4, 200098252: 4, 108766448: 3}"
Nappy Dread,107290463,Sport,107290458,5.10b,350,3,3.1,12.0,"P1- 5.7 start just left of a big boulder with a giant anthill at the bottom. the bolt line trends right through easy terrain, then steepens to an awkward lip encounter right before the belay.     P2- 5.9 Go straight up for two bolts, then move right. short pitch, maybe 5 bolts.     P3- 5.10b Get up on the ledge and take 3 steps left. getting to the first bolt is pretty thin. bolt line trends left.","{107721531: 4, 107390063: 3, 200098252: 3, 109385742: 3, 108766448: 3, 109561867: 3, 107941193: 3, 106523837: 3, 106799524: 3, 107075506: 3, 200173290: 3}"
Spirit World,107290511,Sport,107290458,5.11a,350,2,3.5,11.0,"P1- 5.9, 195'   I'm told this is one of the best 9's around, especially because of its length.    P2- 5.11a, 160' ","{107075506: 4, 200173290: 4, 200098252: 4, 110728916: 4, 109561867: 4, 106523837: 4, 111762476: 4, 106799524: 3, 107390063: 3, 108766448: 2}"
