name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Big Wall Greg's Chicken Shack,106017471,Sport,106017463,5.6,0,1,2.8,180.0,Relatively low angle route with good hands and feet.,"{105820203: 4, 106804138: 4, 106662993: 4, 108046773: 4, 108339947: 4, 109228346: 4, 109357760: 4, 110150702: 4, 108027731: 4, 109561867: 4, 110959609: 4, 108331507: 4, 112002095: 4, 110793763: 4, 112245126: 4, 107548818: 4, 111280088: 4, 112490688: 4, 112813239: 4, 111127829: 4, 200225928: 4, 200260413: 4, 112816136: 4, 200283247: 4, 111925488: 4, 110968389: 4, 200169290: 4, 112322764: 4, 108140001: 4, 200464776: 4, 200180573: 4, 110985244: 4, 200338585: 4, 107752406: 3, 105794043: 3, 107769834: 3, 106057360: 3, 107871971: 3, 105841087: 3, 107906575: 3, 107016133: 3, 107930775: 3, 106110467: 3, 106241597: 3, 106751248: 3, 106020029: 3, 106533445: 3, 105888900: 3, 106116879: 3, 106226365: 3, 11156: 3, 106351162: 3, 106970637: 3, 107077513: 3, 106744745: 3, 107036187: 3, 107201250: 3, 107245723: 3, 107232016: 3, 107505076: 3, 106262895: 3, 107612754: 3, 108193568: 3, 108034204: 3, 107041196: 3, 107584835: 3, 109390618: 3, 106610639: 3, 110301945: 3, 110330180: 3, 110607462: 3, 110685425: 3, 107734618: 3, 105934987: 3, 110928566: 3, 110642863: 3, 111708751: 3, 110998676: 3, 112073495: 3, 112203412: 3, 110973334: 3, 107385412: 3, 112260466: 3, 111666934: 3, 111798810: 3, 112442913: 3, 111820110: 3, 200106208: 3, 112299011: 3, 112173761: 3, 112794950: 3, 111690225: 3, 7133104: 3, 200146742: 3, 200231434: 3, 112142545: 3, 112468813: 3, 200093542: 3, 200375980: 3, 7041384: 3, 200247353: 3, 112350123: 3, 111402216: 3, 200144283: 3, 200343877: 3, 109101477: 3, 200293932: 3, 200480908: 3, 112165327: 3, 111827724: 3, 200544978: 3, 200592879: 3, 112304915: 3, 200856081: 3, 200675601: 3, 200256105: 3, 112225989: 3, 11178: 3, 200387274: 3, 200327167: 3, 107521255: 3, 107137180: 2, 106736869: 2, 106037853: 2, 107576881: 2, 107654077: 2, 107875017: 2, 107940453: 2, 107127085: 2, 106455989: 2, 105923019: 2, 106280199: 2, 106441937: 2, 106545281: 2, 107360612: 2, 108084234: 2, 108043082: 2, 108233790: 2, 108337517: 2, 108043513: 2, 108700752: 2, 108894743: 2, 107867671: 2, 108462960: 2, 109629054: 2, 108417901: 2, 109744782: 2, 110677995: 2, 108541430: 2, 107755397: 2, 111788406: 2, 111815674: 2, 111686720: 2, 109997538: 2, 111050645: 2, 110236690: 2, 112003012: 2, 110246253: 2, 112285440: 2, 108876770: 2, 112249172: 2, 109230058: 2, 111571658: 2, 200188896: 2, 111149366: 2, 200247210: 2, 200063239: 2, 200374702: 2, 200195704: 2, 200110565: 2, 200389019: 2, 113306774: 2, 200870868: 2, 200426090: 2, 106168914: 1, 108222837: 1, 105816622: 1, 110853696: 1, 109485255: 1}"
Don't Mess with the Bull,106964837,Sport,106017463,5.12c,0,1,3.3,7.0,"On the outside of the tower, 18' left of the hallway entrance","{106804138: 4, 111127829: 4, 107612754: 3, 108046773: 3, 108043082: 3, 112482981: 3, 111259296: 3}"
Echolocation,116660358,Sport,106017463,5.12b,0,1,2.4,5.0,Pull on slopey holds and work your way up a large flake feature. Traverse left and up though large holds to the anchor. ,"{200247201: 3, 112482981: 3, 108373400: 2, 108043082: 2, 112147402: 2}"
Piss Ant,106278192,Sport,106017463,5.11b,0,1,2.7,7.0,This route starts on Which Side Are You On? but after the third bolt use the left line to stay off of Big Wall Greg's Chicken Shack.,"{107036187: 4, 106242770: 3, 108894743: 3, 112482981: 3, 108046773: 2, 107734618: 2, 108043082: 2}"
Point Blank,106716349,Sport,106017463,5.11d,0,1,3.0,3.0,A classic as far as I know.  Solid Rock!!!,"{106701098: 3, 108046773: 3, 108043082: 3}"
Spiders From Mars,106278204,Sport,106017463,5.10b,0,1,3.3,106.0,This route is located between Big Wall Greg's Chicken Shack and Venom.  Go straight up through the slab.,"{107201250: 4, 107360612: 4, 107584835: 4, 110677995: 4, 110607462: 4, 108027731: 4, 105934987: 4, 109228346: 4, 105816622: 4, 111346344: 4, 110642863: 4, 107706155: 4, 110853696: 4, 112203412: 4, 111553648: 4, 110236690: 4, 111127829: 4, 111690225: 4, 111571658: 4, 112147402: 4, 200225928: 4, 112495707: 4, 110685425: 4, 200231434: 4, 200093542: 4, 200292934: 4, 111402216: 4, 200165157: 4, 200387274: 4, 200254762: 4, 112482981: 4, 200206999: 4, 112165327: 4, 200042813: 4, 200505946: 4, 111981168: 4, 200160322: 4, 200256105: 4, 200613184: 4, 200213045: 4, 200101945: 4, 200422326: 4, 106753247: 3, 106736869: 3, 107930775: 3, 107940453: 3, 106751248: 3, 106242770: 3, 106020029: 3, 106351162: 3, 106280199: 3, 107077513: 3, 107115089: 3, 107232016: 3, 108046773: 3, 107612754: 3, 108043082: 3, 105794043: 3, 108043513: 3, 108706200: 3, 107867671: 3, 108462960: 3, 110246253: 3, 107734618: 3, 110959609: 3, 110767291: 3, 107755397: 3, 110850356: 3, 112002095: 3, 106662993: 3, 110708951: 3, 111522632: 3, 111149410: 3, 111666934: 3, 112003012: 3, 112173761: 3, 112260466: 3, 109230058: 3, 111859893: 3, 112142545: 3, 200192295: 3, 112468813: 3, 200188896: 3, 110968389: 3, 200195704: 3, 200464776: 3, 111827724: 3, 111967377: 3, 200252451: 3, 200669043: 3, 107521255: 3, 200366590: 3, 200592879: 3, 11178: 3, 200426090: 3, 106441937: 2, 106262895: 2, 110998676: 2, 111843544: 2, 112245126: 2, 109101477: 2, 200544978: 2, 113306774: 2, 106545281: 1, 107799943: 1, 108222837: 1}"
Spirit,118350016,Sport,106017463,5.12a,30,1,1.5,2.0,This route is located on the backside of the Jimmy boulder. Scramble up the large boulder by Chimichonga to reach the start of the route.,"{108043082: 2, 112482981: 1}"
Stinger Direct,106130183,Sport,106017463,5.11c,0,1,3.0,23.0,Right of Venom.  Start on rock and climb straight up.,"{111127829: 4, 110853696: 4, 107706155: 4, 111827724: 4, 108400997: 3, 112495707: 3, 105934987: 3, 200160322: 3, 107521255: 3, 106415338: 3, 108043082: 3, 109228346: 3, 106110467: 3, 106351162: 3, 106744745: 3, 107036187: 3, 108046773: 3, 105794043: 3, 106751248: 3, 112173761: 3, 109101477: 2, 110968389: 2, 200247201: 2}"
Venom,106069022,Sport,106017463,5.10a,0,1,3.5,146.0,"The physical crux is down low, but the mental crux is the upper slab.  Pull a couple easy moves to the crux.  Pull over the lip to super thin and technical slab climbing at it's finest.","{107646390: 4, 107799943: 4, 105924363: 4, 105934987: 4, 107654077: 4, 107940453: 4, 105875827: 4, 106168914: 4, 14152: 4, 106970637: 4, 11156: 4, 106351162: 4, 106280199: 4, 106437338: 4, 106653710: 4, 106744745: 4, 107115089: 4, 107036187: 4, 107201250: 4, 107360612: 4, 106662993: 4, 106385627: 4, 107481800: 4, 107886361: 4, 107612754: 4, 107041196: 4, 108007868: 4, 105794043: 4, 109470550: 4, 108977849: 4, 110607462: 4, 110685425: 4, 107734618: 4, 110642863: 4, 111733716: 4, 108668316: 4, 111815674: 4, 108331507: 4, 110853696: 4, 106751248: 4, 112147402: 4, 200040892: 4, 112285440: 4, 110968389: 4, 112173761: 4, 111127829: 4, 112490688: 4, 200076725: 4, 112495707: 4, 200231434: 4, 200103825: 4, 200036906: 4, 200254762: 4, 200079034: 4, 200093542: 4, 200188896: 4, 112260466: 4, 111690225: 4, 200375980: 4, 200097103: 4, 200292934: 4, 111402216: 4, 112482981: 4, 200462546: 4, 200360919: 4, 108140001: 4, 200293932: 4, 112165327: 4, 200498633: 4, 111859876: 4, 200252451: 4, 200090850: 4, 200054233: 4, 107521255: 4, 106329550: 4, 200483997: 4, 106415338: 4, 200675601: 4, 200613184: 4, 108290277: 4, 200101945: 4, 200256105: 4, 107510125: 3, 106736869: 3, 107769834: 3, 106037853: 3, 106049853: 3, 106057360: 3, 106110467: 3, 107464192: 3, 106242770: 3, 106455989: 3, 105888900: 3, 106441937: 3, 106262895: 3, 108046773: 3, 106366425: 3, 108233790: 3, 108092606: 3, 108043513: 3, 105822471: 3, 107584835: 3, 108706200: 3, 110246253: 3, 110301945: 3, 110236690: 3, 110648296: 3, 108541430: 3, 109228346: 3, 110928566: 3, 105816622: 3, 107755397: 3, 111743583: 3, 107706155: 3, 112245126: 3, 110708951: 3, 111280088: 3, 108043082: 3, 111843544: 3, 111149410: 3, 109230058: 3, 111859893: 3, 200160322: 3, 200225928: 3, 112142545: 3, 112468813: 3, 112003012: 3, 200464776: 3, 111827724: 3, 200544978: 3, 113306774: 3, 200870868: 3, 200394228: 3, 11178: 3, 200387274: 3, 200327167: 3, 107875017: 2, 106804138: 2, 108193568: 2, 108700752: 2, 108894743: 2, 109101477: 2, 200195704: 2, 111967377: 2, 200766126: 2, 108222837: 1}"
The Voice,107942580,Sport,106017463,5.12d,60,1,4.0,9.0,Climbs the far Right arete of the Jimmy block. Awesome pocket climbing on an exposed arete. Super technical climbing.,"{13407: 4, 105794043: 4, 106744745: 4, 111127829: 4, 112173761: 4, 200042813: 4, 107521255: 4, 200655412: 4, 108043082: 4}"
