name,id,parent_id,elevation,latitude,longitude
Indiana,112389571,,871,40.086, -86.086
Butler University,119417918,112389571.0,751,39.841, -86.171
Garfield Park Railroad bridge,112844776,112389571.0,35,39.735, -86.15
Hemlock Cliffs,112804985,112389571.0,760,38.277, -86.54
Indiana University,114107112,112389571.0,788,39.168, -86.518
Muscatatuck County Park,106169460,112389571.0,645,38.988, -85.618
Cult Boulder,106169527,106169460.0,,38.988, -85.618
H Boulders,106169506,106169460.0,,38.988, -85.618
Heinousness Wall,106169464,106169460.0,,38.988, -85.618
Peach wall,108293938,106169460.0,,38.988, -85.619
Pink Boulder,106169578,106169460.0,,38.988, -85.618
Strawberry Fields,106169591,106169460.0,,38.989, -85.616
Tangerine Wall,106169487,106169460.0,,38.988, -85.619
Zeppelin Boulder,106169559,106169460.0,,38.987, -85.619
Posey Crag,112804940,112389571.0,453,37.96, -87.67
Purdue University Buildering,118308972,112389571.0,621,40.428, -86.914
Belltower Area,118309003,118308972.0,622,40.427, -86.914
Civil Engineering Area,118314352,118308972.0,625,40.43, -86.914
Engineering Fountain,118308992,118308972.0,622,40.429, -86.914
Pao Hall Area,118724566,118308972.0,614,40.422, -86.913
Slater Hill Area,118309050,118308972.0,628,40.432, -86.923
Unlikely Wall,108334937,112389571.0,646,39.027, -86.535
