name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Molly Lou,114546645,Boulder,112804985,V1,8,1,1.8,4.0,"The cracks give nice pockets, so follow them up. Top out on a ledge about eight feet up below the big knob on top. The knob was too chossy for me to try to climb and has dirt and vegetation on top. The crux is getting onto the ledge. Use slopey holds on the ledge and (carefule) underclings above it to get up there.","{200303422: 2, 200677254: 2, 200653675: 2, 200821744: 1}"
The 'Ol College Try,119628389,Boulder,114107112,V3,15,1,1.7,3.0,Reachy moves between good holds with fun movements.  Solid route with good flow.,"{200608773: 3, 200216781: 1, 200955452: 1}"
A Beginner's Guide to Stemming,119458587,Boulder,114107112,V1,15,1,2.0,3.0,"Simple stem from a good hold near the base, climb up to the height of the first window. The crux is either a small traverse to the window sill or a big reach to it. Match and drop-down or mantle and top out on window sill ","{200160322: 3, 200608773: 2, 200216781: 1}"
B-Line bridge connection (traverse),119349003,Boulder,114107112,V4,30,1,2.0,1.0,"Start on north arete of the west side pillar, traverse across and into a limestone bar the spans the gap between the two pillars under the bridge. Traverse across to the other pillar, finish on the north arete.",{200842306: 2}
B-Line bridge pillar projects,119337391,Boulder,114107112,V0,15,1,2.0,1.0,"there are 4 climbable limestone pillars that support the bridge over to Switchyard Park. Each one of these pillars likely have many good eliminates. The shorter 2 pillars are the perfect bouldering height, but the taller 2 are highballs. No problems have been established yet, but there will be some soon. ",{200842306: 2}
Bunches of Oats,119789219,Boulder,114107112,V3,12,1,2.0,1.0,"Start on a crimpy rail and move up to two good holds, then a sketchy hold before topping out.",{200608773: 2}
Come on,118633798,Boulder,114107112,V2,10,1,3.5,4.0,"A surprisingly fun problem. Starts on the positive rail and ends with a big(ish) move to the top. Various beta depending on height. Taller climbers generally trend left, while shorter trend right. Do your best to avoid the arete. ","{200020052: 4, 200426205: 4, 200608773: 3, 200222599: 3}"
Crimply (Adverb),119907903,Boulder,114107112,V3,10,1,3.7,3.0,"Pretty cool route. It's crimpy, balancy, and I found it surprisingly tricky to figure out. Be careful of the stake.","{200020052: 4, 200426205: 4, 200955452: 3}"
Death Wish,119870381,Boulder,114107112,V3-4,12,1,3.0,1.0,Stemming route with powerful moves and very particular feet. Finish with a match on the capstone after several moves that show off how flexible your legs can be.,{200608773: 3}
Heater Express,119787513,Boulder,114107112,V1,15,1,1.0,2.0,"Pretty straight forward chimney between the wall and the door frame. Start to the left of the non-smoking sign, but feel free to rip some heaters before you give her a go. Bit of a move to top out on the lip above the door. Not the best fall, especially when you are above the metal grate. Has been done in Chacos, but should bring a pad or borrow a dorm mattress if you are going to attempt. Late night sends ONLY. ","{200955452: 1, 200216781: 1}"
I Waited 45 Minutes for a Burger,119787535,Boulder,114107112,V2,10,1,2.0,1.0,"Start with a hand in the drain pipe and dyno to the top. One-move wonder, but entertaining to pop out next to people eating their lunch. ",{200955452: 2}
Jelly,117698738,Boulder,114107112,V3,20,1,2.4,5.0,The route starts with a match on the first section of limestone brick that has fallen out which creates a jug like hold with both feet smeared. Then traverse across the rest of the wall using the other sections that have fallen out. Once you have traversed all the way across the final section is the ascent to the top. ,"{200579772: 3, 200608773: 3, 200020052: 3, 200955452: 2, 200216781: 1}"
Night Walk,118809175,Boulder,114107112,V1-2,20,1,3.8,4.0,"Super fun problem. Start on a jug rail, dynamic move to the next rail. High foot, some compression and a reach to a decent pinch. From here match the pinch and get you feet up and you’re at the railing. Mantle over the railing and enjoy the view :) crux is reaching up for the pinch","{200216781: 4, 200919655: 4, 200222599: 4, 200955452: 3}"
One Pump Chump,119870443,Boulder,114107112,V3,12,1,2.0,1.0,Start with a side pull on the left corner and a press into a lower crimp. Work through some pinchy/crimpy holds to the top. ,{200608773: 2}
Phish,114107139,Boulder,114107112,V2-3,15,1,2.2,5.0,"The OG Union Street Center buildering problem. This traverse combines a gnarly sidepull match crux with a fun dynamic start. Not climable when wet, make sure that inhabitants aren't home","{200020052: 4, 200160322: 3, 200955452: 3, 200222599: 2, 200216781: 1}"
Pluto's Revenge,118718460,Boulder,114107112,V0-,10,1,2.2,5.0,"Climb the ""arete"" on the northeast corner of the Kirkwood Observatory. Start matched on crimp rail indicated in red circle, finish with both hands matched on crimps indicated in green circle ","{200919655: 4, 200160322: 3, 200679146: 2, 200608773: 2, 200216781: 0}"
Sco,118633754,Boulder,114107112,V3,12,1,3.1,7.0,"Ringlock, finger jam, and smear your way up this solid finger crack. Hit the ledge and either drop down or mantle up to the roof.    note: it is generally frowned upon to builder, be smart and respectful about it. ","{200020052: 4, 200426205: 4, 200608773: 4, 200160322: 3, 200222599: 3, 200216781: 2, 200955452: 2}"
Tiptoe Tumble,119870336,Boulder,114107112,V3,12,1,2.0,1.0,Starting with a right hand on the corner and the left hand on the face this route can be fairly powerful with a very fun foot-hand match for the crux. ,{200608773: 2}
Cult of One,106169538,Boulder,106169527,V2,0,1,2.6,11.0,Sit start on the arete. Begin on the crimps and throw for the point of the boulder. Top out.,"{200679146: 3, 200372003: 3, 200227081: 3, 200423984: 3, 200392439: 3, 200826843: 3, 200634625: 3, 200808337: 3, 200404070: 2, 200705617: 2, 200550869: 1}"
Go Fish,106169509,Boulder,106169506,V3,0,1,2.0,4.0,"Climb the obvious arete by the river, mantle the lip and top out.","{200079345: 3, 200679146: 3, 108774308: 2, 112225989: 0}"
