name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Block Party,115144217.0,Boulder,115144143.0,V2,13.0,1.0,3.0,4.0,Start low on a jug and follow blocks to the top out ,"{112131439: 3, 200259992: 3, 200284917: 3, 200413035: 3}"
Bouldering For Dummies,115144290.0,Boulder,115144143.0,V2,13.0,1.0,3.3,3.0,Start low on a jug in the center of the cave on the left. Work backward along the blocs and top out through the middle of the overhang.,"{200413035: 4, 112131439: 3, 200259992: 3}"
Golden Curry,115144494.0,Boulder,115144143.0,V2,13.0,1.0,3.0,2.0,Start on undercling in center/right side of the cave on the right side and follow out to the top out on the right,"{112131439: 3, 200259992: 3}"
gringo,115144514.0,Boulder,115144143.0,V2,13.0,1.0,2.0,2.0,sit start two-handed side puls in the middle of the cave move left and up to top out ,"{112131439: 2, 200259992: 2}"
The Horizontal Schnitzel,115377202.0,Boulder,115144143.0,V2-3,25.0,1.0,1.0,3.0,"Follow the lowest level of rock from left to right while you keep your feet as high as possible. If you want to, you can ""run out"" the over hang into an easier face climb all the way to the right until there is no rock anymore. When grabbing only the crimps, it's a long crimp endurance boulder with a few fancy kneel hocks.  You either need a lot of crash pads or someone who moves them for you while you boulder.","{200284917: 3, 112131439: 0, 200413035: 0}"
Jam Boi,115144339.0,Boulder,115144143.0,V2,13.0,1.0,3.0,2.0,Start on a side pull low and to the right in the left cave move through moderate holds and pull the blocks to top out ,"{112131439: 3, 200259992: 3}"
closing statement,115384291.0,Boulder,115384280.0,V2-3,15.0,1.0,2.0,1.0,on the right side of the cave start matched on the pinch. move up and to the right to top out ,{112131439: 2}
the prosecution,115384287.0,Boulder,115384280.0,V2-3,14.0,1.0,2.0,1.0,the left side of the cave start on the obvious start jug and go straight up and out the cave,{112131439: 2}
hivvy ivvy,115144649.0,Boulder,115144640.0,V3,12.0,1.0,2.0,1.0,start on a slot crimp move up and to the left for a spicy top out ,{112131439: 2}
the last puppy,115144689.0,Boulder,115144640.0,V3,10.0,1.0,4.0,2.0,start on lower ledge move up under the roof compressing the sides to pull straight out the middle ,"{112131439: 4, 200259992: 4}"
Redemption,115144681.0,Boulder,115144640.0,V3,12.0,1.0,3.0,2.0,Start low on a left side pull and work right through a right-handed gaston towards the top,"{112131439: 3, 200259992: 3}"
Chest Trap,115144622.0,Boulder,115144544.0,V3,20.0,1.0,2.7,3.0,Start on a matched chest high crimp and follow pockets and crimps toward the top out ,"{112131439: 3, 200259992: 3, 200413035: 2}"
easy feasy,115145464.0,Boulder,115144544.0,V2,15.0,1.0,2.0,2.0,start low left then more right and up easy holds up the left side,"{112131439: 2, 200413035: 2}"
I Hate Spiders,115144578.0,Boulder,115144544.0,V2,18.0,1.0,3.0,3.0,match start on a pocket at eye level  uses the crimps and pockets to climb all the way to the top,"{200413035: 4, 112131439: 3, 200284917: 2}"
pho,115144698.0,Boulder,115144544.0,V4-,15.0,1.0,3.0,2.0,start on the lower left corner use moderate holds with big moves to top out ,"{112131439: 3, 200413035: 3}"
when i put my climbing shoes on i become like super man,115144604.0,Boulder,115144544.0,V3,20.0,1.0,2.5,2.0,start matches on an under cling  compression use slopy crimps and pockets to top out ,"{112131439: 3, 200413035: 2}"
Country Girls,108093273.0,Boulder,108093248.0,V3,0.0,1.0,3.0,1.0,Best boulder in the overlook area and the biggest. Has potential for multiple lines.,{107234104: 3}
Fossil Boulder,108093252.0,Boulder,108093248.0,V2,0.0,1.0,2.0,2.0,Starts on right side of the bottom following the lip to the top.,"{107234104: 2, 200229060: 2}"
Hidalgo,108093287.0,Boulder,108093248.0,V2+,0.0,1.0,3.0,1.0,"bad landing, but solid hang problem",{107234104: 3}
All Quiet on the Western Front,109957588.0,Boulder,109956749.0,V5+,15.0,1.0,2.0,1.0,A powerful route with a solid arête on the right with slopers and a sharp pocket on the left.,{109200008: 2}
