name,id,parent_id,elevation,latitude,longitude
Kentucky,105868674,,899,37.579, -85.078
BSF (placeholder),105869162,105868674.0,"1,113",36.568, -84.609
Carter Caves,116800236,105868674.0,917,38.374, -83.117
Chicken Head Rock,114179330,105868674.0,909,37.819, -82.406
Foxtown Boulders,119938922,105868674.0,"1,027",37.43, -83.999
Sacred Ruins,119939433,119938922.0,"1,267",37.491, -83.958
Cinema Alley,119939448,119939433.0,"1,267",37.491, -83.958
Cinema Alley,119985251,119939433.0,"1,268",37.491, -83.958
Compression Chamber,120043060,119939433.0,"1,244",37.491, -83.958
"Knuckles, Ironfist, Panda",120043044,119939433.0,"1,258",37.491, -83.958
Patchwork Boulder,120043027,119939433.0,"1,270",37.491, -83.958
World Boulder,120043022,119939433.0,"1,271",37.491, -83.958
Three Stooges,119963937,119938922.0,"1,300",37.492, -83.956
Walkers Branch,119938935,119938922.0,"1,332",37.449, -84.09
Knobs Forest Knobs,108412222,105868674.0,656,37.875, -85.685
Knobs Playground,119286146,108412222.0,556,37.873, -85.685
Big Easy Slab,119286191,119286146.0,603,37.873, -85.686
Otter Creek,118577372,105868674.0,656,37.927, -86.039
The playground,118577438,118577372.0,459,37.926, -86.029
Purple Bridge,115356452,105868674.0,488,39.096, -84.496
Red River Gorge,105841134,105868674.0,849,37.456, -83.794
Bald Rock Fork Recreational Preserve (BRRP),112439039,105841134.0,"1,122",37.641, -83.715
The Bear's Den,108387175,112439039.0,987,37.644, -83.708
Chocolate Factory,106229629,112439039.0,"1,014",37.649, -83.713
Hole in the Wall,117624829,112439039.0,"1,002",37.643, -83.709
A-Hole Wall,117624993,117624829.0,"1,003",37.643, -83.709
B-Hole Wall,117632716,117624829.0,"1,013",37.642, -83.709
Hole New Wall,117632733,117624829.0,999,37.642, -83.71
The UnHoley Wall,117628946,117624829.0,"1,013",37.643, -83.708
The Motherlode,106124299,112439039.0,"1,062",37.647, -83.71
Buckeye Buttress,111129478,106124299.0,990,37.646, -83.712
Warm-Up Wall,111129484,106124299.0,"1,045",37.647, -83.71
GMC Wall,111129488,106124299.0,"1,059",37.647, -83.71
Madness Cave,111129496,106124299.0,"1,035",37.647, -83.711
Undertow Wall,111129504,106124299.0,"1,040",37.646, -83.711
South Park,117927584,112439039.0,"1,018",37.641, -83.711
The Unlode,106927882,112439039.0,993,37.642, -83.712
Cathedral Domain Climbing Area (CDCA),113747976,105841134.0,925,37.657, -83.796
Apollo Wall,115792207,113747976.0,"1,107",37.661, -83.79
BackStreet,116515777,113747976.0,"1,077",37.655, -83.787
Backstreet-Left,116515899,113747976.0,"1,087",37.655, -83.787
Backstreet-Right,116515935,113747976.0,"1,043",37.655, -83.787
Blue Sky,118043805,113747976.0,"1,102",37.656, -83.794
Buzzards Roost,115792149,113747976.0,"1,077",37.656, -83.791
Eden (Far Right End),114450385,115792149.0,925,37.654, -83.794
Ott's Wall,115792159,115792149.0,"1,076",37.657, -83.791
Wind Tunnel,115847030,115792149.0,"1,074",37.656, -83.791
East Coast Crag,114211991,113747976.0,"1,049",37.655, -83.787
Gypsy Camp,118064327,113747976.0,"1,152",37.663, -83.793
Hades,116578715,113747976.0,"1,070",37.658, -83.79
Inner Loop Trail,113751741,113747976.0,949,37.658, -83.795
Patterson,113751869,113751741.0,"1,102",37.656, -83.793
K9 Crag,114446513,113747976.0,925,37.657, -83.796
Knowhere Wall,114311439,113747976.0,925,37.657, -83.796
