name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Pyramid Head,114179347,Boulder,114179330,V4,16,1,2.0,1.0,The route is slightly dangerous because of the steep hill located nearby.,{200235581: 2}
Jawbone,119939467,Boulder,119939448,V6,0,1,3.0,1.0,Must do. Tick it. Steep prow. SS on the left hand side pull and right hand rail. Eye the heinous pinch on the arete and pump or jump for the top!,{}
Cable Guy,120042950,Boulder,119985251,V3,0,1,3.0,1.0,The sloppy face on the same boulder as fly your flag,{200031324: 3}
The Credits,120003671,Boulder,119985251,V1-,0,1,3.0,1.0,Start on the right rail. Climb a series of knobs up to a good lip. ,{200031324: 3}
Feel the Bern,120043182,Boulder,119985251,V0,0,1,4.0,1.0,Fun laid back slab. ,{200031324: 4}
Film At 11,120003502,Boulder,119985251,V2,0,1,3.0,1.0,Climb up the left arete of this triangular boulder,{200031324: 3}
Fly Your Flag,120003789,Boulder,119985251,V2,0,1,4.0,1.0,Start on the inside of the face and climb up the skinny center column,{200031324: 4}
Gumball,120042981,Boulder,119985251,V2,0,1,4.0,1.0,Awesome problem for those needing to learn the ropes of toping out a boulder. Short and punchy. Start on the left size and climb right and to the scoop. ,{200031324: 4}
Gym Problem,120043151,Boulder,119985251,V1,0,1,4.0,1.0,"Fun little problem. Run at it and run up it, throw for the top!",{200031324: 4}
Jawbone,120042970,Boulder,119985251,V6,0,1,4.0,1.0,One of the best at foxtown. Start at the bottom of the arete sitting with a left hand sidepull. Go up the prow and over the top. ,{200031324: 4}
Marble Mouth,120003696,Boulder,119985251,V3,0,1,4.0,1.0,Start in the series of pockets. Climb out right using the knob and go over the lip. Short and sweet,{200031324: 4}
Popcorn Addict,120003474,Boulder,119985251,V2,0,1,2.0,1.0,"First boulder in Sacred ruins. Climb up the center of the face, avoiding the aretes",{200031324: 2}
Popcorn Arete,119985312,Boulder,119985251,V2,0,1,2.0,1.0,Climb the left arete of this triangular boulder,{200031324: 2}
The Previews,120003634,Boulder,119985251,V5,0,1,4.0,1.0,Start laid back on a nice flake. Go up to slopers and use a mono to gain a good lip high up. For full value avoid the knobs on the right.,{200031324: 4}
Room with a View,120003544,Boulder,119985251,V0,0,1,2.0,1.0,"Second boulder down, climb up the middle of the face. Good holds, and relaxed angle",{200031324: 2}
Short Circuit (Open Project),120003752,Boulder,119985251,V7+,0,1,2.0,1.0,Climb the blank arete,{200031324: 2}
Smooth Operator,120003726,Boulder,119985251,V2,0,1,2.0,1.0,On the right side of this boulder (next to marble mouth). Start low in a very textured face and get up over the mantle. Short and sweet,{200031324: 2}
Tear it Up,120043129,Boulder,119985251,V4,0,1,2.0,1.0,This rounded slopey boulder packs a punch. ,{200031324: 2}
Trust,120003576,Boulder,119985251,V2,0,1,4.0,1.0,Start laid back in the crack and climb up and out onto good holds,{200031324: 4}
Ungreatful,120042994,Boulder,119985251,V2,0,1,3.0,1.0,Another great short problem to learn the virtues of toping out on a small boulder! Start on the left and climb right and up. ,{200031324: 3}
Come On Gramps,120043412,Boulder,120043027,V4,0,1,4.0,1.0,"The first line put up at Sacred Ruins. This climbs the center right of the patchwork boulder. Tricky and slabby, all fun.",{200031324: 4}
This One Is For the Boys,120043437,Boulder,120043027,V4,0,1,2.0,1.0,The twin of Come On Gramps,{200031324: 2}
Black,120043358,Boulder,120043022,V7,0,1,4.0,1.0,"Amazing problem, start on good holds low and climb up arrow head type feature. A big move to the lip guards the send. ",{200031324: 4}
Clickbait,120043197,Boulder,120043022,V4,0,1,3.0,1.0,A great compliment to it's partner (Fertilizing Daffodils). Start next to the tree and climb right and up over the slopey top. ,{200031324: 3}
Continental Divide,120043397,Boulder,120043022,V2,0,1,3.0,1.0,"Climb up the obvious features in this boulder, start low!",{200031324: 3}
Fertilizing Daffodils,120043215,Boulder,120043022,V6,0,1,4.0,1.0,One of the best in the area. Climb from under the huge bulge up and over. Compression at it's best!,{200031324: 4}
Get Ya Some,120043370,Boulder,120043022,V2,0,1,2.0,1.0,"Start in the middle of this triangular boulder, head up and left. ",{200031324: 2}
Mercenary,120043086,Boulder,120043022,V2,0,1,4.0,1.0,Start low on the right end of the arete and climb up the nice holds on the overhanging face.,{200031324: 4}
Razorback,120043326,Boulder,120043022,V5,0,1,3.0,1.0,"Start laying back on the sharp crimps. Find whatever feet you can and climb up. This problem is a drop off so after you get up to the ledge, hop back off. ",{200031324: 3}
Trilogy,120043225,Boulder,120043022,V4,0,1,3.0,1.0,"Start just under the lip, climb up to the three small knobs (the problems namesake). Climb up and over and follow a tricky slab up overtop. ",{200031324: 3}
Blunt Force Left,119967122,Boulder,119963937,V3+,0,1,3.0,1.0,Larry Boulder: Just right off the tree this is the shared start that goes left. Use an awesome slopey crimp to gain a good two finger pocket and keep going up for the top out. ,{200031324: 3}
Blunt Force Right,119967095,Boulder,119963937,V3-,0,1,2.0,1.0,Larry Boulder: Just right of the tree. One of two lines with a shared start. This one trends right towards the tree and up. Tall with a little choss at the top leads to a spicy finish. ,{200031324: 2}
Chop Suey,119963978,Boulder,119963937,V2,0,1,2.0,1.0,"Curly Boulder: Right most line on the trailside face. Lower start matched in a small hueco. Climb up and left along the fun seems. A bit chossy currently, but with more traffic this will be an excellent climb.",{200031324: 2}
Devil's Candy,120003382,Boulder,119963937,V8,0,1,4.0,1.0,Start left on the side pull and traverse on terrible slopers out right and then up. ,{200031324: 4}
Double Down,119963959,Boulder,119963937,V0+,0,1,3.0,1.0,Curly Boulder: Middle problem on the trail side face. Start with a left undercling and right side pull and climb straight up.,{200031324: 3}
Dry,119963946,Boulder,119963937,V0+,0,1,3.0,1.0,Curly boulder: Sit start on the left side of the boulder with a side pull and an undercling. Climb up the shield like feature and trend slightly right at the top.,{200031324: 3}
Gator Van,119964076,Boulder,119963937,V3,0,1,2.0,1.0,Curly Boulder: Middle of the back of the boulder. Sit start on pockets and climb up,{200031324: 2}
