name,id,parent_id,elevation,latitude,longitude
Maine,105948977,,489,45.151, -69.17
-Acadia National Park,105948980,105948977.0,271,44.34, -68.258
-MDI Bouldering,114558946,105948980.0,222,44.373, -68.274
Beech Cliff Bouldering,112134445,114558946.0,478,44.316, -68.344
The Birdcage,112137438,114558946.0,43,44.327, -68.177
Charlotte's Corner,112024202,114558946.0,31,44.313, -68.191
COA Bouldering,117911735,114558946.0,41,44.393, -68.218
East Facing Wall (Great Head),118062849,114558946.0,17,44.326, -68.178
Gorham Mountain Bouldering,106787734,114558946.0,151,44.319, -68.193
Great Head Proper,118062139,114558946.0,27,44.327, -68.176
Highway 233 Boulders,112134599,114558946.0,91,44.364, -68.306
Mega Cave,118062794,114558946.0,13,44.326, -68.177
Monument Cove,106112923,114558946.0,13,44.318, -68.19
Otter Cliffs Plot Bouldering,107250026,114558946.0,,44.34, -68.258
The Precipice Boulders,118062521,114558946.0,118,44.351, -68.188
School House,112243652,114558946.0,16,44.316, -68.19
Acadia Ice,120045366,105948980.0,"1,070",44.33, -68.265
Canada Cliff,106616258,105948980.0,117,44.31, -68.337
Canada Cliff Boulder,114497442,106616258.0,117,44.31, -68.337
Canada Cliff Rock,114497437,106616258.0,117,44.31, -68.337
Dorr Mountain,117044905,105948980.0,672,44.357, -68.21
Eagles Crag,112932506,105948980.0,611,44.325, -68.218
Great Head,105949209,105948980.0,27,44.327, -68.175
The Cavern,106116460,105949209.0,90,44.327, -68.176
Left wall,106116454,105949209.0,40,44.327, -68.176
Morning Glory Alcove,106116464,105949209.0,80,44.328, -68.175
Otter Cliffs,105948985,105948980.0,41,44.312, -68.189
"Otter Cliffs, South",114473836,105948980.0,51,44.311, -68.189
Parking Lot Buttress,111048959,105948980.0,210,44.296, -68.228
Pleasure Dome,116841480,105948980.0,901,44.336, -68.263
Porcupine Islands (DWS),112092772,105948980.0,-107,44.394, -68.183
Bald Porcupine Island,112092789,112092772.0,117,44.386, -68.18
The Precipice aka The South Wall,105929488,105948980.0,382,44.347, -68.19
Sieur de Monts Entrance,116560566,105948980.0,63,44.363, -68.208
South Bubble,106223460,105948980.0,,44.34, -68.258
lower slab,106223475,106223460.0,,44.34, -68.258
Upper Slab and Upper Wall,106223480,106223460.0,,44.338, -68.253
Valley Cove,111628251,105948980.0,327,44.311, -68.32
-Camden Hills,106174845,105948977.0,193,44.247, -69.087
"Maiden Cliff & Frostbite, Pete's & Blue Vein",110384981,106174845.0,178,44.256, -69.096
Blue Vein (Ice) Area,112372029,110384981.0,490,44.255, -69.094
Frostbite Falls- Rock & Ice,112371987,110384981.0,477,44.258, -69.096
Pete's Puzzle Area,112372010,110384981.0,618,44.257, -69.095
The Verticals,106217357,106174845.0,507,44.248, -69.086
Jerry's Wall,110709980,106174845.0,50,44.247, -69.087
Barrett's Cove Cliff,106174857,106174845.0,416,44.247, -69.085
Lost Valley aka Out Back,106401774,106174845.0,783,44.25, -69.082
Skyline Crag,111468788,106174845.0,797,44.247, -69.082
Left Cataract (mostly Ice),109931837,106174845.0,544,44.235, -69.073
Right Cataract (Ice &Bixler's Area),112150232,106174845.0,593,44.234, -69.072
Guide's Wall,109032080,106174845.0,557,44.234, -69.073
The Spot,110778174,106174845.0,581,44.234, -69.072
Burried Treasure boulder,118059121,110778174.0,612,44.235, -69.072
Crack House boulder,118065577,110778174.0,594,44.234, -69.072
