name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Beeched Whale,112134516,Boulder,112134445,V5,15,1,3.3,13.0,"This is a great problem first established by local hard-man, Jonathan Hogue, in 2016. Though this boulder problem is slightly ""contrived,"" it's definitely worth the effort. Fun and stout!    Sit start on the right-most side of the boulder on a match-able incut crimp rail. Work your way left, climbing under the fallen tree and finishing in the middle of the block. Big moves for the finish required, and ""beating the forearm pump,"" is the name of the game with ""Beeched Whale,"" as it's quite long (Around 12-16 moves!).   Stand start directly under the finish and it goes at V1+, worth warming up on!*","{109740385: 4, 112411611: 4, 200189110: 4, 200256148: 4, 200241423: 4, 200444805: 3, 200090850: 3, 112207022: 3, 109213362: 3, 200158359: 3, 113247303: 3, 200243678: 3, 200620631: 2}"
"Beeched Whale, (Left Arete).",112134566,Boulder,112134445,V0,15,1,2.0,6.0,"The leftmost side of 'Beeched Whale,' follow the jugs all the way up. Fun and easy warm up for anyone! Like many problems of Acadia, it will most likely need to be cleaned.","{109740385: 2, 106709875: 2, 109213362: 2, 112207022: 2, 200281228: 2, 200256148: 2}"
Cowboy Junkies,118062054,Boulder,112134445,V9,0,1,2.0,1.0,Sit start on low arete climb to top-out,{200620631: 2}
The flake will break,114948701,Boulder,112134445,V4,6,1,1.0,3.0,"Sit start from the flake and crimp rail, feet out left. Big move right to a good triangular divot, then walk your feet right along the low crimp rail until you can lock off right and move your left hand from the flake to the upper crimp rail. Crux is probably finding feet from which to do the first move. The first move itself might be long for the small.  Nice movement. Walking right into the heel is especially satisfying.  The flake will indeed break, but so will everything.","{200274090: 2, 112207022: 1, 109740385: 0}"
Hyperbole,112134583,Boulder,112134445,V5-6,12,1,2.8,10.0,"3 moves, but man-o-man are those moves technical.     On the left side of the parking lot problem is ""Hyperbole."" It chipped in early 2015, making the grade much harder than originally thought.     Stand start on extremely thin, sharp, crimper edges, with glassy feet. Grab an almost non-existent left hand 3-finger crimp, also heinously sharp, get high feet and throw for the decent top out.     Originally thought of as V4, the starting holds and intermediate left hand crimp, chipped.","{109740385: 4, 107118543: 3, 200464110: 3, 200620631: 3, 200078447: 3, 200189110: 3, 200243678: 3, 112207022: 2, 106839530: 2, 106709875: 2}"
Hyperbole,118062039,Boulder,112134445,V6,8,1,4.0,2.0,"Sit Start low on left side of boulder, climb up and right to top-out","{200620631: 4, 200241423: 4}"
Innocence Lost,118062623,Boulder,112134445,V4,20,1,4.0,1.0,"Tall slab arete further in the boulder field past ""Silence is the Questions"". FA was done during winter with full snow coverage. The landing is not ideal. This thing is tall.",{200620631: 4}
Kara,112134496,Boulder,112134445,V4,15,1,3.5,12.0,"Start matched on an obvious jug under the roof. Make technical moves up the center of the boulder, V4. The alternate start on the left side and finishing in the same spot is V5.","{109740385: 4, 112411611: 4, 200189110: 4, 200444805: 4, 200047029: 4, 200464110: 4, 200886105: 3, 200241423: 3, 200620631: 3, 112207022: 3, 106709875: 3, 200489886: 3}"
Kara Right Exit,118062066,Boulder,112134445,V5,0,1,2.3,3.0,Start on Kara but traverse right across middle of face to top-out on arete.,"{200464110: 3, 200620631: 2, 200241423: 2}"
Parking Lot Boulder,112134449,Boulder,112134445,V1-2,12,1,2.7,15.0,"The right side of the main boulder in the parking lot, follow the obvious line of holds to a great top-out.","{109740385: 4, 200189110: 4, 107118543: 3, 200243678: 3, 200176998: 3, 200241423: 3, 200078447: 3, 200047029: 3, 109213362: 2, 106709875: 2, 200522094: 2, 200439303: 2, 200620631: 2, 112207022: 2, 200281228: 2}"
