name,id,parent_id,elevation,latitude,longitude
Maryland,106029417,,130,39.3, -76.63
Annapolis Rock,106734666,106029417.0,"1,800",39.558, -77.599
Argo Rock,106734744,106734666.0,"1,651",39.559, -77.599
Faint's Roof,106734756,106734666.0,"1,739",39.573, -77.597
Fin Rock,106734766,106734666.0,"1,615",39.558, -77.599
Nixon's Other Nose,106734749,106734666.0,"1,637",39.559, -77.599
PeeWee Tower,118665627,106734666.0,"1,652",39.559, -77.599
The South End,106734773,106734666.0,"1,605",39.557, -77.599
Sunset Wall,106734762,106734666.0,"1,622",39.558, -77.599
Baltimore City Watershed,106396350,106029417.0,55,39.273, -76.605
Leakin Park,117670732,106396350.0,216,39.305, -76.696
Loch Raven Reservoir,106396359,106396350.0,,39.273, -76.605
Paper Mill Rd,106396368,106396359.0,,39.501, -76.623
The Fins,106831176,106396368.0,,39.273, -76.605
Fisherman's Rock,106831169,106396368.0,,39.273, -76.605
Warren Rd Bridge (A.K.A. The Old Town of Warren),106396364,106396359.0,,39.273, -76.605
Prettyboy Reservoir,106396383,106396350.0,609,39.628, -76.68
The Dam,106396421,106396383.0,,39.628, -76.68
The Fin,109652755,106396383.0,422,39.618, -76.69
Big Gunpowder Falls,114077995,106029417.0,499,39.611, -76.668
Bunker Hill,116164021,114077995.0,340,39.613, -76.675
The Fin,116164034,114077995.0,423,39.618, -76.69
The Overlook,114078015,114077995.0,420,39.614, -76.652
Rapid Rock Hollow,116164046,114077995.0,481,39.62, -76.69
Raven Rocks,116163996,114077995.0,440,39.619, -76.651
The Underlook,116187782,114077995.0,320,39.615, -76.652
Black Rock,107077227,106029417.0,"1,221",39.573, -77.597
Jesus Overlook,118085553,107077227.0,"1,744",39.573, -77.598
Lower Overlook,118085490,107077227.0,"1,734",39.573, -77.598
Tower of Babylon,107077243,107077227.0,,39.576, -77.596
Blair Witch Area,111794094,106029417.0,"1,436",39.424, -77.639
Camp Lewis / Lewis Rocks,106864481,106029417.0,65,38.97, -77.184
The Dome,110673642,106864481.0,,38.97, -77.184
East Face,110673663,106864481.0,,38.97, -77.184
Main Cliffs,110673649,106864481.0,,38.97, -77.184
Downriver Side of the Main Cliffs,110673706,110673649.0,,38.97, -77.184
Upriver Side of the Main Cliffs,110673703,110673649.0,,38.97, -77.184
Mam Cliffs,110673659,106864481.0,,38.97, -77.184
Shadow Rock,110673628,106864481.0,,38.97, -77.184
Carderock,106027973,106029417.0,50,38.976, -77.207
Easter Egg Rocks,117854089,106027973.0,70,38.975, -77.206
Hades Heights,117584854,106027973.0,,38.976, -77.207
Jam Box,117854106,106027973.0,56,38.974, -77.206
Jungle Cliffs,116716613,106027973.0,109,38.976, -77.206
Outlook Rocks,116716610,106027973.0,106,38.976, -77.207
Parking Lot Boulders,119702854,106027973.0,105,38.975, -77.207
Catoctin Mountain Park,111950145,106029417.0,"1,866",39.653, -77.465
Blue Ridge Summit Overlook,112249049,111950145.0,"1,520",39.65, -77.451
Blue Ridge Summit/Hog Rock Parking Boulders,112294016,111950145.0,"1,605",39.648, -77.456
Bullfrog Boulder,112373579,111950145.0,"1,508",39.637, -77.467
Chimney Rock,112218555,111950145.0,"1,419",39.629, -77.433
Pyramid Boulder,114297105,112218555.0,"1,198",39.627, -77.434
Quicksand Boulder,114413627,112218555.0,"1,188",39.625, -77.433
Rocky Road Boulder,114298179,112218555.0,"1,075",39.627, -77.436
Future Roof,112372713,111950145.0,"1,602",39.652, -77.458
Gateway Trail Boulders,112293875,111950145.0,859,39.621, -77.433
The General Boulder,112373388,111950145.0,"1,488",39.641, -77.458
Glacier Boulder,113478112,111950145.0,"1,651",39.644, -77.458
Hog Rock,112249077,111950145.0,"1,610",39.643, -77.459
Lotus Boulder,112374693,111950145.0,"1,602",39.638, -77.467
Sasquatch Roof,112373511,111950145.0,"1,521",39.637, -77.468
Sick Bay Boulder,112373476,111950145.0,"1,521",39.637, -77.468
Thurmont Vista Boulders/Static Boulders,112294043,111950145.0,"1,389",39.647, -77.443
Charcoal Exhibition Area,112473741,112294043.0,"1,362",39.647, -77.444
Charcoal Exhibition Boulder,112362262,112473741.0,"1,356",39.647, -77.444
Lump of Coal Boulder,112362347,112294043.0,"1,363",39.647, -77.444
Smelted Boulder,112362358,112294043.0,"1,287",39.649, -77.441
Sudden Boulder,112362305,112294043.0,"1,291",39.649, -77.441
Warfare Boulder,112373556,111950145.0,"1,300",39.635, -77.467
Wolf Rock,112136160,111950145.0,"1,390",39.634, -77.438
Darth Vader Dome,112250944,112136160.0,"1,374",39.633, -77.438
Ebola Monkey Wall,112251512,112136160.0,"1,378",39.634, -77.437
If Only Fissure,112338411,112136160.0,"1,397",39.634, -77.438
The Main Wall,112250892,112136160.0,"1,401",39.634, -77.438
South Park Fissure,112338425,112136160.0,"1,392",39.634, -77.438
Tourist Trap Fissure,112338417,112136160.0,"1,387",39.634, -77.438
Wolf's Head Pillar,112250959,112136160.0,"1,403",39.634, -77.438
Cunningham Falls State Park,112337717,106029417.0,"1,606",39.6, -77.452
Cliff Trail Boulders,112364624,112337717.0,"1,342",39.629, -77.468
Cunningham Falls,112293699,112337717.0,"1,345",39.635, -77.467
Chief Block,112367441,112293699.0,"1,318",39.634, -77.467
Gateway Fin,112367344,112293699.0,"1,309",39.634, -77.467
Jabba the Hutt Boulder,112367370,112293699.0,"1,332",39.634, -77.467
Knife Wall,112367634,112293699.0,"1,314",39.635, -77.467
Lower Falls Trail Boulders,112364617,112337717.0,"1,237",39.631, -77.467
Dan's Mountain Wildlife Management Area,118798194,106029417.0,"2,648",39.549, -78.931
Dan's Rock,118798220,118798194.0,"2,854",39.582, -78.898
Dr. Jack Gorge,118043176,106029417.0,406,39.633, -76.097
Fallston Boulder Garden,112027450,106029417.0,267,39.505, -76.43
Alien Crag,119278023,112027450.0,312,39.502, -76.429
Hollowdays,118180127,112027450.0,352,39.506, -76.431
Hot Spot Boulder,112029985,112027450.0,370,39.506, -76.431
"LCL Boulder, aka Not too Lowball",116604912,112027450.0,303,39.505, -76.431
Positive Systems Boulder,112027502,112027450.0,267,39.505, -76.431
Slumberous Hollow Boulder,112029948,112027450.0,338,39.506, -76.431
Stoned Sphere Boulder,112029883,112027450.0,266,39.505, -76.431
Fork Run,118798406,106029417.0,"2,564",39.526, -79.401
The Boulders,118798433,118798406.0,"2,544",39.527, -79.402
The Ledges,118798450,118798406.0,"2,574",39.526, -79.401
Fox Hill Crag,119000338,106029417.0,172,39.434, -76.457
Frederick Watershed,112363125,106029417.0,"1,394",39.507, -77.48
Left Fork Rocks,112363139,112363125.0,"1,436",39.535, -77.473
Creepy Crag,117527613,112363139.0,"1,182",39.535, -77.471
Stairs Wall,117707567,112363139.0,"1,052",39.534, -77.474
