name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Argonaut,106777905,Trad,106734744,5.10d,35,1,3.0,6.0,"climb the face up to the roof below the prominent arete, slam in a piece and make a bouldery move to a jug. casual climbing up the arete from here on out.","{106777584: 3, 107379444: 3, 106736701: 3, 200334860: 3, 200150942: 3, 200565208: 3}"
The BattleField,107513993,Trad,106734744,5.10a,30,1,2.9,10.0,"A short and sweet classic. Find a discontinuous vertical seam in the middle of the face. Climb up two horizontal ledges, traverse to the left the top out over a big lip.","{107379444: 3, 200114837: 3, 200504464: 3, 111999058: 3, 200565208: 3, 110442662: 3, 109293842: 3, 109187861: 3, 106736701: 3, 200150942: 2}"
Dare To Be Dull,118794706,Trad,106734744,5.7,25,1,2.0,1.0,"Start on the ledge right of Wonder Wall below an overhung block, then fire straight up through classic Annapolis Rock horizontals with a surprising hole on the face 10ft up that makes for a great jug (invisible from below).  Alternate start at the base of the Wonder Wall to increase the length, beware ledge fall potential though.",{200150942: 2}
Exit Field Right,107513997,Trad,106734744,5.9,30,1,2.0,3.0,Follow a thin seem through a few horizontals to below the roof. Work your way right around the roof to the top.,"{112136403: 3, 200150942: 2, 200644878: 1}"
Wall of Wander,106735351,Trad,106734744,5.8,45,1,2.4,32.0,There are several climbs on this wall ranging from around 5.5 to 5.9 (they feel harder the lower you start your traverse left--see photo).,"{200256063: 4, 200925141: 3, 200144776: 3, 200150942: 3, 200163137: 3, 200504464: 3, 200176844: 3, 200114837: 3, 200635882: 3, 200654036: 3, 200565208: 3, 112136403: 3, 109568693: 3, 107379444: 3, 109293842: 3, 106736701: 2, 200341600: 2, 200476892: 2, 111380201: 2, 106757022: 2, 106659317: 2, 107658264: 2, 107535464: 2, 110442662: 2, 112120992: 2, 109585732: 2, 109187861: 2, 108649928: 2, 112207296: 2, 107412430: 2, 107328579: 1, 107646553: 1}"
Anticipation of a New Lover's Arrival,117978729,Trad,106734756,5.8,35,1,2.0,1.0,"Climb the center of the easy face through a bulge, then move through roof on great horizontals from left to right, finishing at the peak of overhanging prow.",{200150942: 2}
Blood and Pus,110468830,Trad,106734756,5.10c,75,1,2.7,3.0,Start on Right Side of Faint's Roof area at vertical streaks in rock. Follow streaks up to the large imposing roof and pull at crack.,"{200150942: 3, 200160322: 3, 200637084: 2}"
Cell Phones and Fast Food,107513807,Trad,106734756,5.9,0,1,2.5,4.0,"10' left of Faints Roof. Start at tree. Climb up easy blocky section. Stay right of the water mark, go slightly left through notched overhang.","{109167471: 3, 200160322: 3, 107370769: 2, 200150942: 2}"
Cracked Earth,112255094,Trad,106734756,5.10,70,1,3.0,3.0,"Alternate start to Blood and Pus. Begin ~5 ft further left in the shallow corner. Easy climbing straight up to the roof, then kick things up a notch as you traverse along the base of the roof to meet up with Blood and Pus. Get to good holds in the black rock, pull one or two more moves, then enjoy the romp to the top.    Note on the grade: the guidebook gives this thing a 9, but it was distinctly harder than The Dragon or Faint's Roof the way I climbed it. I may have gone a couple moves higher before traversing than the book describes, but the sequence felt very natural and really fun.","{108015415: 3, 108034876: 3, 200150942: 3}"
Face the Notch,109057741,Trad,106734756,5.4,55,1,1.6,17.0,"Easy 5th class moves up to the white face about 15 feet off the ground, then trend slightly right and top out at right end of overhang.      Good practice for beginning trad leaders.","{107544688: 2, 200766126: 2, 200341600: 2, 200476892: 2, 200150942: 2, 200334860: 2, 200565208: 2, 112852887: 2, 12023: 2, 108375710: 2, 109167471: 2, 110839245: 1, 200176844: 1, 110442662: 1, 112115160: 1, 109568693: 1, 200200318: 1}"
Faints roof,106777895,Trad,106734756,5.10a,50,1,2.9,23.0,The most obvious jug haul out the roof. Plug and go!,"{200637084: 4, 107328579: 4, 106777584: 3, 110839245: 3, 112207296: 3, 200150942: 3, 108164781: 3, 106889934: 3, 200442510: 3, 200701987: 3, 109386807: 3, 108843325: 3, 106967283: 3, 109814879: 3, 109585732: 3, 109568693: 3, 107164864: 3, 109187861: 3, 107015158: 2, 105990845: 2, 107544688: 2, 108015415: 2, 200522042: 2}"
In Your Face,109470519,Trad,106734756,5.3,50,1,1.3,7.0,No text - use the 'Improve This Page' link to add something useful!,"{112291761: 2, 200176844: 2, 107544688: 1, 110964058: 1, 12023: 1, 112852887: 1, 112115160: 1}"
