name,id,parent_id,elevation,latitude,longitude
Massachusetts,105908062,,5,42.399, -71.826
"Central, MA",118978633,105908062.0,262,42.372, -71.582
Auburn Ice Canyon,110023205,118978633.0,439,42.213, -71.814
Barre Bluff,118753090,118978633.0,687,42.381, -72.119
Crow Hill and Leominster Area,108175250,118978633.0,389,42.525, -71.76
Crow Hill,105905492,108175250.0,849,42.515, -71.858
End Crags,105907653,105905492.0,"1,121",42.519, -71.86
Green Corner,105907190,105905492.0,"1,130",42.519, -71.86
Fisherman's Wall,106126388,105905492.0,930,42.519, -71.859
The Buttress,105907631,105905492.0,"1,090",42.519, -71.859
Main Face,105905514,105905492.0,"1,114",42.519, -71.859
Practice Face (right end),105905496,105905492.0,"1,108",42.52, -71.859
Crow Hill Ice & Mix,109902833,105905492.0,"1,087",42.519, -71.859
Leominster Ice Quarry,118205339,108175250.0,841,42.526, -71.795
Leominster State Forest,108175275,108175250.0,826,42.52, -71.856
Redemption Crag,108175411,108175250.0,35,42.508, -71.869
Sholan Farms,108175423,108175250.0,,42.489, -71.791
Mt. Watatic,117918629,118978633.0,"1,244",42.697, -71.904
Split Rock,117918668,117918629.0,"1,286",42.698, -71.901
Rock House Reservation,110113340,118978633.0,826,42.269, -72.198
Parking Lot Area,119295171,110113340.0,816,42.269, -72.198
Annulment Boulder,119295174,110113340.0,814,42.269, -72.197
Wizard's Cave,119295178,110113340.0,815,42.269, -72.197
Balance Rock,119295181,110113340.0,814,42.269, -72.197
Turdle Boulder,119295184,110113340.0,808,42.269, -72.197
The Bubba Boulder,119295188,110113340.0,812,42.269, -72.196
Tatnuck Boulder,115126912,118978633.0,779,42.287, -71.864
Tivnan Park Boulders,113480748,118978633.0,402,42.256, -71.753
Wachusett Mountain Area,117089143,118978633.0,"1,386",42.492, -71.88
Playground Boulder,117089243,117089143.0,"1,387",42.493, -71.881
Slab At The Top,117089574,117089143.0,"1,869",42.489, -71.889
"Eastern, MA",118978397,105908062.0,264,42.372, -71.582
"Area 69, Beford, MA",117592166,118978397.0,214,42.47, -71.304
Ashby Trap Falls,111987032,118978397.0,742,42.681, -71.809
The Assonet Ledge,116610547,118978397.0,131,41.763, -71.089
The Face,117267540,116610547.0,126,41.763, -71.089
Nose Minor,116610563,116610547.0,127,41.763, -71.089
Warm Up,116610594,116610547.0,112,41.764, -71.089
Ayer Boulders,107262726,118978397.0,360,42.57, -71.569
A Little Slice Of Heaven,108416205,107262726.0,717,42.572, -71.569
Ayery Cracks Boulder,119196482,107262726.0,355,42.57, -71.569
Blue Blaze Boulder,116080232,107262726.0,404,42.572, -71.569
Bullfrog Boulder,118758207,107262726.0,365,42.572, -71.568
Chimney Boulders,107470622,107262726.0,,42.572, -71.568
Dihedral Boulder,117981756,107262726.0,362,42.572, -71.572
Double Roof,107262746,107262726.0,310,42.57, -71.569
Indian Headdress,108416242,107262726.0,25,42.57, -71.569
Kotik Crag,119162558,107262726.0,346,42.571, -71.571
Powerline Boulder,116690455,107262726.0,351,42.57, -71.569
Rod and Gun Club,116538481,107262726.0,338,42.571, -71.55
Science Trail Boulder,118843790,107262726.0,278,42.565, -71.568
Trashcan Boulder,108036806,107262726.0,,42.57, -71.569
Bolton/Lancaster,118312155,118978397.0,330,42.406, -71.656
Bolton Lunch Rock and Boulders,111781217,118312155.0,298,42.432, -71.58
Garfield Woods,107886296,118312155.0,356,42.405, -71.658
The Anvil,111898623,107886296.0,593,42.408, -71.658
Berlin Boulder,108844677,107886296.0,376,42.402, -71.655
Bushwhack Boulder,109177610,107886296.0,25,42.409, -71.657
Forty Caves,111898589,107886296.0,421,42.374, -71.663
Middle Earth Boulders,108388997,107886296.0,336,42.406, -71.656
Slab Boulder,108389010,107886296.0,372,42.406, -71.657
Tough Oak Boulders,119781640,107886296.0,377,42.406, -71.658
Two-Crack Boulder,119471349,107886296.0,334,42.406, -71.656
Valhalla Boulder,118763109,107886296.0,391,42.41, -71.656
Welcome Boulder,108387312,107886296.0,350,42.406, -71.655
Powder House Crag,112100444,118312155.0,437,42.434, -71.605
Borderland State Park Easton,106111354,118978397.0,18,42.061, -71.166
