name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Ziggy,114110375,Boulder,112414524,V2,5,1,2.4,20.0,"Sit start under the block on a good left hand and minimal feet.  If you use the small block below for the start it is more like V0.  Bump up with your right hand over the front end, and muscle through for the topout.","{200222677: 4, 112135278: 3, 200354948: 3, 200523816: 3, 200085612: 3, 200711458: 3, 109140350: 3, 200314873: 3, 110762698: 3, 200281875: 2, 110262256: 2, 200274695: 2, 111928487: 2, 111510336: 2, 200635013: 2, 112938047: 2, 107699201: 2, 200773605: 2, 107460666: 1, 112375922: 1}"
Mace,107852308,Boulder,107852295,V6-,10,1,2.0,1.0,Sit start the far right arete.,{106753224: 2}
Plutonium,107852300,Boulder,107852295,V6-,10,1,2.0,1.0,Sit start the steep left side of the boulder to a slopey finish.,{106753224: 2}
Velcro,116493920,Boulder,116491994,V4,10,1,2.0,1.0,"Begin with a hanging sit start matched on the good feature. Power up to the lip, match, and complete the slopey topout.",{106753224: 2}
1. Morning Has Broken,116493889,Boulder,116491998,V5-,13,1,3.0,1.0,"Sit start with a good left hand sidepull and a bleak right hand smear/crimp sidepull. Pull off the ground, and head right to the arête and then up to top out.",{106753224: 3}
2. Fault Line,116493905,Boulder,116491998,V6-,0,1,3.0,1.0,"Sit start the far right arête using a tiny, low, left hand sidepull on the face and your right hand really low on a somewhat marginal black crimp pod on the right arête. Use every ounce of your willpower and spirit to pull your arse off the ground, and make a huge move with your right hand to a good sidepull rail on the arete, pop your left hand to a sidepull on the face, bump up the arête, and top out.",{106753224: 3}
1. Dead in the Water,116493909,Boulder,116491982,V2,18,1,4.0,1.0,"Sit start the tall, blunt left arête.",{106753224: 4}
2. Broken Shadows,116493914,Boulder,116491982,V4,18,1,3.0,1.0,"Sit start, move up on thin crimps to the left-trending arete, and top out.",{106753224: 3}
Hostile Territory,112544302,Boulder,112544137,V3,10,1,1.0,1.0,"Sit start with hands low in a crack/seam, and move up and slightly right to top out. It is crimpy.",{106753224: 1}
Labyrinth,112544308,Boulder,112544116,V3-,12,1,1.5,2.0,Sit start matched on very thin crimp. Move right and up on better holds.,"{106753224: 2, 112375922: 1}"
Point to Point,117778999,Boulder,112544116,V1,12,1,2.0,1.0,"Crouch start on the arete on the left side of the larger face in the ""alley"" of the Split Boulder, climb the arete to a handhold edge, and move up to the point of the face.",{112375922: 2}
Hometown,117779100,Boulder,112310343,V2-3,10,1,2.0,1.0,"Sit start on some slopey holds on the right arete of the overhung face. Climb up a couple moves, then find a crimp in a slot to help you pull to the finish jug.",{112375922: 2}
Ice,112310382,Boulder,112310343,V5+,12,1,3.0,2.0,"Do a low sit start with your left hand on a flat, black hold and your right hand on a good, crescent-shaped crimp. Move up and slightly right on cool, flat fins, and top out.","{106753224: 3, 112375922: 3}"
Locomotive,112544352,Boulder,112528956,V6-7,13,1,2.0,1.0,"Begin with a low sit start with your left hand on a bad sidepull and your right hand down lower on a crimp. Power up to the seam/crack, and then head straight up the blunt arête.",{106753224: 2}
Misfire,112544364,Boulder,112528956,V3-,12,1,1.0,1.0,"Sit start, and move up the left-trending seam/crack.",{106753224: 1}
Morning has Broken,112544356,Boulder,112528956,V5-,12,1,2.0,1.0,"Sit start the steep, right-leaning, slopey cylinder.",{106753224: 2}
Schlitz,117984186,Boulder,112528956,V4,15,1,2.0,1.0,"Stand start from the good shelf. Plant your feet, pick your hand holds, and go to the right arete then up to the point to finish by following the arete to the top of the boulder. A dyno from the shelf to the point is cool too and goes a tad harder.",{107460666: 2}
Home Turf,111629938,Boulder,111629935,V4,0,1,1.0,2.0,"Sit start the steep face with a left hand on a flat sidepull and your right hand on a small flat crimp. Move up and match on a crimp bar, then pop left to a crimp and then right hand to a good edge, and top out.","{106753224: 1, 112375922: 1}"
Proof of Concept,112544315,Boulder,112544111,V4-,10,1,1.0,1.0,Sit start the steep overhang.,{106753224: 1}
Pulse,112544320,Boulder,112544104,V4-,14,1,2.0,1.0,Sit start and traverse arête all the way right and up.,{106753224: 2}
Renegade,112310360,Boulder,112310356,V3,12,1,2.0,2.0,Sit start the right trending arête on the front of the boulder.,"{106753224: 2, 112375922: 2}"
Boiling Point,112544328,Boulder,112528953,V5-,12,1,2.0,1.0,"Sit start matched on the rail, make two moves up to the crimpy seam, then get a really thin right hand sidepull, crank straight up the face to the lip, and top out.",{106753224: 2}
Darkness has Fallen,112544338,Boulder,112528953,V4+,14,1,3.0,1.0,"Sit start on the far left side of the boulder as for the problems Laughing Gas and Boiling Point with your left hand on the rail and your right hand on a tiny crimp, then make a low traverse into the problem Vanishing Point, and top out.",{106753224: 3}
Laughing Gas,112544324,Boulder,112528953,V3-,10,1,2.0,2.0,"Sit start the left side of the boulder matched on a rail. Move left to crimpy seam and then further left to the arête, and top out.","{107460666: 3, 106753224: 1}"
Vanishing Point,112544332,Boulder,112528953,V4-,12,1,3.0,2.0,"Sit start matched on the decent, crescent-shaped crimp. Move right to the arête, snag a cool left handed slopey knob, continue moving left up the arête, and top out.","{107460666: 3, 106753224: 3}"
Vapor Trail,112544347,Boulder,112528953,V5-,13,1,2.0,1.0,"Sit start the far right side of the boulder on a left hand sidepull and a right hand pinch/crimp. Move up to the arête, and then traverse left to finish up the problem Vanishing Point.",{106753224: 2}
The Rail,106952140,Boulder,113505662,V3-,12,1,3.3,4.0,"Sit start the obvious, slopey, left-trending rail out to a good, half-pad, blocky, black crimp. Then move up to a good hold below the peak with your right hand and top out. Traversing all the way left to the arete and then up through the scoop is a harder variation.","{111510336: 4, 106753224: 3, 106536237: 3, 110262256: 3}"
Ambulance  Chaser,106952085,Boulder,113505655,V6,16,1,2.0,2.0,"On the first Bob Johnson Boulder, sit start about 15 feet left of the problem Tour of Duty on a steep, blunt arete with your left on a flat hold and your right on a low sloper sidepull. Move up and slightly right to a small, black crimp and up.","{106753224: 2, 106536237: 2}"
Bear Grease,106951986,Boulder,113505655,V1,18,1,3.7,27.0,Sit or stand the tall featured face about 3-4 feet left of the problem Wardrobe Malfunction. Climb straight up on good holds. This is a highball.,"{106536237: 4, 109140350: 4, 107460666: 4, 112162593: 4, 111928487: 4, 200635013: 4, 110262256: 4, 200354948: 4, 200917925: 4, 200063563: 4, 200690144: 4, 111510336: 4, 111114085: 4, 106381547: 4, 106775653: 4, 108587373: 4, 111344408: 4, 112375922: 4, 107699201: 4, 200368763: 4, 106441684: 4, 106753224: 3, 200418182: 3, 112938047: 3, 200074903: 3, 200703358: 2, 200248995: 2}"
Frat  Boy,106952068,Boulder,113505655,V6,14,1,2.0,2.0,"Start standing with small crimps on the obvious, overhanging, cylinder arete. The sit start that begins down and to the right and then climbs left into the cylinder is an open project.","{106753224: 2, 106536237: 2}"
Hesitancy,113606540,Boulder,113505655,V0,0,1,2.9,14.0,"Stand start near the middle of the face with a good right hand and an okay left hand. Paste your feet on, and move up to the jug on your right. Swing left, and finish up the crack.","{200690144: 4, 200063563: 3, 200703358: 3, 200773605: 3, 200635013: 3, 200445602: 3, 112375922: 3, 109140350: 3, 200418182: 3, 112938047: 3, 107460666: 3, 110771205: 3, 111928487: 2, 110262256: 2}"
