name,id,parent_id,elevation,latitude,longitude
Michigan,106113246,,579,45.846, -84.736
Lower Peninsula,118171171,106113246.0,733,43.637, -84.677
"Adam, chris, John boulder",113414105,118171171.0,580,44.005, -83.112
The Clam Cave,116696345,113414105.0,585,44.004, -83.113
Grand Ledge (aka Oak Park),105934381,118171171.0,796,42.758, -84.753
Michawana,119495463,118171171.0,921,42.561, -85.371
Rockport,113520823,118171171.0,608,45.198, -83.39
Upper Peninsula,118171033,106113246.0,"1,073",46.209, -87.444
Cliff Dr. - Keweenaw County,106486988,118171033.0,"1,050",47.353, -88.335
Horse Race Rapids,119315887,118171033.0,"1,296",45.991, -88.271
Horse Race Rapids Bouldering,119315925,119315887.0,"1,296",45.991, -88.271
North Riverside Boulders,119315961,119315925.0,"1,227",45.99, -88.269
Hungarian Falls,108005738,118171033.0,877,47.172, -88.447
Iron Mountain,118216148,118171033.0,957,45.87, -87.966
Carney Crag,117048162,118216148.0,"1,251",45.913, -87.963
Carney Powerline,119416915,118216148.0,"1,133",45.908, -87.951
Carney Powerline Bouldering,119416953,119416915.0,"1,133",45.908, -87.951
North Boulders,119416974,119416953.0,"1,233",45.91, -87.952
Carney Talus,118881893,118216148.0,"1,143",45.92, -87.965
Carney Talus Bouldering,118881910,118881893.0,"1,141",45.92, -87.965
Granite Bluff,119835765,118216148.0,"1,273",45.949, -88.048
Granite Bluff Bouldering,119835800,119835765.0,"1,273",45.949, -88.048
Niagra,118216347,118216148.0,"1,032",45.769, -87.98
Pine Creek,118216238,118216148.0,988,45.902, -87.981
Pine Creek Bouldering,119415710,118216238.0,988,45.902, -87.981
Campside Boulders,119415823,119415710.0,"1,012",45.902, -87.98
Creekside Talus,119415748,119415710.0,"1,071",45.901, -87.981
Section 18,110456482,118216148.0,972,45.859, -87.939
Cliff Siebert,110468345,110456482.0,40,45.866, -87.949
Dry-Tool Cliff,110518113,110456482.0,"1,085",45.854, -87.926
Picnic Area,110456510,110456482.0,"1,065",45.856, -87.93
Picnic Wall Left,112832160,110456510.0,"1,012",45.856, -87.931
Picnic Wall Right,112832207,110456510.0,"1,025",45.856, -87.93
Upper Picnic wall/Seattle Wall,112832212,110456510.0,"1,156",45.856, -87.93
Unnamed 1,118217676,110456482.0,"1,048",45.859, -87.937
Unnamed 2,110460594,110456482.0,"1,071",45.86, -87.941
Laughing Whitefish Falls,118695615,118171033.0,"1,040",46.385, -87.077
Little Huron River Range,106427644,118171033.0,754,46.881, -88.182
Ghost peak,113006839,106427644.0,"1,120",46.868, -88.027
Lunta's lookout,111950657,106427644.0,"1,023",46.89, -87.995
Pulpit Pitch,111949252,106427644.0,"1,333",46.874, -87.99
