name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Pallium,116696386,Boulder,116696345,V4,15,1,3.0,1.0,"Start in the cave on the deepest jugs; move through good ledges and walk the feet across; transfer feet with some core tension and hooks to obtain a good but crumbly hold to exit the cave and get onto the face; with hands on the ledge, find your feet and make a mantle to top out. Refer to photos for route idea. A nice cleaning brush will help with loose debris/sand/soil. Standout movements and a fantastic finish.",{200044058: 3}
Another Mother,119997507,Boulder,105934381,V7,0,1,3.0,1.0,"Start just down and left from the Cowabunga Direct start with a couple small/low holds.  Move right into the Cowabunga Direct pocket and continue up/left without using any other holds from Cowabunga Direct to gain a stance or to the tip and drop.This is a fairly old line at the park as used to be done on TR and climbing to the top, much better boulder problem though.",{107079836: 3}
Asinine Behavior,120017358,Boulder,105934381,V1,0,1,2.0,1.0,Start just left of Intergalactic Quaalude Trip on a high right diagonal good hold and reach out left for a less than ideal hold.  Climb up and slight left and go into the left part of the obvious seam and drop.,{107079836: 2}
Astral Projection,119859104,Boulder,105934381,V3,0,1,2.0,1.0,"Same as the rope climb but with pads.  Start right of Rocket Man on a large positive hold, move up to a large edge and then a big move up and left into another large ledge and drop.",{107079836: 2}
Astral Traverse,119859155,Boulder,105934381,V3,0,1,2.0,1.0,A traverse that starts/ends on Rocket Man and Inappropriate Behavior.  Climb up about 8' and work your way through the large ledge used on Astral Traverse.  There is an eliminate that takes the large ledge off called Minus One Traverse that goes around V5.,{107079836: 2}
Ballerina,116635858,Boulder,105934381,V5,0,1,4.0,3.0,"Start to the right and under the main bulge of the park, just left of Doug's Roof.  This is the Ballerina bulge and holds some of the best problmes at the park.  Start low on right edge and left on the sidepull.  Climb straight up, move over left into the book and finish with a top out.  Ballerina High starts after the crux of the low problem and is much easier.","{107079836: 4, 200160322: 4, 200536852: 4}"
Ballerina High,106229617,Boulder,105934381,V2-,14,1,2.4,5.0,"Stack pads, use stump, or jump start to a two hand rail, pull through the open book, walk over to chips and climb down. Could be a bad fall on the retaining wall be careful. A dirty and wet direct start begins awkwardly a bit lower on a two handed undercling/sidepull, and goes at V5","{200536852: 4, 200097316: 3, 105945438: 2, 200160322: 2, 107079836: 1}"
Ballerina Left,116650652,Boulder,105934381,V4,0,1,2.5,4.0,Eliminate - Start same as Ballerina High and eliminate everything on the right side of the book and top out.,"{200536852: 4, 107079836: 2, 200256148: 2, 200160322: 2}"
Ballerina Right,117900411,Boulder,105934381,V6,0,1,3.5,2.0,"Another eliminate on the Ballerina Bulge but it's a decent one.  Same start as Ballerina, and as the name suggests you only use the holds on the right of the open book and holds beneath.  The corner is on as the steepness lacks other holds, but the ledge for Ballerina proper and everything above is definitely off.","{200160322: 4, 107079836: 3}"
Blind Faith,117951306,Boulder,105934381,V6,0,1,3.0,2.0,"Same start as Walk on By.  After the first couple of moves, go up into a crimp and out onto the arete finishing in the crescent moon.  The Walk on By jug is off as the problem climbs the arete straight up.","{200160322: 3, 107079836: 3}"
Bonsai,120017139,Boulder,105934381,V4,0,1,2.0,1.0,Same start as Ride or Die (the iron plate) and get into the pocket and good edge up and left.  Left hand up to the softball sloper and then move onto the face finishing same as More Power Scotty.,{107079836: 2}
Buns Dyno,117900549,Boulder,105934381,V5,0,1,1.5,2.0,"On the left side of the Buns Bulge on the huge ledges the obvious start.  Paste the feet somewhere underneath and jump for the top.  Going out left to the lower ledge or using any other starting holds other than the ledge itself is not part of the problem, although they're still fun.","{200160322: 2, 107079836: 1}"
Buns Machine Gun,116743049,Boulder,105934381,V5,0,1,3.0,4.0,Eliminate - Start on the left of the Buns Bulge low below the obvious ledge bisecting the bulge.  Start hold has hands stacked below eliminated ledge climbing on the lower set of holds into a deep/good pocket then top out same as Buns Machine Gun High.A rock broke sometime in 2020 creating another good hold on the line making it somewhat softer than the V5 assigned but it's still a good problem with a solid top out.,"{107079836: 3, 112549945: 3, 200160322: 3, 112513728: 3}"
Buns Machine Gun Full Value,119967635,Boulder,105934381,V7,0,1,3.0,1.0,Start as far back left on the bulge as you can with two slopey edges.  Throw up a heel and climb into Buns Machine Gun proper.  Instead of toping out after the large pocket stay low and continue right into the large triangle shaped pocket.  Move up staying off all the good edges used on Buns Machine Gun toping out on the arete.,{107079836: 3}
Buns Machine Gun High,116660931,Boulder,105934381,V2,0,1,2.5,6.0,Start at the left of the large crack in the Buns Bulge.  Climb right and when the crack ends top it out.,"{200536852: 4, 200160322: 3, 107079836: 2, 112549945: 2, 200392378: 2, 200256148: 2}"
By Crackie,119992495,Boulder,105934381,V1,0,1,1.0,1.0,Start 4' left of Saving Grace and a little lower in a large undercling pocket.  Climb straight up topping out on the Saving Grace Bulge.,{107079836: 1}
Climb or die,119387097,Boulder,105934381,V5-6,15,1,3.3,3.0,Same as ride or die just in reverse ,"{200536852: 4, 200392378: 3, 107079836: 3}"
