name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Banning Genesis,109255486,Boulder,109255469,V0-,16,1,2.3,9.0,A great warm up or first outside bolder for beginners. Stand start on the ground and use the detached rock at the bottom to climb straight up the line where the rock color changes. Top out is probably the crux but not out of line for the rest of the climb. Landing is pretty flat but there is a detached rock/boulder at the bottom that could come into play but probably wont. A couple pads are a good idea.,"{106935032: 3, 108152408: 3, 111888128: 3, 106147359: 2, 109686996: 2, 106261918: 2, 107479030: 2, 110943591: 2, 111445592: 2}"
Booster Shot,109256082,Boulder,109255469,V0+,10,1,2.2,6.0,"Sit start with both hands on a wide ledge about 2 feet off the ground. Feet can go anywhere on or underneath the boulder, as long as they aren't on the dirt. Only use the holds that are directly above the starting ledge. Top out under the right side of the roof, then exit to the right of the roof.     Downclimb it or walk uphill to get back to a trail. Once on the trail, take a left to get back to the Teacher's Overlook.","{110943591: 3, 108856447: 2, 108588676: 2, 108152408: 2, 109686996: 2, 111888128: 2}"
Clouds,109441076,Boulder,109255469,V0,10,1,1.5,2.0,"This route climbs better than it looks. Sit start low on the left side of the cave-ish area, Climb out left and top out straight up. The somewhat detached blocks above are on, but the detached blocks at the base of the vertical face and the completely separate boulder to the right are off.","{106935032: 2, 111445592: 1}"
The Coach,110427441,Boulder,109255469,V10,0,1,2.0,1.0,Big moves from the ledge to the sleepy slot.,{106588308: 2}
Creeper,109441194,Boulder,109255469,V1-2,0,1,1.0,1.0,Sit start the same start as Clouds. Veer right under the overhang and onto the face. Top out without using the huge detached block on top.,{106935032: 1}
Cutting Class,109703200,Boulder,109255469,V7,15,1,3.0,1.0,Start in the slot on a ledge. Small crimps and perm-moist holds gain the lip.,{106588308: 3}
The Easiest Route in Thailand,109526469,Boulder,109255469,V0,0,1,1.7,3.0,"Sit or squat start from the same spot as Game of Stones, under the edge of the roof. Traverse left the left of the hand crack then topout.    Very easy route but good topout practice.","{109686996: 2, 111445592: 2, 109525691: 1}"
Fin S,109259749,Boulder,109255469,V0+,10,1,2.4,5.0,Sit start with hands on the left side of the fin. Work your way up the right side of the sloped fin without using the loose rocks and boulder near the base. A little finesse and a bit of delicate footwork will see you through to the finish.,"{108081952: 3, 106889145: 3, 108152408: 2, 111888128: 2, 111445592: 2}"
Game of Stones,109261532,Boulder,109255469,V0-1,0,1,1.7,3.0,"Sit start below the left edge of the roof, traverse on the ledge to the far right - then top out using only the holds on or below the roof.","{109525691: 2, 111445592: 2, 108962521: 1}"
The Gym Teacher,109307543,Boulder,109255469,V8,20,1,2.7,3.0,Start on obvious cluster under the roof. A tricky and powerful sequence gains the start holds of The Freshman. Follow right from here.,"{108071729: 4, 106588308: 3, 107003521: 1}"
Homework,118743564,Boulder,109255469,V4+,25,1,3.0,1.0,You can get a good campus move in then a dead point to some awesome delicate balancey moves high ball moves to a throw for a jug just below the top   ,{200273423: 3}
Left of Center,109606387,Boulder,109255469,V5,17,1,3.0,5.0,Sit start and climb straight up through delicate moves until reaching small crimps a bit short of the lip. Crux is figuring out how to get to the lip.,"{106935032: 3, 112481845: 3, 200248523: 3, 112273728: 3, 200677940: 3}"
"Lichen Me, Lichen You",109260224,Boulder,109255469,V1+,15,1,2.8,5.0,Sit start on positive holds with feet under roof.  Tough start move leads to nice crimps on face.  Exit up and left.      Room for exit variations straight up and to the right.    Possible extension starting under roof - see picture.,"{106889145: 3, 109525691: 3, 111888128: 3, 112084963: 3, 112405562: 2}"
Long Haul Sucker,109525915,Boulder,109255469,V0-1,25,1,2.0,2.0,"Sit (or squat) start using the same general start point as Game of Thrones, right or left of the edge of the roof. Traverse the start wall to the left, using generous footholds, cracks, and underclings.    Navigate to perpendicular wall and traverse left using footholds on the wall and the top for hands. The large shelf near the wall is off. Topout at the farthest left point of the perpendicular wall.    Fun route, the slopers between the little trees on the perpendicular wall can be tricky.","{109525691: 2, 109686996: 2}"
Lunch Money Dyno,109307566,Boulder,109255469,V3,3,1,2.0,2.0,Stand high on crimps between the first and second roof. Huck to the lip.,"{106588308: 2, 106147359: 2}"
Mental Hangover,109256767,Boulder,109255469,V3,20,1,3.0,1.0,"Sit start to Mentor Overhang.  Start as Booster Shot, trend right on small crimps, gain start shelf for Mentor Overhang, but, keep feet off of free standing block as you progress towards roof.  Finish around roof as Mentor Overhang.",{106889145: 3}
