name,id,parent_id,elevation,latitude,longitude
Mississippi,108307056,,481,33.071, -89.695
Catahoula Boulderfield,108441147,108307056.0,300,31.752, -88.909
Discovery field,112785985,108441147.0,313,31.704, -88.921
The Great Wall,112785974,108441147.0,293,31.697, -88.992
Monster boulder,112785980,108441147.0,308,31.705, -88.921
Phenomenom boulder,112785842,108441147.0,200,31.696, -88.805
Mississippi Gulf Coast Buildering,112557436,108307056.0,21,30.403, -88.917
Biloxi Bay Bridge,113684817,112557436.0,9,30.392, -88.859
Tishomingo,108324934,108307056.0,569,34.603, -88.176
Boulder Garden,115574307,108324934.0,630,34.598, -88.181
Cabin Bluffs,116160767,108324934.0,557,34.605, -88.177
Corn Flakes Area,115336534,108324934.0,557,34.605, -88.175
Jean's Overhang,108324964,108324934.0,501,34.606, -88.179
Tishomingo's Boulder,118320770,108324934.0,544,34.603, -88.176
