name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Bunkbed,116648818,Boulder,112785974,V2,0,1,2.0,1.0,"This wall is short so we had to get creative with our traverses. The very top of the rock is OFF ROUTE. Stand start on the obvious ledge left of the cave. Find a crimp above the ledge for the left and a decent ledge out to the right. This will allow you to lower your leg to an obvious ledge. From here match your left to your right and then go for the pinch deeper in the cave. From here use the obvious holds to reach the two flat protustions that look like bunk beds. Match the top bunk and then top out the boulder.   During the first ascent I somehow ending sitting criss-cross applesauce on on the “bottom bunk” before matching the final hold and topping out. I didn’t do that for fun, that was my legit beta.",{112161285: 2}
Unnamed,116648894,Boulder,112785974,V4,0,1,3.0,1.0,This wall is short so we had to get creative with our traverses. The very top of the rock is OFF ROUTE. Start in a decent pocket near the top of the wall and reach down for a killer deep pocket (check it for critters first!). From there reach to another then cross over to a decent hold. Throw around the corner to a crimp and then establish your feet on a good ledge. Stand up on the ledge without using the top and you’re done.,{112161285: 3}
A hole,112785883,Boulder,112785842,V5,0,1,0.0,,"Sit start below a small hole in center of boulder, up and over.. V hard. Never climbed",
Azkabar,112867946,Boulder,112785842,V3+,10,1,2.7,3.0,"Triangle shaped boulder on the right side of a corridor on the far right end.  Start with hands at hip level, then up to the point at top.  Hard start leads to an easier finish","{105987759: 3, 200132992: 3, 112161285: 2}"
Big leg hair,112785859,Boulder,112785842,V0,0,1,1.0,1.0,Sit start at the left end of the boulder,{105987759: 1}
Dunkey butt,112785876,Boulder,112785842,V1-,0,1,2.0,1.0,"Lay/ sit start way below in the little cave under the big mushroom shaped bulge on right side of boulder, move out to the bulge, then up and right towards the corner ,not straight up    No heel hooking on the Mushroom to make it harder",{105987759: 2}
EZGB,112785855,Boulder,112785842,V0-,0,1,1.5,2.0,Sit start at the left side of the big hole ..up and over,"{112161285: 2, 105987759: 1}"
Flake up,112785888,Boulder,112785842,V1,0,1,2.0,2.0,"Sit start below left end of flake in center of boulder.  Move up flake to your right, then up and over boulder at weakness before the corner      Variation:  Move to the end (corner) of the flake, straight up from corner    Both are fun..","{105987759: 3, 112161285: 1}"
Loungin,112820552,Boulder,112785842,V2,8,1,3.0,1.0,Sit start under big overhang on solo boulder with your left foot way up in the hole. Work up and over slopey roof above.  Powerful slopey moves..,{105987759: 3}
Sloppy Arete,116648731,Boulder,112785842,V3,8,1,4.0,1.0,"Sit start on decent holds on the bulge, feet straddling the arete. Slop onto a brutal sloper then reach up with the left to pockets. Bring your feet onto the starting hand hold and top out.",{112161285: 4}
