name,id,parent_id,elevation,latitude,longitude
Missouri,105899020,,776,38.962, -92.321
CM: Andromeda,105960135,105899020.0,595,38.936, -92.509
Sandstone Slab,105960138,105960135.0,704,38.936, -92.509
Andromeda Buttress,118976120,105960135.0,596,38.936, -92.509
Katy Cliff,105960551,105960135.0,641,38.935, -92.508
Kawagunga Buttress,112480303,105960135.0,654,38.934, -92.507
CM: Capen Park,112174236,105899020.0,669,38.931, -92.321
The Drive-In,112174248,112174236.0,625,38.928, -92.322
Main Area,112174256,112174236.0,627,38.93, -92.321
Walk Down Area,112174244,112174236.0,617,38.929, -92.323
CM: Cedar Creek,107896416,105899020.0,662,38.818, -92.144
Cedar Creek Main Bluff,112117915,107896416.0,759,38.818, -92.138
Devil's  Backbone Sandstone,112117898,107896416.0,699,38.807, -92.151
Horseshoe Bend,112338152,107896416.0,787,38.805, -92.152
The Slabs,112338200,112338152.0,700,38.804, -92.154
CM: Devils Elbow,113580243,105899020.0,862,37.848, -92.059
Ampitheater Area,118193453,113580243.0,852,37.848, -92.059
Approach Trail,119657946,113580243.0,819,37.848, -92.059
Classroom Area,118193464,113580243.0,900,37.847, -92.058
River Bend,118193507,113580243.0,856,37.847, -92.057
Top Roping,118193513,113580243.0,875,37.848, -92.058
"CM: Henley, Forgotten Wall",107394399,105899020.0,702,38.34, -92.295
CM: Hermann Roadside Park,113857211,105899020.0,847,38.68, -91.437
North Wall Area,113857279,113857211.0,822,38.68, -91.437
The Love Pillar,113943360,113857279.0,821,38.681, -91.437
North Cave,113940687,113857279.0,824,38.681, -91.437
Forehead Slab,113943433,113857279.0,832,38.68, -91.437
Ramp Area Boulders,113857253,113857211.0,835,38.68, -91.437
Dog Walk Down,114025402,113857253.0,831,38.679, -91.438
South Wall Area,113857303,113857211.0,811,38.679, -91.437
South Cave,113940703,113857303.0,823,38.679, -91.437
High Ball Wall,114025294,113857303.0,816,38.679, -91.437
CM: Paddy Creek Wilderness,113901772,105899020.0,908,37.559, -92.046
Boiling Springs,113928134,113901772.0,"1,182",37.462, -91.989
CM: Jacktar Hollow,119925887,113901772.0,"1,199",37.481, -92.001
Golden Eye Area,117967315,113901772.0,"1,019",37.553, -92.068
Upper Trail Area,118201228,113901772.0,"1,254",37.545, -92.046
CM: Panther Bluff,114172205,105899020.0,699,37.321, -91.402
North Side,114172221,114172205.0,775,37.322, -91.402
South Side,114172231,114172205.0,772,37.322, -91.402
CM: Providence,112174683,105899020.0,565,38.836, -92.406
North Area,112174691,112174683.0,594,38.84, -92.409
Battress Area,112174688,112174691.0,610,38.844, -92.413
Primal Wall,112384258,112174691.0,679,38.839, -92.407
Spire Area,112174723,112174691.0,718,38.841, -92.409
Artifact Wall,112338017,112174723.0,734,38.84, -92.408
Fowl Slabs,112373336,112174723.0,732,38.84, -92.408
Scarface Wall,112363235,112174723.0,708,38.84, -92.408
The Spire,112337955,112174723.0,701,38.841, -92.409
Turtle Wall,112174749,112174691.0,709,38.846, -92.415
Providence Main Wall,112174697,112174683.0,604,38.835, -92.403
South Area,112174705,112174683.0,720,38.833, -92.4
CM: Reform Rock,111110315,105899020.0,539,38.794, -91.865
CM: Rocheport,113851263,105899020.0,591,38.978, -92.561
CM: Roubidoux spring,118689251,105899020.0,789,37.825, -92.201
CM: Scheuler's Ferry,107896109,105899020.0,576,38.34, -92.224
"Bluff One ""Dihedral Area""",110956447,107896109.0,710,38.343, -92.226
Bluff One - The Amphitheater,108305051,107896109.0,674,38.343, -92.226
Bluff Two,115354395,107896109.0,624,38.343, -92.227
CM: Wilton,107896253,105899020.0,571,38.752, -92.375
[Redacted],115789735,107896253.0,746,38.756, -92.376
Cro-Magnon Cave,112416779,107896253.0,683,38.754, -92.376
Meadows Area,108299274,107896253.0,733,38.759, -92.377
South Wilton,110551918,107896253.0,751,38.755, -92.375
The Sport Wall,108288775,107896253.0,720,38.76, -92.378
Sunlight Area,113847550,107896253.0,763,38.757, -92.376
Three Roofs Wall,113851192,107896253.0,742,38.758, -92.377
EM: Al Foster Boulder,116212194,105899020.0,473,38.543, -90.621
EM: Amidon,110961807,105899020.0,744,37.569, -90.155
Area 2,112928595,110961807.0,750,37.569, -90.15
Bikini Bottom,112928579,110961807.0,737,37.569, -90.151
