name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Bacca Box,105961295,Sport,105960138,5.9,0,1,2.6,5.0,An interesting crux is found at the first bolt.  The climbing gradually eases after the first bolt.  The best route of the grade at Andromeda.,"{10244: 3, 112152487: 3, 112403472: 3, 106110467: 2, 107040811: 2}"
The Slab,105961289,Sport,105960138,5.7+,0,1,2.2,6.0,A slab crux at the very bottom of the route followed by much easier climbing to the anchors.,"{107040811: 4, 10244: 2, 105899017: 2, 11635: 2, 112403472: 2, 106110467: 1}"
Andromeda Sprain,105960151,Trad,118976120,5.8,100,2,3.5,19.0,"P1: Climb the crack angling up and right, ending at the point where the crack angles back left.  Set up a belay at this point.  Be careful lower on the pitch, due to somewhat tricky pro.    BETA ALERT: from the CAMM site - People, please protect the first crux moves well, because if you are going to fall this will be the place that it will occur. Put a Large hex or #13 stopper in to the left in the big downward flair. Do not put a cam in, it will walk up and out. Also up underneath the rib that sticks out right you can place a red #1 camalot or similiar cam underneath up in there. It would be a bad place to fall and rip gear. It is crucial that you have 2-3 pieces protecting this move as it would be a ground fall if all your gear ripped.  P2: Continue in the crack system up and left to a right facing dihedral crack.  Some very fun moves take you to the top.","{105899017: 4, 200147861: 4, 107040811: 4, 200185065: 4, 200069722: 4, 112403472: 4, 107359275: 4, 105959992: 4, 109855183: 4, 106378291: 4, 107863079: 3, 108233790: 3, 200442965: 3, 108007868: 3, 108522822: 3, 200143960: 3, 113021460: 3, 112412692: 3, 112003012: 3}"
Doctor Hook,105960166,Sport,118976120,5.11,30,1,3.2,13.0,"Climb the low angled choss to the first bolt.  Rest, and then fire up the steep face following large positive pockets.  Pull over the roof on the rail systems and clip the anchors.  Though short, this route is very fun and power packed.    Climbing past the anchor and three more bolts makes this a 5.12 outing.  It may or may not have anchors, though, because the ones that were there have been chopped.","{105899017: 4, 200313107: 4, 107863079: 4, 107359275: 4, 200175543: 3, 110202689: 3, 113021460: 3, 109855183: 3, 108233790: 3, 106987190: 3, 10244: 3, 107040811: 3, 106110467: 2}"
Flexible Flakes,105960412,Sport,118976120,5.10,0,1,2.5,6.0,"Follows several bolts past some flakes, which do flex, and finishes at a two bolt anchor.","{112403472: 3, 200143960: 3, 200313107: 3, 10244: 2, 106110467: 2, 110202689: 2}"
Flying Meat,105960142,Sport,118976120,5.10a,50,1,3.3,16.0,"Starting at the left side of the cave, head up and right to the first bolt and a flake.  Clip the bolt and head up the flake.  Continue to the anchors on edges and sometimes slopey pockets.","{200185065: 4, 107886361: 4, 200415318: 4, 200140817: 4, 107359275: 4, 107040811: 4, 109920420: 3, 200313107: 3, 110202689: 3, 112403472: 3, 200143960: 3, 109855183: 3, 108233790: 3, 105899017: 3, 11635: 2, 106110467: 2}"
Muffin Man,105960422,Sport,118976120,5.12+,0,1,2.5,2.0,"Starts with some dynamic moves on steep rock and climbs over a bulge.  I have never done the route, so the rating is an educated guess.  It might be 5.13-.","{10244: 4, 112403472: 1}"
Old Ironsides,105960416,Sport,118976120,5.11+,0,1,3.2,5.0,"A steep start with the first crux around the second bolt, then eases up for awhile and finishes with a second crux near the top.  One of the best climbs on the cliff.  Trend left after the third(?) bolt.","{10244: 4, 106110467: 3, 106987190: 3, 110202689: 3, 107040811: 3}"
One For Thomas,112902712,Sport,118976120,5.8,75,1,1.7,3.0,"This route is solid 5.8 but may seem super ran out and scary for an inexperienced leader. Slab up 15 feet to a flakey corner finally reaching the first bolt at about 25'. Dodge and weave your way to the anchors where you can either go straight up on the blank white face or follow easy, bad, loose rock in from the right.","{109855183: 2, 107040811: 2, 200313107: 1}"
Raging Slob,105960382,Trad,118976120,5.9+,60,1,2.7,6.0,Look for a long single chain hanging from the cliff.  The route goes past the chain to the top.,"{200229327: 4, 107040811: 3, 200313107: 3, 10244: 2, 11635: 2, 112403472: 2}"
Slow Children playing,112902698,Sport,118976120,5.6,45,1,2.0,1.0,Start either low or high on a detached boulder and 5.6 your way up past a couple of bolts and casual hauling until you are met with a 5.6+ crux move below the anchors.,{109855183: 2}
Alpha Male,115335232,Sport,105960551,5.12d,60,1,2.0,1.0,"Direct version of Katy's Trail. After the initial boulder problem head directly up instead of left. Small holds, cruxy.",{112403472: 2}
Blond Ambition,115335239,Sport,105960551,5.12d,50,1,1.0,1.0,Easy climbing to crimps. ,{112403472: 1}
Dogs Don't do Coffee,105960554,Sport,105960551,5.11,0,1,3.7,6.0,"Start with some long reaches around the first bolt to an interesting crux by the fourth bolt.  The crux can be done either by going straight up past the bolt, or by going out left then doing some big moves to come back right at the fifth bolt.","{106110467: 4, 107359275: 4, 107040811: 4, 200143960: 4, 10244: 3, 105899017: 3}"
Fly on the Wall,114182214,Sport,105960551,5.12d,50,1,0.0,,"From MO' Beta by Jer Collins:  ""The old adage rings true: the better the rock quality, the harder the climbing. Perfect rock makes this line pretty tough.""  Bolts right of Psychiatry Kills. Looks blank. ",
Joint Checking,105960566,Sport,105960551,5.11+,0,1,3.0,1.0,A very tricky move gets you off the ground.  This move of faith is followed by interesting and continually powerful climbing to the finish.  Remember that your gear is only as good as the rock it is placed in.,{10244: 3}
Katy's Trail,105960558,Sport,105960551,5.12a,0,1,3.5,4.0,"The first route established on the cliff.  Climb the bottom on some interesting 5.11 climbing past a lieback and go left to a large ledge and rest.  The crux comes off the ledge, then the route trends right to a two bolt anchor.  A direct version avoids the rest and takes a more difficult line straight up.","{10244: 4, 107040811: 4, 106110467: 3, 110202689: 3}"
Off the Couch,105961281,Sport,105960551,5.11-,0,1,0.0,1.0,"A one move crux at the bottom is followed by some much easier climbing.  However, there are many loose blocks and loose rock to the anchors.",{10244: 0}
Psychiatry Kills,105960562,Sport,105960551,5.11,0,1,3.0,2.0,Steep climbing at the start to a large ledge.  From the ledge go straight up on thin holds to large pockets and a somewhat runout but easy finish.,"{10244: 3, 107040811: 3}"
Twins,105960583,Sport,105960551,5.11,0,1,3.3,4.0,The route consists of two cruxes with good climbing between the cruxes.  The first crux comes at the bottom and consists of a dyno or high step and a right angling hand traverse.  The upper crux is on thin holds around the last two bolts.,"{10244: 4, 106110467: 3, 105899017: 3, 107040811: 3}"
Wing Walker,105961285,Sport,105960551,5.11+,0,1,4.0,5.0,"Long and powerful moves at the bottom are followed by some easier climbing.  However, the crux is near the top of this nearly vertical climb.","{10244: 4, 11635: 4, 110202689: 4, 200143960: 4, 200952904: 4}"
Kawabunga Crack,112480311,Trad,112480303,5.9+,90,1,2.5,2.0,No text - use the 'Improve This Page' link to add something useful!,"{200419875: 3, 109855183: 2}"
community service,111261064,Sport,112174248,5.6,35,1,2.0,4.0,The crux is lower in the route.,"{112068796: 3, 200552531: 3, 110516020: 1, 200143960: 1}"
Easy for You,118767468,Sport,112174248,5.6,25,1,2.0,1.0, A fun little route that everyone can enjoy.  It's easy and well protected which makes it fun for the whole family.  It's just to the left of Chocolate Chip Cookie.  ,{200680499: 2}
Got Time For a Quickie?,111640650,Sport,112174248,5.6,35,1,1.0,4.0,"Begin on a horizontal dike-like feature that provides good jugs to the first bolt. Move up, following the chalked jugs and make long easy reaches from pocket to pocket with a few mantles through-out.","{110544219: 2, 107040811: 1, 200143960: 1, 200183190: 0}"
Mano Y Mano,111640703,Sport,112174248,5.11a,45,1,2.6,5.0,"Climb thin face holds making a few tenuous moves up to a large rotten chunk of rock, and traverse right around the roof, eventually leading to the anchors. Bring long draws for this one as to avoid some serious rope drag after the traverse,","{111632316: 3, 110544219: 3, 200753884: 3, 107040811: 2, 109920420: 2}"
Pick Pocket,118767028,Sport,112174248,5.10a/b,30,1,2.0,1.0,Crux is between the 3rd and 4th bolt.  Not a problem for you if you have very good feet or a longer than average wing-span.  Until this move it's a casual 5.8 route.  ,{200680499: 2}
playing hookie,111261077,Sport,112174248,5.8+,40,1,2.5,6.0,Crux between first and second bolt.,"{112068796: 4, 112152487: 3, 110516020: 2, 111632316: 2, 107040811: 2, 200143960: 2}"
Trundle Tower,111817186,Sport,112174248,5.10c,40,1,2.0,5.0,"Begin on great jugs to first bolt. Make a reach move on a one or two finger sloping crimp to better holds above. The crux comes just before the second bolt and involves a desperate long reach to an alright hold. If you were to fall here, you may hit the ground, so be cautious. The climbing eases up and the route ends on the same anchors as Playin' Hookey.    Keep in mind that the second bolt is not visible from the ground and is just above the crux.","{110544219: 3, 111632316: 2, 112152487: 2, 200143960: 2, 200680499: 1}"
Ape Man,106297533,Boulder,112174256,5.9,18,1,1.0,1.0,"Ape Man is to the right of The Slot and to the left of a small right facing flake with a crack behind it, and goes through a small roof at the top. Start on a slab with pockets and climb to the ""roof"". Right over the ""roof"" is a crack. Grab that and mantle over the top. Another way to do this boulder problem is to climb the right facing flake just before the traverses to a jug just above the flake, traverse left to the topout on Ape Man",{108034204: 1}
Flenner Sit Down,112172136,Boulder,112174256,V3,9,1,2.5,2.0,"Main wall of Capen Park, inside the bouldering cave lies a well thought puzzle of a sit down problem. Starting moves are better if someone shows you & the crux involves a vertical yoga pose.","{200041845: 3, 105986767: 2}"
Footloose Direct,113116106,Trad,112174256,5.11b/c,50,1,3.5,2.0,"Start just right of the Rock Garden line and just left of the traditional Foot Loose line. Use the chert pockets left of the Foot Loose flake to gain small pockets and edges. Do not use the football pocket out left. Continue up the steep face to the chert bulge to the upper roof. Use to thin under cling crack to move right to top out on Foot Loose proper. Grab the good roof lip hold then heel hook, so you can reach over the lip and then mantle to finish. Standing on top of the cliff is the finish. Ask Berry Gilbert!","{200580829: 4, 107040811: 3}"
Hard Traverse,106297558,Boulder,112174256,V4-,20,1,2.0,4.0,"This traverse is in the same area as the High Traverse and the Low Traverse. Start on Jugs on the right hand side of the Low Traverse and climb through slopers at about chest height. After about five feet, There are some jugs at chest height. Don't grab these, but use a crimper to the right of the jugs at about head height (about 6 feet up). The rest of the traverse uses the holds located where the rock changes from smooth to chirt right below the two jugs mentioned earlier. You will find a sloper/pinch, and some small crimps. One of the crimps has a piece of chirt right about it which scrapes against your finger nails. End the traverse on the smallest holds you can use. A slightly (but still V4) easier version uses the pork chop shaped hold. There should be some easier way to describe the elimination problems at Capen. This one is included because it is one of the best, but it is hard to describe. If you want a really good workout, do the traverse one way, then reverse it. It has been done.","{105986767: 2, 106110467: 2, 108034204: 2, 112152487: 2}"
Jay's Dyno,106297553,Boulder,112174256,V3-4,15,1,3.0,2.0,start on rock pad on left before bouldering starts just below the right facing flake(sunshine route). traverse over about 5 feet to the 2 hand jug. dyno up 45 degrees to the right (about 5 feet) to pocket. work to the top jug,"{105986767: 3, 108034204: 3}"
Middle Traverse,113115923,Boulder,112174256,V1-2,0,1,4.0,1.0,Boulderng the low roof line left to right or right to left using the chest high line of chert pockets and edges. A lower traverse uses some better pockets and is a bit easier. This type of traversing is about limiting your line of holds.,{107040811: 4}
The Open Book,106284593,Trad,112174256,5.10a,75,1,3.0,25.0,"Bouldery start up pocketed limestone to a small alcove. From there head out the roof crack into the ""Open Book"" dihedral above. Top out to complete the crux!","{105959992: 4, 107863079: 4, 200042005: 4, 200753884: 4, 200373840: 4, 105798149: 4, 107390101: 3, 112347306: 3, 200580829: 3, 200958626: 3, 112398714: 3, 111632316: 3, 13115: 3, 106107186: 3, 10244: 3, 11635: 3, 106110467: 3, 107771530: 3, 109133920: 3, 7133104: 2, 108233790: 2, 200041845: 2, 200442965: 2, 112202693: 2, 106987190: 2}"
Rock Garden,107184183,Trad,112174256,5.9,40,1,2.7,3.0,Start on the face that is 8 feet to the right of the Three Horns flake.  Climb positive crimps and then make a long reach to a football-shaped hole. Continue directly over the hole until it is possible to join the top right top out of the classic Three Horns line.    More sustained than but not quite as interesting as the classic Three Horns.,"{107040811: 4, 105798149: 2, 108233790: 2}"
Solution Pocket,107091998,Trad,112174256,5.9,40,1,2.0,3.0,"Short slab section, just right of the Hump and Northwest Passage, and then the route really starts. The first few moves are the crux, then pretty easy sailing after you mantle and you are standing in the pocket. Chains sit just above the Hump.","{106378291: 2, 10244: 2, 108233790: 2}"
Three Horns,106297851,Trad,112174256,5.8,35,1,2.6,9.0,"Main roof fell from this route so it is no longer in its original form. Lie back up the obvious right-facing flake just right of Bon Voyage to a small roof. Traverse right under the roof. Mantle up on a small shelf and move straight to the top on a slightly overhanging rock. The name Three Horns is a bit misleading for this route. The first horn is a little shorter than it used to be. A local climber, Tom Evans, was doing this route when much to his surprise he pulled off most of the first horn! The belayer was rudely awakened by the rock fall. The second horn is still intact. However, the third horn, once looped for protection for the lead was removed in much the same manner as the first. This should give you some insight into the nature of leading at Capen Park","{107040811: 4, 200373840: 4, 105798149: 3, 200580829: 3, 105959992: 3, 105986767: 2, 13115: 2, 10244: 1, 106110467: 1}"
Contact High V4,112172228,Boulder,112174244,V4,0,1,2.5,2.0,"the large outcrop slab, Traverse Left to right. follow the crimps & slopers. End at the horn","{105986767: 3, 112255712: 2}"
Dihedral ?,112172342,Boulder,112174244,5.9,0,1,0.0,,"little is known about this route to my knowledge. the holds are there, the line looks clean & surely it can be sent on TR",
Levitation V5,112172182,Boulder,112174244,V5,15,1,2.0,1.0,This is being posted for historical purposes:    from the wall hike your feet up and reach up to a flake in the roof. Match and dyno up and way left to a ledge on the lip of the roof. Match again and campus up small edges to a sketchy topout. A classic Missouri bouldering testpiece.,{105986767: 2}
Long Traverse V1,112172195,Boulder,112174244,V1,65,1,2.0,1.0,start at Levitation V5 & traverse under the roof to the right till you get to Trust the Fiction V4+,{105986767: 2}
Trust the Fiction V4+,112172205,Boulder,112174244,V4+,15,1,3.0,1.0,"follow holds to the roof, big reach out to the lip of the roof where you would expect a nice hold, hence the FICTION, & bump up to a sinister deadpoint pocket. Campus to the finish",{105986767: 3}
Unnamed V1,112172273,Boulder,112174244,V1,0,1,1.0,1.0,just to the right of the outcropping is a small bouldering cave. Follow the moves up & to the right to meet at the top of Unnamed V3,{105986767: 1}
Unnamed V3,112172239,Boulder,112174244,V3-,0,1,1.0,1.0,follow the outcropping of Contact High & find your way to a small crimp in the small dihedral. End at the pockets above,{105986767: 1}
Fight or Flight,112329940,Boulder,112117898,5.11+,30,1,3.0,1.0,"Crux is gaining the lip and then pulling the lip. Work the bouldering optioins to gain the roof lip then pull up to a fist jam, utilize a left knee bar, then work the slopers with the right. Plug in a fist sized cam to protect your continuation on much easier climbing.",{107040811: 3}
Past My Prime,112329910,Trad,112117898,5.7+,40,1,2.5,2.0,"Bouldery crux start, just below roof, transitions up and left into crack and left facing dihedral. Suck up pro and has a bomber two bolt rap chain. rap anchors are just above a beginner sport line called 'V Card'.","{107040811: 3, 112202693: 2}"
V Card,112329935,Sport,112117898,5.7+,30,1,2.0,2.0,"Great beginner route next to a great beginner trad line on solid sandstone. Morning sun during the winter and somewhat sheltered from the wind. Great shade during the summer, just pick dry weather.","{107040811: 2, 112202693: 2}"
College Dropout,114029064,Sport,118193453,5.8,50,1,2.0,7.0,Climb through the low crux by pulling the small roof and reach easier climbing for the remainder of the route. Shares 3 bolts and anchors with Community College.,"{112350123: 3, 200151696: 2, 200235059: 2, 200489189: 2, 200549336: 2, 200451793: 2, 200392723: 1}"
Community College,114029039,Sport,118193453,5.8,50,1,2.0,5.0,"This route starts just to the right of College Dropout. It has its own two bolts at the start and the remaining three are shared with College Dropout. To climb this route uniquely, crimp strait up the slab, clipping the bolts to your left. Easier climbing can be found by traversing over to Dropout's line and climbing on the let side of the bolts.","{112350123: 3, 200151696: 2, 200235059: 2, 200549336: 2, 200392723: 1}"
Crimp The Slime,118314593,Sport,118193453,5.11b,30,1,2.0,2.0,"Suggested to stick clip the first bolt. Start just on a good crimp and pinch just below the first clip. Move up to the crux, pull the sloping slide pull and work left to the cave feature left of the second bolt. There is a bomber chock stone in the top of the cave. Muscle past the cave to the gully. A 2 bolt anchor is high in the right face of the gully.   This route seeps groundwater following rain, beware of slimy jugs near the start and in the cave. Terrible when wet, fantastic when dry.","{200598515: 3, 200151696: 1}"
Eye Pocket,113582122,Sport,118193453,5.10c,100,1,3.3,6.0,"Start with a low tecky crux by keeping your balance and sticking the sharp crimps. Past here, look in to a hole in the rock you'll see a plastic skull warning you of what's to come. The next 50 feet is sustained 5.10a crimping before you reach a marvelous rest ledge with one of the best views at Delbow. Follow a crack a little ways from the ledge and power through the last roof to reach the chains.","{200549336: 4, 112457732: 4, 200074259: 3, 200489189: 3, 200151696: 3, 200191884: 3}"
Get Amped,118319126,Sport,118193453,5.7,25,1,2.5,2.0,"Short, well protected route on quality rock. Good for beginner leader.  ","{200549336: 3, 200151696: 2}"
Grapefruits and Cannonballs AKA: The Long Face,113581897,Sport,118193453,5.7,70,1,2.4,8.0,Easy slab climb with plenty of good holds. This is a great route for someone to get their first lead. During summer and fall watch out for the wasp nests around the 6th bolts.,"{200720763: 4, 200451793: 3, 112350123: 3, 200151696: 2, 200094380: 2, 200235059: 2, 200549336: 2, 200392723: 1}"
Lefèvre,117770625,Sport,118193453,5.10a,30,1,2.8,4.0,Start on the cracked ledges beneath the first bolt or in the chert to the right ~5'. Work towards a notch in the small roof to the left before moving right passing over the large block. Pull through the crux of small side pulls moving up to catch a large block below the bolts.,"{200549336: 4, 200489189: 3, 200598515: 2, 200151696: 2}"
Mike's Crack,113581831,Sport,118193453,5.9+,30,1,3.2,6.0,Lieback the wide crack to reach great hand jams the rest of the way to the anchors. Cleanest route at the crag. ,"{200699983: 4, 200549336: 4, 200151696: 3, 200489189: 3, 200451793: 3, 200392723: 2}"
Gym Class,118723100,Sport,118193464,5.11b/c,45,1,3.0,1.0,Stick Clip the first bolt. Start under the obvious pockets beneath the first bolt. Work Towards the crescent shaped pocket before going left to the huge side pull. Sink a very high knee bar and clip the second bolt. The crux move is landing the huge jug rail to the right of the third bolt. Hit the rail and cruise up to the anchors.,{200598515: 3}
