name,id,parent_id,elevation,latitude,longitude
Montana,105907492,,"5,253",46.432, -112.84
Northwest Region,115965598,105907492.0,"3,374",47.778, -114.186
4200 Rock,119515979,115965598.0,"4,968",46.721, -114.567
Alberton Rest Stop,106300658,115965598.0,"3,008",47.005, -114.568
Bad Rock Canyon,113703368,115965598.0,"3,042",48.386, -114.103
Baker Lake Boulders,112159382,115965598.0,"7,677",45.894, -114.258
Bass Creek,107219826,115965598.0,"3,300",46.575, -114.138
Bear Creek Canyon,112448757,115965598.0,"5,485",46.401, -114.259
Above Creek,118643402,112448757.0,"5,482",46.401, -114.259
Bear Creek Ice,114782201,112448757.0,"4,741",46.385, -114.293
Morning Thunder Wall,113365360,112448757.0,"5,478",46.401, -114.259
Big Creek/McCalla Ridge,113093231,115965598.0,"5,314",46.469, -114.201
Blackleaf Canyon,106447499,115965598.0,"6,250",48.018, -112.713
Birdhead Buttress,119250179,106447499.0,"5,675",48.008, -112.713
Blow-Hard Wall,119055239,106447499.0,"5,859",48.006, -112.71
Dentist Area,118987871,106447499.0,"5,719",48.007, -112.712
Enlightenment Wall,119250474,106447499.0,"5,782",48.007, -112.711
Main Wall - North Face,106447504,106447499.0,,48.018, -112.713
Main Wall - West End,106943410,106447499.0,"4,900",48.008, -112.714
Blodgett Canyon,106619842,115965598.0,"6,697",46.277, -114.357
Blackfoot Dome,108408632,106619842.0,"4,972",46.27, -114.278
Cornler Ridge,107289727,106619842.0,"6,341",46.285, -114.252
Cornler Towers,107289733,107289727.0,,46.285, -114.252
Cornlier Ridge,107709644,107289727.0,"5,218",46.275, -114.262
Drip Buttress,108401245,106619842.0,"5,502",46.278, -114.357
Flathead Buttress,107251010,106619842.0,"8,647",46.28, -114.289
Horsehead Arch,115163170,106619842.0,"6,559",46.265, -114.307
Nez Perce Spire,108372213,106619842.0,"6,015",46.277, -114.277
Parking Lot Wall,107250983,106619842.0,,46.277, -114.357
The Prow,107251007,106619842.0,"4,806",46.272, -114.254
Shoshone Spire,107251004,106619842.0,"5,607",46.278, -114.281
Buffalo Canyon/Dark Canyon,113968157,115965598.0,"5,372",46.766, -109.992
Buffalo Canyon,113968202,113968157.0,,46.766, -109.992
dark canyon,113968236,113968157.0,"5,532",46.76, -109.996
Cabinet Mountain Wilderness,112214482,115965598.0,"7,581",48.208, -115.674
'A' Peak,112214510,112214482.0,"8,634",48.239, -115.699
Northeast Face,112214513,112214510.0,"6,204",48.241, -115.695
Granite Lake Area - Ice,118652142,112214482.0,"4,629",48.247, -115.688
Three Tiers,118652184,118652142.0,"5,185",48.243, -115.684
The Thunderdome,118659433,118652142.0,"5,790",48.241, -115.687
Snowshoe Peak,112214491,112214482.0,"8,738",48.223, -115.689
St. Paul Peak,115133976,112214482.0,"7,625",48.079, -115.676
Canyon Creek,114386811,115965598.0,"6,127",46.253, -114.271
Canyon Peak,108179877,115965598.0,"9,096",46.245, -114.354
Chaffin Creek,113609777,115965598.0,"4,799",45.955, -114.214
Sombrero Buttress,117611385,113609777.0,"6,456",45.957, -114.267
Sugerloaf Peak,117615691,113609777.0,"8,610",45.943, -114.306
Crystal Theater / Babcock Spires,106422535,115965598.0,"5,436",46.637, -114.586
Alpha,119292189,106422535.0,"5,612",46.658, -114.594
Dad Rock,119729142,106422535.0,"5,946",46.655, -114.606
Delta,106422724,106422535.0,,46.656, -114.607
Gamma,106422559,106422535.0,,46.659, -114.599
Rho,106422607,106422535.0,,46.655, -114.611
"Cyanide Creek (Augusta, Montana)",116533177,115965598.0,"5,602",47.31, -112.573
Elton Turns 70 (ET70),116533253,116533177.0,"6,264",47.296, -112.564
Three Amigos,116533229,116533177.0,"6,108",47.297, -112.572
Dihedral Rock,119193102,115965598.0,"4,305",46.701, -114.54
Elk Meadows,113119415,115965598.0,"8,000",46.695, -114.357
Palace Wall,113119492,113119415.0,"8,000",46.677, -114.366
Palace Wall,113119577,113119492.0,"6,249",46.677, -114.367
Elk Rock,106419169,115965598.0,"4,763",46.714, -114.565
