name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Glycocgen Window,119516011,Trad,119515979,5.10d,60,1,3.0,1.0,Ascend left leaning pod/crack system using the splitter for protection. Get crucial piece in before climbing a crux bit below bolt on slab. ,{200044312: 3}
[Redacted],106300671,Sport,106300658,5.10c/d,50,1,2.2,20.0,"This route is the most right route on the main wall.  It starts out just past the corner.  The move past the first bolt is a pretty hard one, with a big reach.  The last bolt is sketchy, becasue if you miss and fall you will hit a ledge before the rope catches you, and you will probably break yourself.","{200913952: 3, 112272728: 3, 108401438: 3, 200352210: 3, 200781124: 3, 106159521: 3, 106259383: 3, 105878162: 3, 200120733: 2, 106050127: 2, 105936703: 2, 106693270: 2, 110177633: 2, 200040607: 2, 110272938: 2, 200587713: 1, 112387984: 1, 200248261: 1, 106303193: 1, 106546689: 1}"
Collapsed Lunge,117765399,Sport,106300658,5.12c,0,1,2.0,1.0,V5 boulder problem to hard transition back into 2nd crux of Grease Monkey.,{200587713: 2}
Easy Rider,106301148,Sport,106300658,5.8-,70,1,1.9,18.0,Slab climb.  Bolts a little run out.  Ground fall potential until the second bolt.,"{200746915: 3, 113371873: 3, 200781124: 3, 200913952: 2, 200717796: 2, 106259383: 2, 200455404: 2, 200040607: 2, 108401438: 2, 106159521: 2, 108323887: 2, 111898712: 2, 200964537: 2, 106693270: 1, 109267706: 1, 112414163: 1, 106050127: 1, 200747533: 1}"
Emerger,112457813,Sport,106300658,5.10+,55,1,2.8,4.0,Climb off block above the river. Fun but nothing special except for the location.,"{200120733: 3, 200864191: 3, 200913952: 3, 109651950: 2}"
Grease Monkey,117765388,Sport,106300658,5.12a,0,1,2.5,2.0,Thoughtful cruxes with mixture of power and technique. Fun route!,"{200587713: 3, 200913952: 2}"
Unknown(1),106367736,Sport,106300658,5.6,50,1,1.8,8.0,Easy slab climbing with a few fun moves through a short steep section,"{107265410: 3, 109373054: 2, 112414163: 2, 200717796: 2, 200747533: 2, 106050127: 1, 200781124: 1, 200913952: 1}"
Unknown(2),106367714,Sport,106300658,5.6,50,1,1.9,7.0,Easy slab climbing on decent rock.,"{107265410: 2, 200352210: 2, 113371873: 2, 112414163: 2, 200717796: 2, 200747533: 2, 106050127: 1}"
Unknown(3),106367743,Sport,106300658,5.8,50,1,1.9,10.0,Easy slab to a short steep section followed by nice thin friction climbing.  Some beginning leaders might not like the distance between the 3rd and 4th bolts.,"{200051960: 4, 112414163: 3, 200747533: 2, 200717796: 2, 200913952: 2, 113371873: 2, 200455404: 2, 107639118: 1, 109267706: 1, 106050127: 0}"
Unknown(4),106368675,Trad,106300658,5.6,50,1,1.4,5.0,A thin chossy seam,"{200352210: 2, 200455404: 2, 106050127: 1, 112414163: 1, 200717796: 1}"
Unknown(5),106373314,Sport,106300658,5.7+,50,1,1.8,9.0,Scramble up some mossy ledges until you reach a short steep section that eventually transitions into slab,"{200455404: 2, 200781124: 2, 112414163: 2, 200717796: 2, 107639118: 2, 200913952: 2, 200747533: 2, 106050127: 1, 109267706: 1}"
Andrew's Bane,113703441,Boulder,113703368,V3,16,1,3.0,2.0,"Begin standing. Gain the small boulder step using a side pull and undercling. Step left and follow small, sharp crimps to a solid dead-point finish on the lip.","{109520235: 3, 108853669: 3}"
Ascension,113703562,Boulder,113703368,V1,18,1,2.5,2.0,Climb the main prow of Astro Boulder. Solid crimps lead to a thin highball crux and an easy top-out.,"{200602390: 3, 109520235: 2}"
Birthday Suit,113703424,Boulder,113703368,V2+,0,1,1.0,1.0,"FA by Ryan Nelson on his birthday (he was fully clothed). Start sitting under the center of the boulder on two crimps, then traverse right to the edge. Bump up the right edge, avoid dabbing on the tree on the top-out. It’s harder than it looks.",{109520235: 1}
Diet Spite,113703519,Boulder,113703368,V3,0,1,2.0,1.0,"A great overhanging problem. Begin sitting on the nicely placed rock directly under the prow, with a left edge and small right side pull around the corner. Bump right up to a pocket, throw for the jug and hook a heel. Top-out strategies vary!",{109520235: 2}
The Diving Board,113703547,Boulder,113703368,V2-,10,1,2.0,1.0,"Begin seated under the steep, clean prow, fold your legs in and reach right to the edge. Bump to a rail and work back toward the prow, mantle out finish.",{109520235: 2}
Easy Money,113703483,Boulder,113703368,V0,12,1,1.0,1.0,Begin leaning on the large boulder and work the hidden holds on the left arête for a fun climb.,{109520235: 1}
Freestyle Left,113703537,Boulder,113703368,V2,14,1,1.0,1.0,The left side of the main prow. Sit start on good holds and work up and left of the tree. Mantle over the prow. Walk off down the steps carved in a nearby dead tree leaning against the cliff.,{109520235: 1}
Freestyle Right,113703543,Boulder,113703368,V1+,0,1,1.0,1.0,"Just like left, but move on bigger holds to the right of the fir tree. Same top out. Walk off down the steps carved in a nearby dead tree leaning against the cliff.",{109520235: 1}
Gastoner,113703433,Boulder,113703368,V3,16,1,3.0,1.0,"Start with hands at head height on two small, triangular holds. Pull up on holds and kick a foot left for a rock over to a high crimp (crux). Bump and gaston your way to the top on small crimps and a large pocket near the top.",{109520235: 3}
Glory Hole,113703553,Boulder,113703368,V0,16,1,2.5,4.0,Great overall warm up with the approach. Climb the pockets on the east face up to the large hueco in the center of the wall. Top out over the rim.,"{200450072: 4, 109520235: 3, 200627405: 2, 200602390: 1}"
Lichen & Loam,113703372,Boulder,113703368,V2,16,1,2.7,3.0,The first problem at Berne Park and an instant classic. Start sitting directly under the prow with hands matched right. Work the crimps and bump up the left edge to a muscly mantle top-out.,"{109520235: 4, 108853669: 3, 200803482: 1}"
Pine's Bluff,113703447,Boulder,113703368,V4,16,1,3.0,2.0,"Start with the same moves as “Bane”, but follow the prow right onto two tiny crimpers and a high step. Dyno to the bucket-shaped jug at the lip. Five moves.","{200316089: 4, 109520235: 2}"
Pocket Change,113703492,Boulder,113703368,V0-1,0,1,2.0,1.0,"The first problem established on PCB and a great warm-up. Begin sitting on the left side of the face and follow the side pulls, jug and pockets to the top.",{109520235: 2}
Purse Cutter,113703503,Boulder,113703368,V4,12,1,3.0,2.0,"Deceptively hard for its length, this problem saw many barn-door exits before its first ascent. Begin on the right side of the face with a smallish left crimp and a right side pull. Bump the right edge and catch the obvious flat sloper for a fun top-out.","{109520235: 4, 200462940: 2}"
Send Train,113703460,Boulder,113703368,V1-2,16,1,2.8,6.0,Begin sitting on the right side of the face with a left hand side pull and right hand crimp. Pull small edges to the big flake and exit left onto the ledge.,"{108853669: 3, 110233256: 3, 200185963: 3, 200316089: 3, 200803482: 3, 109520235: 2}"
Send Train Direct,113703474,Boulder,113703368,V2-3,16,1,2.0,1.0,"Climb Send Train but go straight up to the lip, bumping left hand to a small edge to a tricky mantle finish.",{109520235: 2}
Green Bay Packers #3,118601274,Trad,112159382,5.8,175,3,2.0,1.0,"Go past Baker Lake, up the creek to Gem Lake.  Route is towards the ridge up to the right.",{110232120: 2}
Green Bay Packers #4,118601334,Trad,112159382,5.9,80,1,2.0,1.0,Roof problem in the descent gully as you hike down from Green Bay Packers #4.,{110232120: 2}
Ballet Zone,108141076,Trad,107219826,5.9+,60,1,2.8,4.0,"Work up the leftmost chimney, the top of which you should protect with a nut. The first bolt is on the left face of the crag, about 35 ft off the ground. Climb the arete past the first and second bolts, and protect the obvious down-and-to-the-right slanting crack below the third bolt with a medium sized nut. An easy mantle after the 3rd bolt gains the chains.    Descent: Abseil or walk off (walk off goes up the hill a bit, then to the left--there's a decent trail).","{108146551: 3, 105936703: 3, 200913952: 3, 105990845: 2}"
Bombay Boogie,108141132,Trad,107219826,5.7,55,1,2.0,1.0,Mixed climb up the obvious chimney.,{107417154: 2}
Bop 'Till You Drop,108141094,Sport,107219826,5.10,40,1,2.5,4.0,"After the second clip, you have lieback slopers past the third, then easy moves to chains in a half-cave. The chains are a bit skinny. Comfortable with a 9.6mm rope, but if you have a 10.2, you might want to walk off.    Descent: abseil or walk off. Be careful if you walk off--would suggest abseiling.","{105990845: 3, 110749120: 3, 200913952: 3, 107693581: 1}"
Flashdance,108141172,Trad,107219826,5.8,55,1,1.7,3.0,"Low angle route, furthest to the right at the crag. After the bolted lower section, there are either cracks to protect or a 15 foot run-out to chains.    Descent: abseil.","{110749120: 2, 200913952: 2, 107693581: 1}"
Russian Ballet,108141114,Trad,107219826,5.9,40,1,3.0,3.0,"Directly to the right of Bop 'till You Drop, there is a nice hand-sized crack. Chain anchors in the half-cave which you can see from the ground. ","{110749120: 4, 200913952: 3, 107417154: 2}"
Waltz to Hands,108141156,Sport,107219826,5.9,55,1,2.4,5.0,"Interesting, enjoyable start gets you up the heel-hookable roof. A bomber hand-sized horizontal crack above the first bolt gains you the face, which boasts slopers and underclings to the chains.","{105990845: 3, 109267706: 3, 200913952: 3, 110749120: 2, 107693581: 1}"
Yellow Point (aka as Green Bay Packers #17),118643459,Trad,107219826,5.10,45,1,2.0,1.0,"Yellow Point is a system for trad similar to the red point and pink point for sport climbing.  There is green, yellow, purple and brown point.  This system was developed by Tom and myself and is used by no one else.  A yellow point has the trad gear already in place when you lead it.  We were placing bolts and need gear to keep us in line and close to the rock.  You can also lead it from the ground up without pre-place gear (green point).",{110232120: 2}
Cold-Shut Rodeo,113317606,Sport,113093231,5.11+,45,1,4.0,2.0,"A sustained route that requires power, creativity, and commitment (especially at the top). Climb through bottom section pulling big moves on good holds to the slopey, friction dependent second half of the route. Once you've clipped the last bolt you still have to pull the crux and climb to a decent hold above the chains to clip them.","{200044312: 4, 112257318: 4}"
Crack Town,113121733,Trad,113093231,5.9+,45,1,2.7,3.0,"Climb up short, widening finger crack just left of bolt line. Then climb up to the overhung (small hands) crack that veers up and left to the chains. Once near the top, a good jug out left will relieve your pump.","{200044312: 3, 112257318: 3, 113178513: 2}"
Cream Wheat on Toast,113533712,Sport,113093231,5.10-,60,1,2.5,2.0,Traverse right across slab white face with two bolts. Pull around arete and pull on licheny crimps to the top. The hardest part is pulling the bulge just beofre the chains.,"{200913952: 3, 200044312: 2}"
Dickie Gets it Done,113318813,Trad,113093231,5.11d,50,1,0.0,,"This description is based on a partial attempt of the route.   Climb up an odd, winding crack to the right of finger-roof then traverse on sloping, semi-flaring crack to base of the finger roof. Then make your way up a heinous looking finger crack to one bolt above it.",
Fun-Town,113121837,Sport,113093231,5.10b/c,50,1,3.0,3.0,"A fun, pumpy 5.10 to the right of Quail Milk. Crimp your way up the ledges on the second half the climb like you're in the gym.","{200044312: 3, 112257318: 3, 112935098: 3}"
GB Packers Crack,113111682,Trad,113093231,5.9,70,1,3.0,2.0,"Get off the ground with creative face climbing, moving towards good finger crack that widens to hands-maybe fists at the top. Face holds are present to supplement the crack. Once at finger crack next to bush, traverse left to bolted slab climbing. Apparently ""5.8"" climbing for three bolts, but definitely feels harder.     Top out at anchors shared with two 10+'s on left hand side of the wall.","{200044312: 3, 112257318: 3}"
Grandpa Dale,113122127,Sport,113093231,5.11a,55,1,3.0,2.0,to the right of ScarredFace and left of Kablamskies!,"{200044312: 3, 112541549: 3}"
Kablamskies!,113111774,Sport,113093231,5.12-,45,1,3.7,3.0,A wonderful sport route with a blocky start to a very thin crux (12-?) at 2nd bolt (not counting the first bolt at eye level due to rockfall). Throw for rail with good feet on tiny crimps and continue up bolt line (5.11ish) on arete.     Can be top-roped by climbing the 5.10 (stout first 3 clips) to the left,"{200044312: 4, 112541549: 4, 112257318: 3}"
Meat Stick,113121658,Sport,113093231,5.10b,40,1,3.0,3.0,"A shorter, crimpy sport route that starts just left of a pine tree. Pull hard to get off of the ground and continue generally right of bolts to a good rest in the middle. Make a bigger move off an undercling ledge to more crimps up and right. Climb sharp edges to the chains.","{200913952: 4, 200044312: 3, 111830757: 2}"
Quail Milk,113121791,Sport,113093231,5.10+,50,1,3.5,2.0,"A spicy 5.10. Climb up to a high first clip and continue up using the small finger crack. Crimp your way up to a big side pull rail, then keep crimping to the top.","{112257318: 4, 200044312: 3}"
ScarredFace,113122059,Sport,113093231,5.9+,55,1,2.5,2.0,The middle slab route next to Zinger. Friction your way up the first bolts with tricky climbing. Continue up good ledges to the top.,"{112541549: 3, 200044312: 2}"
The Seamstress,113318722,Sport,113093231,5.10c/d,40,1,3.5,2.0,"A fun line, that starts with an easy 5.10 arete to a good rest. Finish off the route with insecure, barn-dory lie-backing and the occasional supplementary sloper.","{200044312: 4, 112257318: 3}"
Zinger,113121911,Sport,113093231,5.11,0,1,3.0,2.0,"The left most slab route next to large off-width crack. Due to rockfall, the alleged 5.9 has turned into a 5.11 slab climb that isn't wet from rain but probably from the last climber's tears. Slap your way up the first few bolts to the obvious rest ledge with mostly friction and tiny, tiny edges. Climb some hard 5.10 crimps to the top.  Shares anchors with ScarredFace and Grandpa Dale.","{200044312: 3, 112541549: 3}"
Home Boys on Soy,119250273,Sport,119250179,5.11a,480,6,3.0,3.0,"Moderate through the first three pitches. Off the ground feels tricky as you get used to the chert. Pitches 1 and 2 can be combined with minimal drag (makes for faster ascent). The next couple pitches require gear for protection (sport climbers beware).  Pitch 1:  (5.9) Start left of the birdhead feature on the steep face. Work you way up the ""bulletproof"" face to belay ledge. (65 feet, 6 bolts)  Pitch 2: (5.9+) From ledge pull over bulge onto steep slab and pull through several more gritty sections to a broken corner. Move up corner to v-shaped ledge. (95ft, 13 bolts). (If combining, mind the bolt number!)  Pitch 3: (5.9) Layback up a very cool and steep corner for a few bolts and then step left on another off vertical, chert fortified face. (85ft, bolts)  Pitch 4: (5.11a) Slap left and work left to a gut churning bulge mostly on jugs. Haul through a thin roof move to easier short section (5.9) that takes gear. (95ft, medium gear, 9 bolts)  Pitch 5: (5.8+) Jam straight up a steep hand to finger-sized crack past one bolt and end on top of a small tower. (65ft, 1 bolt, medium gear)  Pitch 6: (5.10) Move up and slightly left past bolts through a small bulge. Make it as hard as you want here then move left after bulge to a ledge at the top of a large chimney. (75ft, 8 bolts and medium gear).","{110840631: 4, 110962188: 3, 106805065: 2}"
Original Sin,119250245,Sport,119250179,5.10d,155,2,2.0,2.0,"The climbing off the ground is a little spicy. If you have a stick clip you won't even notice, but if you are doing ""lead all the way"", you will certainly ponder the moves a bit more. Not hard for the grade, but it does require a commitment to working with what you have available. This wall had some loose rock on the start in the past, but is pretty clean now. The climb starts under the bird's beak, climbing around the tip of the beak.  Pitch 1 (5.10c) Climb up and right through the tip of the bird's beak. (60ft)  Pitch 2 (5.10d) Angle up and right gaining a steep corner that deposits you on a tricky slab that keeps you at to a ledge with chains. (95 ft)  Descent: Two single or one double rope rappel.","{110962188: 2, 106805065: 2}"
Shotgun Wedding,119250216,Sport,119250179,5.10d,250,3,2.6,5.0,"Pitch 1: (5.8)  Start at base of left facing chimney. The chimney is fairly crumbly. It is often used to gain the face below the first bolt. Climb face up bolt line to anchors below bulge. (60ft)  Pitch 2: (5.10d) This pitch is excellent. The rock is overhanging with large holds. Doesn't feel like 10d, but that is what Central Montana Rock puts it at. It is very airy. Ends with slab. (95ft)  Pitch 3: (5.10d) ""Grip through steep crimps to easier slabs and gain a unique chert-filled face"". Ends at right facing corner. (95ft)","{110962188: 3, 108854499: 3, 105801073: 3, 112203354: 2, 106805065: 2}"
Super 8,119250749,Sport,119250179,5.10b,0,4,2.8,5.0,"Pitch 1: (5.8) Start on the right side of chimney and move up the pillar to a comfortable belay. Pitch 2: (5.10b) Move right a couple feet on the ledge, make a tricky move off the ledge with high feet and sloped holds (trust is key). Continue up along the face through crimps and bulges. Pitch 3: (5.10b) More of the same, a little steeper.   Pitch 4: (need beta here)","{112203354: 4, 108854499: 3, 105801073: 3, 110962188: 2, 106805065: 2}"
Beer Run,119055719,Sport,119055239,5.10a,85,1,2.0,1.0,Consistent climbing up a steep slab on chert.,{110962188: 2}
Blow Hard,119055573,Sport,119055239,5.10d,90,1,3.0,1.0,"Slab with chert, fossils and smooth gaps.",{110962188: 3}
Fly Boys,119055608,Sport,119055239,5.9+,85,1,2.5,2.0,Pretty sustained and a little tricky. Lots of holds but the big ones tend to hide. Not too bad though.,"{112295522: 3, 110962188: 2}"
G-Force,119055296,Sport,119055239,5.10b,90,1,1.0,1.0,Shares anchors with Pull or Eject.,{110962188: 1}
Jaws of Life,119055693,Sport,119055239,5.11a,85,1,2.0,1.0,Crux is on the thin steep face climbing after clearing the top of the leaning block. It is not sustained. ,{110962188: 2}
Pissing In the Wind,119055632,Sport,119055239,5.6,90,1,2.5,2.0,Long easy route. First bolt is above a narrow ledge.,"{200179319: 3, 110962188: 2}"
Pull or Eject,119055358,Sport,119055239,5.10a,90,1,2.0,1.0,Good chert climbing. Some fun blank spots to negotiate.,{110962188: 2}
Rainy Days and Bad Belay,119055811,Sport,119055239,5.11c,95,1,3.0,1.0,"Move straight up the face, through knobby holds. The trick is figuring out how to use them. The crux is past the steep section with a barn door move if you aren't careful with body position. The route continues with small holds easing toward the top. If you are strong at this grade the crux will only get you if you rush through. ",{110962188: 3}
Surface to Air,119055253,Sport,119055239,5.8,45,1,1.0,1.0,"Short route 4 bolts to chains, farthest right in this area.",{110962188: 1}
Top Gun,119055599,Sport,119055239,5.9,90,1,2.0,1.0,"Chert of all sizes. Pretty sustained, but holds everywhere.",{110962188: 2}
Trad Climbers Beware,119055763,Sport,119055239,5.12a,90,1,1.0,1.0,Move up though some roofs by skirting them and moving left. Face looks largely blank.,{110962188: 1}
The Venturi Effect,119055460,Sport,119055239,5.12a,540,6,2.0,1.0,"Six pitches of sustained climbing on good rock. P1: 5.10+ Chert edges. Fun climbing. 90 ft, 11 bolts. P2: 5.11b Steep and pumpy through roof to hanging belay.  90 ft, 11 bolts. P3: 5.10b Chert covered slab. 85ft, 11 bolts. P4: 5.12a Long and strenuous. Hanging belay above roof. 110 ft, 14 bolts. P5: 5.11c/d Technical slab climbing with hidden holds. Two bolted variations around hollow flakes: harder direct finish up the middle of the prow, or go right around on 5.10 terrain. 85 ft, 10 bolts. P6: 5.10a Slab finish. 80ft, 10 bolts.",{110962188: 2}
Braces,118988257,Sport,118987871,5.10d,80,1,1.0,1.0,"Does anyone actually like braces?? Goes through a small bulge with less than appealing climbing. But hey, its another 5.10 on a wall of .11s.",{112295522: 1}
Dirty Dentist,118987932,Sport,118987871,5.10a,85,2,1.5,2.0,A warm up. Second pitch is better (5.10d).,"{112295522: 2, 106693270: 1}"
Drill'em Fill'em,118988077,Sport,118987871,5.11b,90,2,3.3,4.0,Climb up the flake! Cool start into a tricky sequence coming out and around the roof. Pitch 2 is also .11b.,"{108854499: 4, 112295522: 3, 106693270: 3, 105801073: 3}"
Gap Tooth Girl,118988236,Sport,118987871,5.11a,103,2,2.0,1.0,Pitch 2 is .12a that finishes on overhanging jugs. Fun sequential climbing! A 60m rope might stretch with a few feet of down climbing. Or just use a 70m.,{112295522: 2}
Laughing Gas,118988327,Sport,118987871,5.11a,80,1,3.0,1.0,"Surpass the roof bulges on good holds, once you find them. Very fun and pumpy with decent rests. Anchors shared with Braces are up and left after the last roof.  .11a Extension! After the last roof continue up and right on balancy holds. 125' A 70m rope will still have you downclimbing the easy first 10' of the route.",{112295522: 3}
Morphine,118988036,Sport,118987871,5.11d,85,1,1.0,1.0,"Start on pretty, smooth looking chert then it gets steep!",{112295522: 1}
Root Canal,118988187,Sport,118987871,5.11a,90,1,2.7,3.0,"Clean face to easy loose ledge, then through teeth. Fun!","{112295522: 3, 108854499: 3, 105801073: 2}"
Bodhisattva,119250521,Sport,119250474,5.12+,510,5,3.5,2.0,"A fantastic route full of corner and broken slabs. The last pitch is not for the faint of heart. Not only is the last pitch 5.12 slab, it is reportedly a little run out and possibly sand bagged! Most people (myself included) only climb the first 4 pitches.  Pitch 1 (5.9): Start in broken slab. Climb to a steep corner that flows to a ledge. (90ft)  Pitch 2 (5.10): Continue on up the steep prow. (90ft)  Pitch 3 (5.10): Follow bolts up face. ""Clear your mind here and your feet will follow to a large grassy ledge."" (90ft)  Pitch 4 (5.10+): Lead up right on delicate face climbing on immaculate slab. Belay below the roof.  Pitch 5 (5.12+): The hard part. ""Gasp and pad up shield to slab --beware of run-out!"" (100ft)  Descent: Double rope rappels required.","{110962188: 4, 106805065: 3}"
Yuan Chi,119250543,Sport,119250474,5.10d,70,1,4.0,2.0,"One pitch wonder on a sea of limestone. Near the back of the alcove, locate the ""spike"" sticking out from the wall about 30ft up. The route goes around and over the spike for some memorable moves. The spike looks like a catastrophe waiting to happen, but it is solid...so far. (Can be an alternate start to Zen and the Art of Bolting.) (70ft, 10 bolts)","{110962188: 4, 110840631: 4}"
Zen and the Art of Bolting,119250709,Sport,119250474,5.12a,450,6,3.5,2.0,"From Central MT Rock: ""A superb route known for its perma-grin jug hauling, perfect crimping and comfortable belays. Most people skip the uber hard last pitch.""  Pitch 1: (5.6) Move on up the easy slab to a ledge. (60ft, 7 bolts) Pitch 2: (5.11b) Excellent, steep and pumpy! Route arches to the left through a bulge. (80ft, 14 bolts) Pitch 3: (5.10b) Step right on ledge to second anchor. This allows you to access this excellent, but strenuous pitch, which ends on another ledge. (50 ft, 7 bolts) Pitch 4:(5.10a) Up the overhanging pillar loaded with incut ladder rung jugs to a grassy ledge big enough for a tent. (95ft, 13 bolts) Pitch 5: (5.10a) Chimney, stem and face climb on a leaning pillar. (65ft, bolts) Pitch 6: (5.11d/12a) Scream up the boulderly, crimpy line on good rock. (100ft, 14 bolts)  Descent: Three double rope rappels.","{110840631: 4, 110962188: 3}"
