name,id,parent_id,elevation,latitude,longitude
Nevada,105708961,,"6,837",39.028, -116.631
Eastern Nevada,113755164,105708961.0,"6,459",39.252, -114.873
Angel Lake,110636551,113755164.0,"7,555",41.034, -115.068
Trout Slayer Buttress,110636601,110636551.0,"8,510",41.028, -115.088
Cleve Creek Crag,117595989,113755164.0,"6,333",39.213, -114.546
Cleve Creek East,117596003,117595989.0,"6,322",39.213, -114.546
Cowboy,118130390,113755164.0,"6,067",40.901, -115.822
Harrison Pass,108099565,113755164.0,"7,250",40.326, -115.511
The Clam,108099573,108099565.0,"7,409",40.34, -115.565
Condor Dome,108245811,108099565.0,"7,604",40.301, -115.507
Durable Dome,108207145,108099565.0,"7,680",40.3, -115.504
The Grunion,108207249,108099565.0,"7,519",40.304, -115.503
The Housing Section,108231030,108099565.0,"6,734",40.317, -115.487
Main Area,108212583,108099565.0,"7,479",40.303, -115.508
The Trailer Park,108102712,108099565.0,"6,769",40.314, -115.492
The Turd,108099610,108099565.0,"6,856",40.336, -115.567
Hercules Gap,106520004,113755164.0,"6,300",39.351, -114.892
Lamoille Canyon,105790926,113755164.0,"7,502",40.653, -115.412
2nd Buttress,116596392,105790926.0,"8,016",40.661, -115.432
Amphitheater Wall,110539652,105790926.0,,40.693, -115.476
Barbarian Cliff,110539626,105790926.0,,40.693, -115.476
Dead Snag (aka Great White Wall),110539502,105790926.0,"7,680",40.658, -115.422
Flintstonehenge (aka Sport Rocks wall),110539493,105790926.0,,40.693, -115.476
Gecko Wall,110562259,105790926.0,,40.693, -115.476
Goliath's Tears,116596303,105790926.0,"9,191",40.661, -115.407
Shady Rock,119104804,105790926.0,"7,828",40.65, -115.395
Sport Wall,110562223,105790926.0,,40.693, -115.476
Zip World (aka Boulder Garden),110539610,105790926.0,,40.693, -115.476
Thousand Islands,117352109,113755164.0,"6,232",40.3, -116.029
Boris,117382197,117352109.0,"6,074",40.301, -116.035
Colossus,117364697,117352109.0,"6,536",40.285, -116.018
Natasha,117352400,117352109.0,"6,221",40.299, -116.031
South Creekside,117352892,117352109.0,"6,344",40.299, -116.029
South Hill,117536953,117352109.0,"6,693",40.282, -116.02
Wendover Boulders,108129332,113755164.0,"5,079",40.512, -114.155
