name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Trout Slayer,110636608,Trad,110636601,5.6,200,1,0.0,,This route looked much steeper from the parking lot. Upon closer inspection we dropped the rack and soloed it in approach shoes.,
El Cinco Norte,118130477,Sport,118130390,5.9-,90,1,2.0,1.0,"We are going to say this a 5.9- that is and easy find from downtown Elko. Nice Grips and some good foot action to climb. Be careful with the jaggedness of the rock, it can be unforgiving. Head straight up the center of the crack and then veer right to hit the top. ",{200649107: 2}
Hot Dog in a Hallway,108102564,Trad,108099573,5.6,100,2,1.0,1.0,"This route is on the west side of the formation and climbs the easy slab cracks and chimney to a big ledge with one bolt backed up by small cams for anchor for pitch one.  The second pitch is ""the hallway"" and is a short chimney/tunnel to the top of the formation rap anchors are in one of the large bath tub like features to the west",{107745015: 1}
Dragon Scales,108245815,Trad,108245811,5.8+,80,1,2.5,2.0,The route follows a dike up the ridge past 2 roofs and finishes on a slab.  Can rap route with 60m rope or go off the east side anchors and TR Bat Crack.,"{107745015: 3, 112139698: 2}"
Trust it!,108207164,Trad,108207145,5.8-,100,1,4.0,1.0,"Lieback crux exiting the green offwidth undercling. Bomber holds and placements, some lichen and one bush down low.",{108206617: 4}
Huecos and Hands,108207253,Trad,108207249,5.10b,85,1,2.0,1.0,"Crux at the mungy slab when the huecos become overhanging and the crack disappears. Unbelievable features make most of the climb a ladder.  Sadly, it's very crumbly.  Terrifying topout on lead.",{108206617: 2}
Wesley's Go-Te,108231041,Trad,108231030,5.7,90,1,1.0,2.0,good pro fun easy climbing,"{108171560: 1, 112139698: 1}"
Catbox,108207205,Trad,108102712,5.10b,85,1,2.0,1.0,Crux near the final moves out left.  Mungy face for feet and medium rock quality.  Not continuous but a nice traverse at the end.,{108206617: 2}
The Trailer's a Rock'n,108230957,Trad,108102712,5.7,250,2,0.0,1.0,start on the slab on the east side using the thin crack. watch for the loose flake and crumbly feet. then head left of the big ramp. Belay near the bottom of the chimney especially with a 60m rope. We used the tree at the top to belay from the top.,{108171560: 0}
Unknown crack-chimney,109216135,Trad,108102712,5.9,110,1,0.0,,No text - use the 'Improve This Page' link to add something useful!,
Slabtacular,108102602,Sport,108099610,5.7+,40,1,2.0,2.0,this is a great intro slab climb with lots of friction,"{107745015: 2, 106753035: 2}"
Ely Ten,106527147,Trad,106520004,5.4,45,1,0.0,,Climb the corner on the right side of a slab and go through the chock stone cave.  Belay at the tree.,
Gasoline Body Fire,106520009,Trad,106520004,5.6,60,1,2.0,2.0,Get some bodies douse in gasoline and ignite.  Middle of the wall directly up from the parking area.  The route is very fresh and quite sharp wear a helmet. Watch out for coyotes.,"{200054495: 2, 200378192: 2}"
Moonjuice,119343286,Boulder,108129339,V4,15,1,2.0,1.0,"Start on bomber left hand side pull, right hand on another head high side pull. Left hand to a high notch (could use two fingers or jam all fingers into it for a more solid hold). Right hand higher side pull, left hand to a slot, work the ""popcorn"" like hold (moonjuice?) near the top and mantle finish. FA was done on a full moon. Very sharp holds and fun techy face moves. There is a right hand pinch or a small right crimp that could be used at the bottom for full value and will likely up the grade a notch or two. ",{200458748: 2}
NE Face,108129375,Boulder,108129339,V1,15,1,2.3,4.0,Rather high - this starts on the pocket on the face that has a weed growing out of it. Reach up to the flake/arch above you and mantle onto that. Then move left and mantle again to get to the top,"{106983776: 4, 107207677: 2, 200639801: 2, 107274258: 1}"
South Arete,108129367,Boulder,108129339,V0,12,1,1.0,1.0,Climb the Southern Arete of the First boulder. Stand Start,{107207677: 1}
West Face - Downclimb,108129348,Boulder,108129339,V0,12,1,2.0,1.0,Start low,{107207677: 2}
