name,id,parent_id,elevation,latitude,longitude
New Hampshire,105872225,,338,43.58, -71.719
NH Ice and Mixed,106099658,105872225.0,644,44.037, -71.119
Frankenstein Ice,105890751,106099658.0,"1,709",44.158, -71.369
Arethusa Falls,106637256,105890751.0,"2,052",44.147, -71.392
South face,109966304,105890751.0,"1,588",44.154, -71.368
Amphitheater Area,106099617,105890751.0,"1,420",44.155, -71.367
Trestle Cut/Trestle Slab,106110131,105890751.0,"1,401",44.157, -71.366
Lost In the Forest Area,107468363,105890751.0,"1,618",44.158, -71.369
Standard Route Area,105890754,105890751.0,"1,558",44.16, -71.369
Dropline Area,106099869,105890751.0,"1,573",44.16, -71.369
Hanging Gardens,106109442,105890751.0,"1,575",44.161, -71.37
Mount Washington,105890652,106099658.0,"5,387",44.261, -71.309
Ammonoosuc Ravine / West Side,117376198,105890652.0,"3,634",44.268, -71.324
Huntington Ravine - Winter Ice,105890655,105890652.0,"4,403",44.273, -71.287
Tuckerman Ravine,117294515,105890652.0,"4,446",44.262, -71.297
North Conway Area,114088841,106099658.0,528,44.054, -71.128
Cathedral Ledge Ice Climbs,106099668,114088841.0,891,44.063, -71.166
Humphrey's Ledge,114070830,114088841.0,689,44.071, -71.171
Trollville (Duckshead),106648135,114088841.0,,44.14, -71.194
Whitehorse Ice Climbs,112413233,114088841.0,703,44.055, -71.166
South Buttress Ice Climbs,112413248,112413233.0,931,44.052, -71.168
Mid Slab Ice Climbs,112413253,112413233.0,717,44.054, -71.166
Slab Ice Climbs,112413257,112413233.0,683,44.055, -71.166
Guide's Wall Ice Climbs,112413269,112413233.0,871,44.056, -71.168
Rumney Ice Climbs,105914513,106099658.0,588,43.802, -71.834
5.8 Crag,108009713,105914513.0,,43.802, -71.834
Apocalypse Wall,105914543,105914513.0,,43.802, -71.834
Beyond Infinity Wall,108017688,105914513.0,,43.802, -71.834
Crow's Nest,118599324,105914513.0,588,43.802, -71.834
G Spot,107954299,105914513.0,,43.802, -71.834
Hendrix & Lee (Upper Darth Vader),108016287,105914513.0,,43.802, -71.834
Hinterlands,105914523,105914513.0,,43.802, -71.834
Infinity Wall,108017672,105914513.0,,43.802, -71.834
The Jobsite,106671718,105914513.0,671,43.801, -71.848
Main Cliff Left--Venus Wall,105914878,105914513.0,,43.802, -71.834
Main Cliff Right,106105321,105914513.0,,43.802, -71.834
Orange Crush Crag,106498158,105914513.0,,43.802, -71.834
Parking Lot Wall,105914933,105914513.0,605,43.802, -71.835
Polar Caves (CLOSED),107458519,105914513.0,628,43.78, -71.785
Summit Ledges (Utopia area),107954389,105914513.0,,43.802, -71.834
Triple Corners,106119483,105914513.0,,43.802, -71.834
Waimea,118599069,105914513.0,588,43.802, -71.834
Wonderland,107959025,105914513.0,,43.802, -71.834
- Crawford Notch,114088869,106099658.0,"1,390",44.192, -71.405
