name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Airation,105920901.0,Trad,105920712.0,5.11a,0.0,2.0,3.7,154.0,"Airation is a perfect straightforward finger crack. The crux is dealing with the pain of the sharp fingerlocks. This is a great example of 5.11a fingers. Footwork is key as there are many small feet on the face.     Pitch 1: 5.11a follow the picture-perfect, finger crack to a tree with a fixed sling and rings. Most people only do the first pitch.    Pitch 2: Follow the lower angled rock to the top.","{106158262: 4, 107246852: 4, 105906559: 4, 105839151: 4, 105811636: 4, 106460502: 4, 107056968: 4, 12227: 4, 105961696: 4, 14212: 4, 106271347: 4, 106229076: 4, 105945019: 4, 106235451: 4, 106074233: 4, 106529640: 4, 105801390: 4, 107380441: 4, 106189953: 4, 106726952: 4, 105938601: 4, 106670299: 4, 106399472: 4, 106935843: 4, 105941791: 4, 106389004: 4, 107141348: 4, 106751248: 4, 106577584: 4, 106885302: 4, 106957118: 4, 107217576: 4, 107078738: 4, 106579529: 4, 106271741: 4, 106405973: 4, 106720416: 4, 107323239: 4, 107183979: 4, 106838555: 4, 107744798: 4, 108931688: 4, 106538248: 4, 106647777: 4, 107696530: 4, 107226876: 4, 109107529: 4, 107827568: 4, 107238223: 4, 108746130: 4, 107846658: 4, 108179333: 4, 108181716: 4, 110735180: 4, 109448507: 4, 106425299: 4, 110739544: 4, 105798365: 4, 108188613: 4, 108615584: 4, 109479296: 4, 105898385: 4, 107929356: 4, 108032974: 4, 109383300: 4, 112128100: 4, 110510769: 4, 106936938: 4, 107633879: 4, 112207022: 4, 107209622: 4, 111066391: 4, 112523297: 4, 111733036: 4, 110937405: 4, 110164339: 4, 108871640: 4, 111894693: 4, 13115: 4, 112134112: 4, 200067404: 4, 112387855: 4, 107764394: 4, 106210225: 4, 200154262: 4, 200105825: 4, 105790750: 4, 111762200: 4, 107169450: 4, 200155469: 4, 108943993: 4, 200207343: 4, 200189661: 4, 106646308: 4, 108551364: 4, 112166649: 4, 107552617: 4, 109869056: 4, 108692265: 4, 111674806: 4, 200320317: 4, 200154821: 4, 111882861: 4, 112066146: 4, 200140229: 4, 200063563: 4, 109130361: 4, 13364: 4, 111030282: 4, 200711420: 4, 200204185: 4, 112846784: 4, 106215010: 4, 105927660: 3, 10610: 3, 106168303: 3, 106213030: 3, 106441684: 3, 105895298: 3, 106426493: 3, 106011053: 3, 106158148: 3, 106125724: 3, 106360234: 3, 106775653: 3, 110046547: 3, 106146571: 3, 108082584: 3, 111844655: 3, 108050314: 3, 110152422: 3, 109490709: 3, 106417094: 3, 109638995: 3, 109411750: 3, 109884427: 3, 111841723: 3, 107569651: 3, 106793247: 3, 200060911: 3, 109393254: 3, 107453284: 3, 105084340: 3, 108916902: 3, 110133075: 3, 112507024: 3, 111278312: 3, 108301940: 3, 106191055: 3, 106342472: 3, 106967283: 3, 106054402: 2}"
Autoclave,106392610.0,Trad,105920712.0,5.12,100.0,1.0,3.0,1.0,"The most demanding lead I have done. Even after top roping and a specific slab training program. VERY serious, but you won't die so no X. Really good rock and easily tr'd, which I strongly suggest. We toproped this a LOT before the ""headpoint"".",{106168303: 3}
Camber,105920725.0,Trad,105920712.0,5.11b,0.0,2.0,3.8,48.0,"This is one of my favorite climbs I've ever done. So much exposure, an intricate sequence, and good protection (at the crux, anyway) make it practically perfect in every way. Though 5.11b may seem a low grade by modern standards, you will find that you will work for this one both mentally and physically.    Pitch 1: From the anchor at the top of the Saigon's, head up and left past a bolt, run it out a little farther left to another bolt clip this with a long runner, and run it out up and right to gain more bolts that are closer together (the runouts at the base are what keeps this route from being a sport climb). It may be 5.8R in parts.    An interesting sub-crux will be tricky though finding the crimps and high stepping will get you through. The corner above to the mantel at the anchor is the true crux, and it might take a while to work it out. The falls are safe though a bit airy.    Pitch 2: This pitch is commonly known as Reverse Camber. Up the slab (5.10b) past drilled pins, then break left in to a crack that leads to a notch to finish. Build a belay at the top in a hand-size crack.","{111030282: 4, 107846658: 4, 106178530: 4, 106775653: 4, 10168: 4, 107377680: 4, 106720416: 4, 106579529: 4, 106146571: 4, 107056968: 4, 13364: 4, 107852661: 4, 112042073: 4, 200189661: 4, 105084340: 4, 107209622: 4, 110024218: 4, 109383300: 4, 106741672: 4, 106577584: 4, 106426493: 4, 10610: 4, 12227: 4, 14212: 4, 107380441: 4, 105906559: 4, 106360234: 4, 105945019: 4, 106229076: 4, 107226876: 4, 106389004: 4, 105941791: 4, 106670299: 4, 106441684: 4, 106011053: 4, 106460502: 4, 106191055: 3, 107552617: 3, 110762698: 3, 109884427: 3, 106168303: 3, 106213030: 3, 105798365: 3, 107141348: 3, 106158148: 3, 106646308: 3, 111841723: 2}"
Camber View,107826428.0,Trad,105920712.0,5.12a,100.0,1.0,4.0,2.0,I'm giving this one a name because the new guide calls it a classic w/o f/a information.    Brilliant climbing,"{106168303: 4, 106726952: 4}"
Clean Sweep,106182149.0,Trad,105920712.0,5.11,110.0,1.0,2.8,4.0,A real classic that now is quite dirty.Best 5.11 slab on the cliff ?    From a two bolt belay move up through an overlap (no pro) to two bolts then up to a third bolt (nice stance) skim left to minimal stance and #4 crux to a small ledge with one final hard move.    Classic hard slab climbing with nice whip potential. FIVE days including 3 for cleaning with the wire broom.,"{106168303: 4, 106481679: 4, 106726952: 2, 110046547: 1}"
Creation,106698940.0,Trad,105920712.0,5.12,225.0,2.0,2.0,1.0,"Here's one that doesn't get done. The crux is classic Cathedral steep facey/slab with some fixed junk for gear. Excellent situation. Pitch one if pretty serious 10+ RR. Basically the route would be really good with a fix-up. Originally started by Mr Dunn but not finished.    With demise of the original Camber tree, the direct finish on this one would be the way to go. I have tr'd this but not bolted it (1-2 bolts).",{106168303: 2}
Echoes,117721579.0,Trad,105920712.0,5.11+,100.0,1.0,4.0,1.0,"From a 2 bolt belay, Move out right and up the steep face.  Pull over onto the slab.  Take a breather and get ready.  Straight up the slab past 3 bolts.  After the the 4th bolt step way out left and up to the 5th bolt.  One more hard move or two and you join the finish of clean sweep.  Finish straight up Clean Sweep.  There are a few pretty heady runouts, for the most part the crux is well protected.  I would suggest toproping this first or at least take a look at what you're getting into.  Awesome bit of hard slab climbing.",{106481679: 4}
Endless Summer,114334728.0,Trad,105920712.0,5.12b,180.0,1.0,2.0,1.0,"Start up Tourist Treat, but instead of moving left follow the bolt line straight up through the overhanging wall.  After the crux there is a bit of a runout (5.9R) to join with the Tourist Treat crack.  The rest of the route is very well protected.  This route was cleaned and re-bolted Spring 2018.  ",{}
Goofer's Delight,119571589.0,Trad,105920712.0,5.10a,140.0,2.0,4.0,1.0,The second pitch of this was cleaned in 2016 and offers some of the best 5.5-5.6 climbing on the cliff. You must rap in unless you lead the first pitch which is burly 5.10. Detailed topo and directions here: northeastalpinestart.com/20…,{107897881: 4}
Heather,106174421.0,Trad,105920712.0,5.12b,100.0,1.0,3.8,12.0,A fierce line from ages ago. I seem to remember Rick spending a week on the FA. The crack is hard and sustained with a face climbing boulder crux at half height. Move left to ledge then back right over a bulge to finish (pin).,"{106460502: 4, 200189661: 4, 200207343: 4, 109884427: 4, 106229076: 4, 106116543: 4, 10610: 4, 106168303: 4, 112846784: 4, 14212: 3, 111841723: 3}"
