name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
The Aggro Crag,112141026.0,Boulder,110488679.0,V0,15.0,1.0,1.0,1.0,"Sit start at the left of the craggy side of Tall Wall, left hand juggy side pull, right hand crimp, move to the big pointy triangle block and straight up.",{110488441: 1}
Always Two There Are,112159012.0,Boulder,110488679.0,V5,12.0,1.0,3.8,6.0,"The incredible, close to classic compression line next to Darth Maul on the big eggy boulder up the stream bed. Start sitting on the rock under the black sidepull crimp, squeezing the other side of the block with the left. Throw the right up for a sloper, shimmy up to the duck bill hold and throw for the top out holds. Pretty bad feet throughout and very steep, super fun!","{200034208: 4, 110488441: 4, 200655835: 4, 113168176: 4, 111710269: 4, 200394785: 3}"
Bath and a Half,114208890.0,Boulder,110488679.0,V0,8.0,1.0,2.0,1.0,Start under the little roof with a bunch of holds in reach. Jug crimp for the right and overhead sloper jug for the left. Gain matched jug to the left. Hoist the bulge and gain jug ledge to topout! Super fun!,{110488441: 2}
The Battle of Waterloo,111802246.0,Boulder,110488679.0,V0+,12.0,1.0,2.0,1.0,"Update. A large thorn bush is now growing over the topout.   This boulder is right on Waterloo Rd but between mile markers 4 and 5. It's easily visible from the road and is only 30 yards or so from a convenient pull off. Just hop out and enjoy this one-off, very fun problem. And its companions farther up the hill...  Start standing, left hand on a big jug and left foot on the orange triangle. The shelf is off except this orange triangle. Move right to a matched crimp and up to a slopey jug and more fair holds. Top out to the right of the live bushes.",{110488441: 2}
Big Fat Pauly,112184030.0,Boulder,110488679.0,V1,0.0,1.0,2.0,1.0,"Start sitting in the juggy features, move right, gain the Crescent hold and use the off width chimney to top out.",{110488441: 2}
Billy Joel,119021725.0,Boulder,110488679.0,V3+,15.0,1.0,3.0,1.0,"See picture for Route Line. Sit start to the left with jugs. Big move up and right to two good edges. Traverse right using little pockets that are head height, one is about 1 foot above the other. Continue to move right to a nice side pull and jugs, then top out.  I’m a new climber so grade may be off. Found the route which has clearly been done before but just wanted to add it to this site.",{200794714: 3}
Brake Check,111971807.0,Boulder,110488679.0,V1,0.0,1.0,2.7,3.0,"On Cracked Boulder's vertical face, directly above Cross Stitch. Start standing with left hand in a big undercling and right on a slopey sidepull. Up to the big rail and commit to an interesting topout.","{200703409: 3, 200469646: 3, 110488441: 2}"
Cheddar Stacks,111733138.0,Boulder,110488679.0,V1,0.0,1.0,1.0,1.0,Big sharp triangular shelf is the start. Straight up on nice holds.,{110488441: 1}
Cirrus,112184733.0,Boulder,110488679.0,V0,10.0,1.0,0.0,1.0,"To the right of Cumulus, start on jugs and move up over the bulge, trending slightly right for the top out.",{110488441: 0}
Cognitive Dissonance,112442545.0,Boulder,110488679.0,V3,8.0,1.0,1.0,1.0,"Next to the Pea is this fun little problem that starts standing on the pointy jug and a choice of holds, then a move or two to the right and over the slopey bulge.",{110488441: 1}
Count Dooku,117508713.0,Boulder,110488679.0,V5,15.0,1.0,3.5,2.0,"Start as Always Two but turn right around the bulge with funky foot beta, matching the lip slope crimps and bumping up to juggy crack.","{110488441: 4, 111710269: 3}"
Crack Epidemic,113728837.0,Boulder,110488679.0,V4,10.0,1.0,2.7,6.0,hidden behind cracked boulder is a rock inside the crevice with extremely chossy holds that could break. Be prepared to up the grade rating every time you crack a hold.,"{112175488: 3, 200174884: 3, 108106981: 3, 111356997: 3, 110488441: 2, 113168176: 2}"
