name,id,parent_id,elevation,latitude,longitude
New Mexico,105708964,,"6,073",34.561, -105.952
Albuquerque Area,106299665,105708964.0,"5,022",35.106, -106.63
Big Block,106029437,106299665.0,"6,927",35.031, -106.362
Big Block,108358529,106029437.0,"6,984",35.031, -106.362
Block Wall,106040612,106029437.0,"6,981",35.031, -106.362
Bouldering Cave,106040587,106029437.0,,35.031, -106.362
Boot Hill,111338647,106299665.0,"7,625",35.243, -106.411
Carnuel Crag,113929222,106299665.0,"6,060",35.065, -106.469
Foothills Bouldering,106359124,106299665.0,"6,216",35.098, -106.48
Casa Bonita,107490752,106359124.0,,35.098, -106.48
The Ozzy Boulder,107490763,107490752.0,,35.098, -106.48
"Fat City, Indian School",106374457,106359124.0,"6,170",35.099, -106.48
ATP crack,117406879,106374457.0,"6,255",35.098, -106.477
Black Ball Boulder,118044463,106374457.0,"6,179",35.103, -106.483
Boulder A,107908744,106374457.0,10,35.098, -106.477
Boulder B,107908964,106374457.0,,35.098, -106.476
Boulder C,106374468,106374457.0,"6,300",35.097, -106.477
"Boulder D, Crystal Face",106374480,106374457.0,"6,308",35.097, -106.477
Cactus Chimney Boulders,117897261,106374457.0,"5,974",35.109, -106.489
Center Wall,106374577,106374457.0,"6,314",35.098, -106.477
Picnic Slab,117997338,106374457.0,"6,035",35.105, -106.486
South Trail Side Boulders,111830129,106374457.0,"6,208",35.099, -106.48
The Gorilla,111830306,111830129.0,"6,213",35.098, -106.48
The Turtle,111830145,111830129.0,"6,206",35.099, -106.48
Upper Fat City Drainage (a.k.a. Embudo Canyon),106568005,106374457.0,"6,660",35.096, -106.462
Gaza Strip,111500948,106359124.0,"5,972",35.046, -106.482
Coyote Den,118325225,111500948.0,"6,026",35.046, -106.481
Dean Martin Boulder,111501070,111500948.0,"6,203",35.044, -106.474
That One,111730523,111500948.0,"6,123",35.047, -106.476
Hidden Valley,107818765,106359124.0,"6,338",35.124, -106.483
Juan Tabo PG,106359133,106359124.0,"6,902",35.22, -106.484
Rock House Boulder,106571559,106359133.0,,35.22, -106.484
Rock House Mantle Boulder,106359147,106359133.0,"6,928",35.22, -106.483
Lower La Cueva Canyon,106365876,106359124.0,"6,543",35.205, -106.487
First area,106571542,106365876.0,"6,500",35.206, -106.486
Meadow,106571574,106365876.0,"7,000",35.206, -106.483
Ted's Head,120013174,106365876.0,"6,614",35.206, -106.485
Freedom boulder,120014016,120013174.0,"6,653",35.206, -106.484
Ted Head Boulder,120013183,120013174.0,"6,611",35.206, -106.485
Manitoba/Montgomery Trailhead,106370825,106359124.0,"6,238",35.136, -106.482
North Ridge Steps,106601438,106370825.0,"6,297",35.138, -106.481
First Step,106601448,106601438.0,"6,364",35.138, -106.481
Boulder A,106601463,106601448.0,,35.139, -106.48
Boulder B,106630661,106601448.0,"6,312",35.138, -106.481
Happy Fun Time Boulder,108975997,106601438.0,"6,287",35.138, -106.481
Second Step,106601496,106601438.0,,35.138, -106.481
Mantle Boulder,106601500,106601496.0,,35.138, -106.481
The Particularly Nice One,106370838,106370825.0,"6,343",35.137, -106.479
Warm up boulders,108105160,106370825.0,"6,231",35.138, -106.483
Boulder 1,108105172,108105160.0,"6,223",35.138, -106.483
Boulder 2,108105225,108105160.0,,35.138, -106.483
Boulder 3,108105251,108105160.0,,35.138, -106.483
Boulder 4,114068091,108105160.0,"6,231",35.138, -106.483
Other warm up,108105274,108105160.0,"6,265",35.137, -106.481
Simms Park (Elena Gallegos Picnic Area),106568045,106359124.0,"6,500",35.162, -106.47
Main Area,106568070,106568045.0,"6,500",35.163, -106.456
Simms Park South Drainage,106780262,106568045.0,,35.159, -106.457
Upper Simms,106568115,106568045.0,"7,000",35.163, -106.453
South Park,107059382,106359124.0,,35.098, -106.48
Super Rock,111355462,106359124.0,"5,949",35.066, -106.479
Bravo,111564842,111355462.0,"5,862",35.065, -106.479
Boulder 10/11,111573070,111564842.0,"5,963",35.066, -106.479
Boulder 16,111568557,111564842.0,"5,939",35.066, -106.479
Boulder 19,111573044,111564842.0,"5,944",35.066, -106.48
Boulder 3,111572874,111564842.0,"5,881",35.066, -106.479
Boulder 6,111572906,111564842.0,"5,879",35.066, -106.479
Boulder 8,111572927,111564842.0,"5,902",35.066, -106.479
Boulder 9,111572940,111564842.0,"5,918",35.066, -106.479
The Sandbag Boulder,111565011,111564842.0,"5,879",35.066, -106.479
Kilo,111565182,111355462.0,"5,888",35.066, -106.477
Ordnance Boulder,118802538,111355462.0,"5,891",35.067, -106.48
Zulu,111564861,111355462.0,"5,860",35.065, -106.477
Boulder  7 (AKA The Hulk Boulder),111565040,111564861.0,"5,849",35.065, -106.477
Three Gun (Tres Pistolas),106388177,106359124.0,"6,324",35.076, -106.444
Crystal Ship and Glass House,106388206,106388177.0,"6,367",35.076, -106.441
Earth Ship,107289114,106388177.0,,35.076, -106.444
First Group (The OW Boulder),106388200,106388177.0,"6,385",35.077, -106.441
Hawkwatch Trail,107388398,106388177.0,,35.076, -106.444
Rio Bravo boulder,107388406,107388398.0,,35.076, -106.444
The main area,108398604,106388177.0,"7,331",36.005, -105.122
Parking Lot Boulders,106388185,106388177.0,"6,353",35.076, -106.444
Screaming Jihad,106867422,106388177.0,,35.076, -106.444
Trail Side Area  1,106738817,106388177.0,"6,488",35.081, -106.444
The Westside,107135330,106388177.0,,35.076, -106.444
The Tram,106365311,106359124.0,"6,520",35.192, -106.479
U-Mound,105789950,106359124.0,"6,069",35.084, -106.481
Backside of Upper Mound/ Wounded Knee area (Northern cluster of boulders),106364817,105789950.0,,35.084, -106.481
Brett and Jill boulders,106364653,105789950.0,,35.083, -106.481
Lower Mound (western cluster of boulders),106364957,105789950.0,,35.084, -106.482
Small Slab Boulder,117820296,105789950.0,"6,098",35.083, -106.481
Switchback Boulder,116563890,105789950.0,"6,196",35.078, -106.48
Upper Mound (main upper cluster of boulders),106364736,105789950.0,,35.083, -106.481
Upper Mound - the corridor,106364805,105789950.0,,35.083, -106.481
Warmup Boulders (AKA Brett & Jill boulders) South Side,106364560,105789950.0,,35.083, -106.481
Little Beaver Town,118795986,106299665.0,"5,614",35.06, -106.488
Lower Juan Tabo Canyon,117045884,106299665.0,"6,028",35.216, -106.502
Left Side,117045901,117045884.0,"6,086",35.216, -106.502
Boundary Rock,117046086,117045901.0,"6,222",35.216, -106.502
High Rock,117132576,117045901.0,"6,047",35.215, -106.502
Middle Rock,117046078,117045901.0,"6,000",35.216, -106.502
NMMC Rocks,117045929,117045901.0,"6,007",35.216, -106.502
Palomas Peak,105789978,106299665.0,"8,335",35.234, -106.407
The Right Wing,114382768,105789978.0,"8,613",35.235, -106.406
The Entrance,105877923,105789978.0,,35.235, -106.406
The Slab Wall,105962160,105789978.0,"9,000",35.235, -106.406
The Franks,105888067,105789978.0,,35.235, -106.406
(03.5) The Dove Bar,115185539,105789978.0,"8,613",35.235, -106.406
Showdown Wall,105953895,105789978.0,,35.235, -106.406
The Transition Zone,105883861,105789978.0,,35.235, -106.406
The Dihedral Wall,105883894,105789978.0,,35.235, -106.406
Randy's Wall,105883920,105789978.0,,35.235, -106.406
The Far Side I,105884206,105789978.0,,35.235, -106.406
The Far Side II,105816693,105789978.0,,35.235, -106.406
Red Light District,105962216,105789978.0,"9,000",35.235, -106.406
Piedra Lisa North,117248715,106299665.0,"6,226",35.277, -106.474
Ranger Station Wall,117803512,106299665.0,"6,343",35.072, -106.383
Sandia Mountains,105788177,106299665.0,"10,650",35.211, -106.45
Chimney Canyon,105789228,105788177.0,"9,991",35.214, -106.454
The Cake,108180548,105789228.0,,35.213, -106.453
The Candle,108180571,105789228.0,,35.213, -106.453
The Castle,114125617,105789228.0,"9,615",35.218, -106.458
The Chimney,105996862,105789228.0,,35.213, -106.454
Clandestine Wall,106187655,105789228.0,,35.213, -106.452
El Tecolote,113719938,105789228.0,"9,706",35.218, -106.457
Muralla Grande,105789200,105789228.0,"10,212",35.215, -106.455
The Sentinel,105788189,105789228.0,"10,229",35.212, -106.453
"Domingo Baca Canyon, Lower",106092839,105788177.0,"7,010",35.181, -106.461
Ego Boost,106092860,106092839.0,"8,812",35.195, -106.451
Girl Scout Slab,106364282,106092839.0,,35.181, -106.461
Lower Domingo Baca Slabs (AKA: The Ribcage),106112323,106092839.0,"7,168",35.181, -106.463
Left Tower (AKA: The Cleaver Block),107429538,106112323.0,,35.181, -106.463
Out of Darkness Slabs,106116102,106112323.0,"6,900",35.18, -106.463
Right Tower,106116124,106112323.0,"6,900",35.181, -106.463
Snake Skin Slab / Tower,107424034,106112323.0,,35.181, -106.463
Upper Dome,106336636,106112323.0,,35.181, -106.463
Winter Solstice Slab,106336655,106112323.0,,35.181, -106.463
Echo Canyon,105862607,105788177.0,"9,663",35.202, -106.447
Bush Shark Area,105904929,105862607.0,,35.202, -106.446
La Vista,106439262,105862607.0,,35.202, -106.447
The Ramp Area,106478442,105862607.0,"10,000",35.203, -106.447
Techweeny Buttress,105903396,105862607.0,,35.202, -106.447
Yucca Flower Tower,105862615,105862607.0,"10,122",35.202, -106.445
Hail Peak,106031977,105788177.0,"9,660",35.198, -106.446
Juan Tabo Canyon,106355416,105788177.0,"8,225",35.233, -106.464
The Needle,105887970,106355416.0,"10,500",35.228, -106.459
The Prow,106355430,106355416.0,"8,900",35.231, -106.466
Shield,106042308,106355416.0,"9,918",35.236, -106.463
Waterfall Canyon,108025165,106355416.0,"7,570",35.229, -106.472
"La Cueva Canyon, Lower",105933793,105788177.0,"6,532",35.205, -106.487
Flake n' Bake,105933797,105933793.0,"7,152",35.208, -106.477
Gemstone East,105957913,105933793.0,"8,000",35.207, -106.475
Gemstone West,105957922,105933793.0,"8,000",35.207, -106.475
"La Cueva Canyon, Upper",105789241,105788177.0,"9,349",35.206, -106.452
Andy Boy Wall,107676061,105789241.0,,35.206, -106.452
Chaos Crag,106532906,105789241.0,"9,150",35.208, -106.455
Donald Duck,105961168,105789241.0,"9,500",35.205, -106.451
El Paisano,106467525,105789241.0,"10,000",35.206, -106.452
Estrellita,105789248,105789241.0,"9,722",35.206, -106.449
The Fin,105961532,105789241.0,"9,800",35.206, -106.451
Fire Hydrant,106531970,105789241.0,,35.206, -106.452
Frog,106544634,105789241.0,,35.206, -106.452
Hole in the Wall,105994493,105789241.0,,35.206, -106.452
Lost Spectacle,106136179,105789241.0,,35.206, -106.452
Mexican Breakfast Formation,106063590,105789241.0,"9,342",35.207, -106.453
The Middle Way,106701118,105789241.0,,35.206, -106.452
My Secret Garden,107014114,105789241.0,"9,492",35.206, -106.451
Paired Pole Pillars,109283604,105789241.0,,35.206, -106.452
The Pulpit,105961147,105789241.0,"9,000",35.211, -106.459
Rat's Rock,106789909,105789241.0,,35.206, -106.452
Science Friction,106013598,105789241.0,"10,010",35.204, -106.449
The Slot,106520023,105789241.0,,35.206, -106.452
The Thumb,105789245,105789241.0,"9,854",35.205, -106.454
Torreon,105820617,105789241.0,"9,539",35.207, -106.452
Trail Crag,109284291,105789241.0,,35.206, -106.452
Tridents,107717605,105789241.0,,35.206, -106.452
Windward Wall,112043845,105789241.0,"10,009",35.204, -106.449
Yataghan,105903012,105789241.0,"9,735",35.21, -106.457
Mummy Canyon,117681636,105788177.0,"9,540",35.22, -106.457
The Mummy,117682716,117681636.0,"9,531",35.22, -106.458
Pinnacle Valley,106001932,105788177.0,"9,356",35.222, -106.456
The Anvil,106108059,106001932.0,,35.222, -106.456
Broken Blade Ridge,107729680,106001932.0,"9,900",35.219, -106.458
Hidden Wall,106073555,106001932.0,"9,700",35.225, -106.457
The Keep,107731009,106001932.0,"9,500",35.223, -106.455
The Knifeblade,106076742,106001932.0,,35.222, -106.456
Santa Maria,107746424,106001932.0,"9,600",35.213, -106.453
Tombstone,106018537,106001932.0,,35.222, -106.456
WatchTower,106014542,106001932.0,,35.222, -106.454
Wildflower Wall,106001986,106001932.0,,35.222, -106.456
Pino Wall & Jawbone,105975060,105788177.0,"9,755",35.191, -106.434
Jawbone,114417047,105975060.0,"9,851",35.189, -106.436
El Bandarillo,114417230,114417047.0,"9,242",35.191, -106.438
Pino Wall,105975076,105975060.0,"9,810",35.189, -106.432
Stuck Nut Crag,107309216,105788177.0,"6,400",35.109, -106.483
The TV Station,107284288,105788177.0,,35.219, -106.452
TWA Canyon,106585816,105788177.0,"8,957",35.197, -106.442
Alioth,106851185,106585816.0,"9,750",35.199, -106.443
Block Ridge,108428176,106585816.0,"9,500",35.201, -106.449
