name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Big Block 1,110243365,Sport,108358529,5.9-,30,1,2.0,14.0,Slab climbing with mixed size of hands and feet.,"{112501386: 3, 200272767: 3, 111690406: 3, 200836547: 2, 113007831: 2, 111628334: 2, 111566885: 2, 106490607: 2, 109624383: 2, 200030763: 2, 200407988: 2, 200054918: 1, 106604774: 1, 105827495: 1}"
Big Block 2,110243374,Sport,108358529,5.9-,0,1,1.8,19.0,More slab climbing. The holds seemed a bit smaller than on the left route.,"{200894200: 3, 200272767: 3, 106490607: 2, 200836547: 2, 113007831: 2, 111628334: 2, 108474420: 2, 107107150: 2, 200407988: 2, 107572348: 2, 111566883: 2, 111690406: 2, 200030763: 2, 109624383: 1, 110713796: 1, 200416143: 1, 106604774: 1, 105827495: 1, 200054918: 1}"
Beth,106040627,Sport,106040612,5.11b,0,1,2.4,23.0,"I found this route to be quite fun. Start where the ground starts to get steep. A cruxy start gets you to a good clipping stance. I would recommend stick clipping the first bolt or bringing a crash pad. Stick clipping is better because the ground is steep here. Fairly sustained climbing with a few decent rests, good crimps and some thin moves, reachy in places. Following that I found there were hard moves in between bolts with good clipping holds.    I had not tried this one before because I didn't know what it was like. Now I know that it is well worth doing. If you can get to the first bolt, you can do the route. ","{107938599: 3, 200620334: 3, 200873455: 3, 200407988: 3, 112938047: 3, 111776255: 3, 108430433: 3, 107553209: 2, 107107150: 2, 105928523: 2, 107572348: 2, 106604774: 2, 105846096: 2, 105875784: 2, 106417640: 2, 106818931: 2, 106220386: 2, 106114972: 2, 107116940: 2, 108938398: 2, 107431443: 2, 200975390: 2}"
L.A. Bandit,106328737,Sport,106040612,5.11c,30,1,2.0,7.0,"This is the second from the right climb on the wall. It definitely has decking potential if you miss the second clip. It's got more slope holds than the climbs to the left, so it can round out a workout.    This route is usually quite dirty at the beginning of the normal rock climbing season since it serves as a bit of a drain.    I wanted to give this thing the bomb but it seems like it would be worth while if it was clean.","{200652329: 3, 106417640: 2, 107938599: 2, 112938047: 2, 106378242: 1, 106220386: 1}"
Left Route,106040615,Sport,106040612,5.9+,0,1,1.5,44.0,"This is the left-most route. Some people whine about its existence, but what else are you going to do, drive farther? The crux is getting off the ground with scary ground fall potential.","{200894200: 4, 106740477: 3, 107938599: 3, 200272767: 3, 106217487: 2, 200975390: 2, 107107150: 2, 106442253: 2, 106098377: 2, 105923389: 2, 111690406: 2, 200220520: 2, 107553209: 2, 105811887: 2, 107237276: 2, 106094253: 2, 200272137: 2, 106231348: 2, 106378242: 2, 111566885: 2, 108938398: 1, 106578430: 1, 105827495: 1, 110005779: 1, 200438128: 1, 111628334: 1, 109624383: 1, 109578338: 1, 200054918: 1, 106130116: 1, 105846096: 1, 106417640: 1, 105930406: 1, 106220386: 1, 106224522: 1, 108474420: 1, 108052293: 1, 106604774: 1, 108220814: 1, 107572348: 1, 105928523: 1, 105824164: 0, 200407988: 0}"
Seth,106040630,Sport,106040612,5.11b/c,0,1,1.5,6.0,"The farthest right line near the dihedral. Funky finish.    Another Big Block sandbag route. Nice 5.11- climbing to the last bolt, then height-dependency kicks in. I'm 5'9"" with a +2 ape index, and the top moves were solid 5.12. Quite possible that if you're 6'+ the 5.11 rating may be reasonable. Full-on knee bar rest just before the crux at the top and I still couldn't get to the chains. Definitely harder than the BB V4 boulder problems for us normal size folks. Good news is the bolts are close enough together at the top it goes at 5.11/A0.","{106231348: 2, 107952335: 2, 107553209: 2, 105824164: 1, 112938047: 1}"
Shane,106040620,Sport,106040612,5.9+,0,1,2.3,55.0,"A good confidence-builder for someone breaking into the grade. Well protected and a hard finish.    Very fun moves and good clipping holds. We have found it to be maybe a bit reachy at times. The first clip does not need a stick clip. Crux is getting over the roof at the first bolt.    If this route was twice as long, and if there were ten more just like it, this would be a very popular crag...","{107952335: 4, 107938599: 4, 105811887: 3, 109578338: 3, 108052293: 3, 109624383: 3, 107464755: 3, 111566883: 3, 107553209: 3, 107107150: 3, 200407988: 3, 200652329: 3, 200438128: 3, 200836547: 3, 200272137: 3, 106705428: 3, 106740477: 3, 106417640: 3, 107424433: 3, 200975390: 2, 108474420: 2, 106193606: 2, 200054918: 2, 105787518: 2, 107572348: 2, 111776255: 2, 111628334: 2, 108211820: 2, 106231348: 2, 107650179: 2, 106217487: 2, 105812440: 2, 105846096: 2, 200837271: 2, 108220814: 2, 105875784: 2, 106098377: 2, 106114972: 2, 107187893: 2, 107241692: 2, 106220386: 2, 108221864: 2, 105866619: 2, 107431443: 2, 108938398: 2, 108554377: 2, 106378242: 2, 108430433: 2, 106490607: 2, 106442253: 2, 106094253: 2, 106604774: 2, 109062898: 2, 105827495: 1, 106224522: 1}"
Shaolin Minefield,119653513,Sport,106040612,5.10d,35,1,2.0,1.0,"Crimpy face climbing to big horizontal cracks to a roof. Getting over the roof to the anchors is the crux, though friendly bolting makes this move well protected. Despite how chossy it looks, this is actually a pretty fun route. It just sorely needs a thorough cleaning.",{200407988: 2}
Aussie Rules Football,118826645,Boulder,106040587,V5,15,1,3.2,6.0,"Start low and work your way up using a crimp and sidepulls to a big move to a jug. Guidebook says v6, might be more like v5.","{200460503: 4, 200652329: 3, 111732907: 2, 112232604: 2}"
The Baseball Problem,107060378,Boulder,106040587,V8,0,1,3.0,9.0,"Doing the crux move(s) is often correlated to how well you can see the holds from the underside of the roof, but in general the business is turning the roof and grabbing the ""baseball"" hold to then make the last hard move to get to the jug finish.","{200652329: 4, 109705608: 3, 108938398: 3, 112501386: 3, 111732907: 3, 112287647: 3, 200678662: 3, 112232604: 3, 106500952: 2}"
