name,id,parent_id,elevation,latitude,longitude
New York,105800424,,"2,339",41.968, -74.443
Adirondacks,105910378,105800424.0,"2,910",43.938, -74.378
Adirondack Ice & Mixed,106372728,105910378.0,"2,910",43.938, -74.378
Northeast,112488258,106372728.0,"1,517",44.411, -73.505
Lake Champlain Palisades,108045130,112488258.0,321,44.218, -73.365
Poke-O-Moonshine,106588792,112488258.0,"1,153",44.407, -73.504
Silver Lake,106713671,112488258.0,"1,755",44.517, -73.823
Center of Progress,119911677,106713671.0,"1,754",44.517, -73.823
Potter Mountain,108044198,106713671.0,"1,920",44.517, -73.798
Summit Cliff,106713675,106713671.0,,44.517, -73.823
Climbs near Lake Placid,112488264,106372728.0,"1,826",44.281, -73.983
Whiteface,106212988,112488264.0,"2,426",44.404, -73.879
Wilmington Notch - High Falls Crag,105890644,112488264.0,250,44.339, -73.892
Northwest,112488272,106372728.0,"1,614",44.333, -74.134
Azure Mountain,107125976,112488272.0,"2,500",44.541, -74.501
Main Face,107494612,107125976.0,"1,758",44.543, -74.511
Side Walk Cafe,108457061,107125976.0,25,44.537, -74.503
South Colton Cliff - Ice,111561193,112488272.0,"1,190",44.487, -74.852
Keene Valley and Chapel Pond,112488276,106372728.0,"1,641",44.14, -73.749
Bear Run,118168217,112488276.0,"1,668",44.153, -73.79
Cascade Pass,106633495,112488276.0,"2,034",44.225, -73.875
Chapel Pond,106373506,112488276.0,"1,796",44.142, -73.755
Chapel Pond Canyon,112488328,112488276.0,"1,699",44.142, -73.753
Emperor Slabs,111873496,112488276.0,"1,000",44.134, -73.743
Ensign Pond Road,112504261,112488276.0,"1,190",44.035, -73.605
Giant Mountain,106373512,112488276.0,"1,302",44.15, -73.767
The Honey Pot,113925190,112488276.0,"1,092",44.203, -73.546
Hurricane Crag,113855758,112488276.0,"2,094",44.215, -73.699
King Wall,112406987,112488276.0,"2,305",44.132, -73.744
Knob Lock,108044227,112488276.0,"2,160",44.207, -73.702
Lock Ness,111981330,112488276.0,"1,950",44.208, -73.714
Lower Washbowl,112488336,112488276.0,"2,106",44.144, -73.748
Mineville,106373515,112488276.0,"1,020",44.077, -73.658
North Face of Pitchoff,106230166,112488276.0,"2,554",44.25, -73.871
Rickety Bridge,113903328,112488276.0,"1,111",44.11, -73.68
