name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Texas Slab,119463544,Boulder,108045130,V3,35,1,3.0,1.0,"This is a Deep Water Soling route on the Palisades in Lake Champlain. It can only be accessed from the water, as the Palisades themselves are roughly 200ft. We were able to Kayak across the lake (roughly 1 mile). Be aware, there are zebra muscles close to the water line (or right on it depending on the lake water levels): it it highly recommended that you use a paddle board or something you can stand on in order to mount the wall, especially if water levels are low. We only had time to explore this one route (5 people climbing to roughly 30ft), but there are endless other route opportunities to be found. Beware of submerged rocks in other places though!",{200892192: 3}
Above and Beyond,113205146,Trad,113205127,5.11a,80,1,3.0,1.0,"Nice rock and a good line. The crux involves fighting a barn-door move, and is much harder if you're short. Very coarse rock with excellent friction.    Go up the slab, over some overlaps, then up a left-facing corner to its top. Reach right and go up another, smaller left-facing corner. Mantel onto slopers, then move up a face past a bolt to some jugs. Follow a low-angle left-facing corner to the top.    There's a nice ledge to sit on, and you can build an anchor in good cracks here. (Both of the existing routes end here.)",{105798365: 3}
Noble Truths,114777237,Trad,114777205,5.10b/c,85,1,4.0,1.0,The best route at the cliff so far. Contemplative and techy.   Climb up left facing corner to the 'fin' flake. Go up and left along a small dike up past 2 bolts (difficult mantel) to a stance under the bulge. Pull through the bulge then straight up the face passing 2 more bolts to an alcove. Move up and slightly right out of the alcove passing 1 more bolt (crux) then weave up the face to the anchor.,{110165451: 4}
Ain't No Thang,110707597,Sport,110097694,5.12a,70,1,4.0,2.0,"Amazing route up the steep right-hand wall of the Amphitheater at The Crown. It contains a little of everything: Steep jugs, a traverse handcrack, and a steep crimpy headwall.    Follow the left-rising flake up and left to a right-leaning offwidth stuffed with chockstones. Go up this (surprisingly solid) to a horizontal crack in an overhanging wall. Jam 15' left with heel hooks to a fairly good rest on jams, then launch straight up crimps interspersed with restful jugs to the fixed anchor.    Descent: Lower from the anchor; you'll be 20' out from the base of the route.","{105798365: 4, 106189019: 4}"
The Fountainhead,112175789,Trad,110097694,5.11d,60,1,4.0,1.0,The appealing line at the cliff. A 20 foots roof crack. I read that this might be the longest free horizontal roof crack route in the Adirondack Park.    Pitch 1: Start on bolts making your way up the bulge to the slab to a big boulder. This boulder is solid and provide good gear before heading to the roof. Head for the roof traversing and underclinging left with increasing difficulty. The crux is at the lip like many other roof crack. Reach an anchor right after the lip. 60',{105798365: 4}
Judgement Day,112496779,Sport,110097694,5.12c,80,1,3.0,2.0,"Another super steep line in the Crown amphitheater; harder for shorter climbers. Knee pads help.    Begin left of a deep V-groove on a clean swath of good rock. Move up the steepest part of the buttress following left-leaning seams to the roof (about .11c to here, stays dry in the rain). Good rest here. Rail right (multiple leg bars), clip a high bolt with a fixed hanger, then up a layback flake (crux) to a jug. Move left, then up, then back right up easier terrain to a fixed anchor.    It is possible to set a TR on this by doing a rappel to the anchor, then clip a few bolts to hold the rope in.","{105798365: 3, 106189019: 3}"
Cowpoke Chimney,107103987,Trad,106696951,5.7,80,1,2.3,13.0,Start at a chimney and continue up to ledges providing great rests.  Enter the hand crack (crux) and up through good stances and gear to a great belay ledge with two bolts (the big blunt ones that you can rap through).,"{200318356: 3, 107373153: 3, 110337843: 3, 106529846: 3, 112473493: 3, 106897206: 2, 106822110: 2, 107745631: 2, 109018466: 2, 110359988: 2, 106982653: 2, 107548455: 2, 105798365: 1}"
Dig It,107824276,Trad,106696951,5.7,60,1,2.4,8.0,Climb the corner with a nice finger crack on the right wall.  Continue up the corner to a roof (V1).  Pull the roof on the left with jugs.  Continue up the handcrack through another overhang to bolted anchors.  A good addition to the moderate routes at Deadwater. A few thoughtful moves but nothing harder than 7 in my opinion.     V1 5.10+  pull the roof directly without using jugs on the left,"{107409057: 3, 108097686: 3, 107373153: 3, 200350797: 3, 107548455: 2, 105798365: 2, 107745631: 2, 109869056: 1}"
hoedown,107233853,Trad,106696951,5.8+,70,1,2.0,7.0,Good climbing but atypical of the area. Similar crux moves as incognito just a touch tougher. P1 5.8g 70 feet. Climb the arete to the first bolt. This is the crux and it is protected by the bolt. Make sure to keep a sharp eye while belaying because the ledge below is an ankle sprainer. Make the bouldery move onto the friction stance. A crack starts immediately after the bolt. Follow the crack up to the orange colored flake. Step left around small overhang and finish at two bolt rap station. This route can be sewn up. Don't the the start talk you off of the route.,"{107409057: 3, 107745631: 3, 106933730: 2, 109869056: 2, 109411750: 2, 106418097: 1, 105798365: 1}"
Incognito,107233797,Trad,106696951,5.8,75,1,2.5,17.0,30' left of Doc Holiday to a pair of aretes 12' apart. Start in the middle of the climbers right arete and work your way up on slopers to first pro/bolt. Gain the next bolt and go up the slopey/ balancey crux to the third and final bolt. Go into the right facing corner and follow it to the ceiling. Good .75 c4 placement on the right side below the ceiling. Go through the ceiling on the left side and finish at a fixed chain anchor. Good protection the whole way but if you're not comfortable with slopey friction climbing this climb can be tough.,"{107745631: 3, 109018466: 3, 106280741: 3, 108131437: 3, 107409057: 3, 110337843: 3, 107373153: 3, 200335317: 3, 110165451: 3, 106529846: 2, 107548455: 2, 106897206: 2, 105798365: 2, 106418097: 2, 106933730: 2, 109411750: 2, 109869056: 1}"
