name,id,parent_id,elevation,latitude,longitude
North Carolina,105873282,,365,35.604, -79.277
Southern Mountains Region,118317214,105873282.0,"2,288",35.338, -82.607
107 Boulders,107508288,118317214.0,"3,379",35.196, -83.139
Big Green,106443421,118317214.0,"3,850",35.156, -83.028
Bonas Defeat,112121696,118317214.0,"3,400",35.212, -83.01
Bradley Falls,107326153,118317214.0,"1,249",35.273, -82.292
Buffalo Creek Park,109066435,118317214.0,"1,245",35.482, -82.189
Headwall,111662545,109066435.0,"1,770",35.483, -82.192
The Shark Fin,109066463,109066435.0,,35.482, -82.189
Tatanka Boulder,109069016,109066435.0,,35.482, -82.189
Trailside Boulder,109066574,109066435.0,,35.482, -82.189
Two Face Boulder,109066443,109066435.0,,35.482, -82.189
Cashiers Area (Ice),108655168,118317214.0,"3,000",35.114, -83.099
Panthertown Valley (Goldspring Ridge),118063984,108655168.0,"3,881",35.153, -83.031
Whiteside (ice),108655233,108655168.0,"4,355",35.081, -83.143
Cathey's Creek Crag,107634087,118317214.0,"2,659",35.227, -82.803
The Cave,107634160,107634087.0,,35.227, -82.803
The Gateway Wall,107634143,107634087.0,,35.227, -82.803
The Sport Wall,107634135,107634087.0,,35.227, -82.803
Warm Up Wall,112823599,107634087.0,"2,598",35.227, -82.803
Cedar Rock,106219126,118317214.0,"3,578",35.255, -82.807
Cedar Beater (link up),112777258,106219126.0,"3,768",35.257, -82.803
Cedar Rock - Main Wall,108082229,106219126.0,,35.255, -82.807
Cedar Rock - North,108082242,106219126.0,"3,279",35.26, -82.806
South Side,108429576,106219126.0,"3,500",35.254, -82.8
Stone Knob,116751052,106219126.0,"3,478",35.246, -82.811
Up and Over Crag,116081609,106219126.0,"3,572",35.252, -82.803
"The Dark Side (Closed to climbing, included for historic reference)",106035087,118317214.0,"-11,456",35.338, -82.607
The Cougar Crag,106036434,106035087.0,,35.46, -82.216
Desperado Wall,106037541,106035087.0,,35.604, -79.277
The Main Wall,106035096,106035087.0,,35.604, -79.277
The Mini Cougar,106291053,106035087.0,,35.604, -79.277
The Survivor Wall,106036422,106035087.0,,35.604, -79.277
Un-named wall - - Right of Desperado (middle wall),106300573,106035087.0,,35.604, -79.277
Eagle Rock,106037528,118317214.0,370,35.432, -82.251
Black Bear Buttress,106037533,106037528.0,,35.604, -79.277
