name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
A New Beginning,107530893,Boulder,107508288,V5,0,1,3.3,4.0,"25)  Sit Start low on right facing sidepull , gain obvious jug, use pinches and sidepulls to top    Variation: 25a. Beginning Anew- V6  Start low in break on the left, climb into same finish","{108450430: 4, 106493154: 3, 111062291: 3, 200309881: 3}"
Baby Groot,112874561,Boulder,107508288,V1,10,1,3.2,5.0,Effective beginner route.  Designed to be strength intensive with a strong pull at Baby Groot -or- technique oriented with a heel hook on the upper left ledge.,"{200057388: 4, 200009681: 4, 200057366: 3, 200057381: 3, 200241195: 2}"
Be Easy,107530936,Boulder,107508288,V0,0,1,0.0,,33.  Choose right or left line,
Blue Heron,107521999,Boulder,107508288,V1,0,1,1.5,2.0,6) Slab to the right of the arete,"{108273822: 2, 106742823: 1}"
Bulge Project,107522037,Boulder,107508288,V10,0,1,0.0,,14) Start on a slopey block and climb straight up a blunt prow.,
Carolina Bamboo,107508292,Boulder,107508288,V3,15,1,3.5,12.0,"Sit start in middle of face, up on sidepulls, trend left on slopey ledge, big move to horn, keep it together for the mantle.","{200460856: 4, 200682515: 4, 200089239: 4, 108273822: 4, 108450430: 4, 112850477: 4, 106772499: 4, 110422165: 3, 106493154: 3, 111062291: 3, 200309881: 3, 106742823: 2}"
Cellar Door,107522020,Boulder,107508288,V9,0,1,2.5,2.0,10) Start on a sloper and a pinch and trend right. At the lip go up and left to more slopers to the crux at the top. https://www.instagram.com/p/B_6fDtFDRIJ/,"{200309881: 3, 200064320: 2}"
Crap In a Bag,107530846,Boulder,107508288,V3,0,1,1.0,1.0,17) Start on a sloper and the arete then climb the face to the top.,{106742823: 1}
Crunchy Arete,107530920,Boulder,107508288,V1,0,1,0.0,,30)  Just around the arête and left of Milk Thistle. Stand start by pinching the arête and mantling. Smear and bump to top.,
Dendrophiliac,107530870,Boulder,107508288,V9,0,1,0.0,,"21)  Sit start low on undercling crimp, move to pinch and crimp, big move into jug sidepull, pull up on arête, move right to the slopey lip, mantle the large sloper on the slab / Project Variation: 21a. low right start on crimpy sidepull, big iron cross move to come into Dendrophiliac(v11-12??)",
