name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Cat Weiner,111719124,Boulder,111719120,V-easy,0,1,2.5,2.0,Left trending route on the Would You Rather Boulder,"{109671981: 3, 108998429: 2}"
Clam Hands,111719129,Boulder,111719120,V-easy,0,1,2.0,1.0,Right trending line on the Would You Rather Boulder,{108998429: 2}
The Chump of Chimney Butte,115188964,Trad,111354529,5.7,60,1,1.0,1.0,Somewhat easy route route that moves right. Some loose rock up top. Rock is pretty soft and I suspect cams would likely rip out. ,{112014548: 2}
Right Crack,119088078,Trad,111354529,5.9,55,1,2.0,1.0,Twin cracks at the start. The crux is 3/4 of the way up. ,{200665954: 2}
The Birth Canal,118992537,Boulder,118992520,V0+,10,1,2.0,1.0,Worm your way up. ,{109877052: 2}
Adult Gifts,113462345,Boulder,113462332,V1+,8,1,2.5,2.0,Start on the right side of the left (if facing road) part of Gronk and use the right arete for feet. Avoid using the north (right) part of Gronk to make the route more fun/ challenging.,"{110430510: 3, 110037249: 2}"
Fat Daisy,113462335,Boulder,113462332,V1,8,1,2.5,2.0,"Sit start on left side of rock face and work your way up and right to top out. Great jugs are easy to find, but beware of chossy pieces that can make it more difficult.","{110430510: 3, 110037249: 2}"
Jammin' Just Cause,113845200,Boulder,113845158,V1-,10,1,1.0,1.0,Start with your feet on the ground and right jand hand jammed between the boulder and rock next to it. Use the jam to move up and try and keep in it for as long as you can.,{110906594: 1}
Sloper Slapper,113845209,Boulder,113845158,V2-3,12,1,3.0,1.0,"Start with your hands in almost a compression move with the right in the divot on its side and left along the edge of the south west face. Get your feet into the depression about a foot up and extend up to catch the sloping right side of the edge for the crux. Anyone under 5' 10"" might have to dyno it. Get your feet and pull up from there for the topout.",{110906594: 3}
Catscratch,113845139,Boulder,113845117,V3-,12,1,2.0,1.0,Start on the Northwest edge of the boulder with hands on small fingertip edges of visible scratches across the rock from low left up the the right towards the top. Use these edges to work up to the top.,{110906594: 2}
Pinch the Tip,113845145,Boulder,113845117,V1,11,1,2.0,1.0,Start with hands on or near ledge about 6ft and feet on toe edges near the bottom. Push up to grab the slight overhang with an inverted pinch and hang on to pull up and top out. Feet can be a little loose.,{110906594: 2}
