name,id,parent_id,elevation,latitude,longitude
Ohio,105994953,,711,39.96, -83.013
Central Ohio,116370179,105994953.0,710,39.96, -83.013
Auttie’s Boulders,117585126,116370179.0,844,40.293, -81.872
Bobcat Boulders,118125384,116370179.0,958,40.179, -82.3
Airplanes Boulder,119384575,118125384.0,895,40.179, -82.301
Bobcat Boulder,118135452,118125384.0,896,40.179, -82.301
The Dark Tower,118882490,118125384.0,929,40.179, -82.3
Dillon Lakeside,114800654,116370179.0,788,40.019, -82.09
Marne Road,107045929,116370179.0,785,40.073, -82.259
West Side Boulders,118589215,107045929.0,839,40.067, -82.264
Wave Wall,118589218,107045929.0,805,40.068, -82.263
Warm-Up Wall,118589232,107045929.0,797,40.069, -82.263
Katz Wall,118589235,107045929.0,798,40.069, -82.262
"Poison Ivy Wall (""The Cave"")",118589262,107045929.0,847,40.069, -82.262
Genesis Wall and East Side Boulders,118589265,107045929.0,845,40.07, -82.262
Salt Fork State Park,109675740,116370179.0,"1,051",40.108, -81.488
Diving Board Boulders,109701875,109675740.0,,40.116, -81.532
Hozak's Cave Boulders,109682862,109675740.0,853,40.136, -81.493
Lakefront Boulders,109675760,109675740.0,855,40.113, -81.53
Scioto Audubon Metro Park,107289211,116370179.0,710,39.949, -83.009
Tri-Valley Wildlife Area,114801088,116370179.0,794,40.07, -81.933
Brady’s Bluff,114803875,114801088.0,817,40.01, -81.974
Mollies Rock,114801129,114801088.0,794,40.07, -81.933
Stone Church,114800206,114801088.0,842,40.123, -81.96
Eastern Ohio,118866666,105994953.0,818,40.064, -80.804
Long Run Boulders,118866763,118866666.0,"1,048",39.892, -81.049
The Anvil Boulder,118866810,118866763.0,"1,070",39.892, -81.047
The Big Easy Boulder,118866795,118866763.0,"1,010",39.892, -81.047
The Big Nasty Boulder,118866804,118866763.0,"1,036",39.892, -81.047
The Little Hard Boulder,118866786,118866763.0,"1,011",39.892, -81.048
Northeast Ohio,116370171,105994953.0,934,41.247, -81.62
Beach City Nature Preserve,108132073,116370171.0,"1,052",40.615, -81.614
Big Wall,108132082,108132073.0,989,40.614, -81.614
Dundee Falls Corner,108132198,108132073.0,65,40.615, -81.614
Dundee Railroad,114804342,108132073.0,972,40.603, -81.608
Off The Rails,114804446,114804342.0,972,40.603, -81.608
Railroad,114804352,114804342.0,981,40.603, -81.608
mid stream,119778574,108132073.0,978,40.615, -81.618
Berea Falls,112101806,116370171.0,735,41.378, -81.866
Cascade and Elywood Park,107883627,116370171.0,685,41.374, -82.11
Baptismal fountain,113944315,107883627.0,650,41.371, -82.108
The Bulbster Boulder,105994269,107883627.0,594,41.418, -82.102
Cascade Park Proper,119247704,107883627.0,639,41.373, -82.109
River Boulders,119247888,119247704.0,627,41.373, -82.109
Entrance Boulder,105994254,107883627.0,,41.419, -82.102
Grey Paint,105994257,107883627.0,,41.419, -82.102
Orogeny,105994260,107883627.0,,41.419, -82.102
The Quarry,105994266,107883627.0,,41.419, -82.102
Warm Up Boulder,119376102,107883627.0,685,41.374, -82.11
Centerville Mills,107621119,116370171.0,"1,034",41.347, -81.337
Chippewa Creek,105994274,116370171.0,740,41.32, -81.618
Downstream,105995182,105994274.0,,41.322, -81.617
The Hanger,110573151,105994274.0,,41.321, -81.618
