name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Fly Away,117585833,Boulder,117585126,V-easy,12,1,3.0,1.0,Nice and easy problem. Makes for a fun route. Just make sure you have good handholds and avoid grabbing smaller ledges as the rock is brittle in some places. ,{200540045: 3}
Heel hook,117585595,Boulder,117585126,V-easy,20,1,3.0,1.0,"Pretty easy route. The crux is the getting to the top ledge. As the name might imply, a heel hook makes this route quite manageable. ",{200540045: 3}
Huntsman’s Hideout,119608246,Boulder,117585126,V2,12,1,3.0,1.0,Stand start on the left sidepull and right hand around the arete. Work your way up the arete to some good jugs and out of the small roof to the mossy top out. Watch out for the spider hide-out.,{200293241: 3}
Indian’s Crack,117585886,Boulder,117585126,V2,12,1,4.0,1.0,Really nice crack climb. The crux is the start as there’s only one good place for foot placement at the start. You can either do left hand in the crack and right hand on a small crimp to start or both hands in the crack. Either one makes for a fun and slightly difficult climb!,{200540045: 0}
Just one more,117585391,Boulder,117585126,V4,14,1,4.0,1.0,"Very fun problem that took me quite a while to figure out. Start right off the ground with two nice handholds and decent footholds. You’ll have to move in such a way to get your right foot into the pocket your left hand starts out in. Once there, you’ll have two crimpy holds, and must traverse to the left then take the obvious route up. Crux is definitely the middle section of getting your right foot set into the pocket and traversing to the left. ",{200540045: 4}
Last One,117669176,Boulder,117585126,V2,25,1,3.0,1.0,"This route starts off with an overhang. You’ll have to climb over the lip of the rock and go straight into a deadpoint. This route looks like it’s only 15 feet or so from the picture, but the top section slopes backwards for another 10 feet or so.",{200540045: 3}
Short Stop,119608295,Boulder,117585126,V2,10,1,3.0,1.0,Stand start on left sidepull and right undercling. Head directly up this short wall to the top out. There’s some nice movement in this problem that makes me wish it went on and on...,{200293241: 3}
Crash Landing,119384595,Boulder,119384575,V4,0,1,3.0,1.0,"Start in the middle of the Airplanes Boulder.  Climb up the short ramp, past slopey ledges to a vertical seam.  Continue to a tricky and committing mantle that guards the top.",{200306716: 3}
Bobcat,118277141,Boulder,118135452,V8,15,1,3.7,3.0,Proud line going up the steep face of the bobcat boulder. Start on good pockets down low and move up to a tough undercling move. Shift right to the arete and pull one more hard snatch move before the slopey topout.,"{111093618: 4, 105897447: 4, 200306716: 3}"
Catalytic Cat,118205215,Boulder,118135452,V4,19,1,4.0,1.0,"Start in the good jugs down low, working up into the seam of the dihedral. Layback and balance your way up small feet and progressively smaller holds to a good layback in the big runnel. A small right hand rail secured the top out moves for a heady finish.",{108934802: 4}
