name,id,parent_id,elevation,latitude,longitude
Oklahoma,105854466,,"1,150",35.604, -97.559
Hominy,110402268,105854466.0,787,36.401, -96.425
The Penitentiary,110402298,110402268.0,787,36.401, -96.425
Lake Eucha,113700651,105854466.0,793,36.353, -94.875
The Meadows,113902270,113700651.0,783,36.354, -94.824
The Water Front,113700679,113700651.0,893,36.347, -94.85
Lake Murray: Buzzard Roost,118819147,105854466.0,798,34.058, -97.095
Mustafar Boulder,118819268,118819147.0,815,34.058, -97.094
Parking Lot Boulder,118819168,118819147.0,813,34.058, -97.095
Medicine Park,118332146,105854466.0,"1,278",34.728, -98.502
The Crag,118332190,118332146.0,"1,459",34.733, -98.486
El Napitan,119993599,118332146.0,"1,341",34.731, -98.488
The Quarry,116217724,105854466.0,"-11,456",35.604, -97.559
Quartz Mountain,105854470,105854466.0,"1,553",34.898, -99.334
Atlantic,105866101,105854470.0,"1,809",34.898, -99.332
Backside,107644419,105854470.0,"1,764",34.899, -99.333
Backside Boulders,105986547,105854470.0,,34.899, -99.334
Cedar Valley,116100770,105854470.0,"1,699",34.899, -99.329
Buddha’s Eye Area,119854436,116100770.0,"1,625",34.898, -99.328
Kitten Slabs,116205368,116100770.0,"1,750",34.899, -99.329
Munge Lunge Boulder,105986520,116100770.0,"1,649",34.9, -99.329
Stray Cats Wall,105987044,116100770.0,"1,813",34.9, -99.33
Warm-up Boulder,108481007,116100770.0,"1,667",34.9, -99.329
Whale Boulder,111364039,116100770.0,"1,696",34.901, -99.331
Entrance Boulders,116724405,105854470.0,"1,569",34.898, -99.334
Black Buttress Boulder,112375719,116724405.0,"1,573",34.898, -99.334
The Gill Boulder,112375606,116724405.0,"1,571",34.898, -99.334
Heel Hook Boulder,112375752,116724405.0,"1,572",34.898, -99.334
Mantel Boulder,116096744,116724405.0,"1,572",34.898, -99.333
Run and Jump Boulder,112375643,116724405.0,"1,571",34.898, -99.334
The Grunt Chamber,111751543,105854470.0,"1,594",34.897, -99.331
Headwall,105866094,105854470.0,"1,715",34.898, -99.333
Sea of Screams,105866044,105854470.0,,34.898, -99.333
Snakes Head / S Wall,105866107,105854470.0,"1,637",34.898, -99.334
South America,105866097,105854470.0,"1,821",34.898, -99.332
Watch Me Wall,105866104,105854470.0,"1,604",34.897, -99.331
SE Oklahoma,119566601,105854466.0,959,35.006, -95.337
Eufaula Lake,105992706,119566601.0,732,35.266, -95.543
Main Dam Bluffs,105992709,105992706.0,,35.266, -95.543
Lake Atoka,119566709,119566601.0,626,34.539, -96.029
Chilly Creek,112286099,119566709.0,640,34.542, -96.035
Lake Atoka Reservoir,107116093,119566709.0,587,34.542, -96.047
Limestone Gap,107122871,119566601.0,747,34.59, -95.99
Southern Roadside Wall,107122890,107122871.0,759,34.584, -95.998
McGee Creek Natural Scenic Recreation Area,107123013,119566601.0,880,34.389, -95.826
North Rim / South Rim Bluff,107123022,107123013.0,920,34.413, -95.811
Scenic Overlook Bluffs,107123016,107123013.0,914,34.4, -95.834
Breakfast Boulders,113914435,107123016.0,927,34.4, -95.835
Dirty Talk Boulder,119123814,107123016.0,926,34.4, -95.835
For the Alliance Boulder,112091749,107123016.0,910,34.401, -95.834
For the Horde Boulder,112089895,107123016.0,906,34.401, -95.834
Rainbow Slab,117810368,107123016.0,929,34.4, -95.835
The Seven Deadly Sends,113914578,107123016.0,937,34.4, -95.835
Where is Solar Strike Boulder,118861570,107123016.0,911,34.401, -95.835
Robbers Cave State Park,107118178,119566601.0,"1,051",35.007, -95.338
Devil's Slide,108373376,107118178.0,,35.007, -95.338
Fourche Maline Creek,116739518,107118178.0,823,34.996, -95.351
Horse Coral Face,107118209,107118178.0,,35.007, -95.338
Low Angle Wall Boulder,107118191,107118178.0,,35.007, -95.338
McAlister Elimination Boulder,107118200,107118178.0,,35.007, -95.338
Mushroom Boulder,107118186,107118178.0,,35.007, -95.338
Parking Boulders,108373557,107118178.0,,35.007, -95.338
Round Top Mountain,107122851,119566601.0,900,34.858, -95.535
Tulsa Area,118291683,105854466.0,741,36.118, -95.921
3 Fingers Bay,112090064,118291683.0,765,36.166, -96.368
The Poppy Wall,112090092,112090064.0,735,36.161, -96.37
The Tallgrass Sector,112092595,112090064.0,743,36.162, -96.37
Avery Drive,107286155,118291683.0,756,36.122, -96.102
Little Germany,107286169,107286155.0,,36.124, -96.094
Little Tijuana,107286175,107286155.0,771,36.122, -96.1
Lost City Area,119566788,107286155.0,700,36.122, -96.103
John's Wall,107872590,119566788.0,755,36.122, -96.102
Lost City,107286190,119566788.0,775,36.121, -96.102
Vice Grips,107286199,107286155.0,766,36.119, -96.107
Baby Bell,112325879,118291683.0,737,36.155, -96.182
The Castle Walls,112325918,112325879.0,755,36.155, -96.182
The Cave,112326055,112325879.0,745,36.155, -96.182
Cosmic Corridor,112326104,112325879.0,738,36.155, -96.182
Fiddleback Wall,112325979,112325879.0,758,36.155, -96.182
Midten,112326029,112325879.0,747,36.155, -96.182
Chandler Park,105915445,118291683.0,879,36.131, -96.076
Autobahn Area (Main Chandler),105929121,105915445.0,881,36.131, -96.076
Crux Wall,106836889,105929121.0,,36.131, -96.076
Cub Scout Wall,106498224,105929121.0,,36.131, -96.076
The Dimple Boulder,118770291,105929121.0,830,36.13, -96.078
Disease Wall,105929176,105929121.0,,36.131, -96.076
Jays Lair,117983292,105929121.0,820,36.13, -96.078
Little to Nothing Wall,105929192,105929121.0,,36.131, -96.076
Lower Troop,115449805,105929121.0,849,36.132, -96.076
Moffat Wall,118295972,105929121.0,810,36.132, -96.076
Pepsi Wall,105929232,105929121.0,,36.131, -96.076
Picnic Wall,105929183,105929121.0,,36.131, -96.076
Pyramid Boulder,116177021,105929121.0,867,36.132, -96.075
Stump Wall,105929131,105929121.0,,36.131, -96.076
Super Mantle Boulder,118258590,105929121.0,847,36.131, -96.076
Troop Wall,105929165,105929121.0,874,36.131, -96.076
East Chandler,108384725,105915445.0,879,36.132, -96.074
The Fort,111566925,118291683.0,567,35.853, -95.228
Lake Tenkiller Dam,105920743,118291683.0,,35.604, -97.559
Osage Hills State Park,106088693,118291683.0,760,36.742, -96.181
45 Wall,106088702,106088693.0,737,36.743, -96.181
Gamma Wall,106117127,106088693.0,774,36.735, -96.192
Power Wall,112485375,106088693.0,775,36.743, -96.182
Prattville,107286210,118291683.0,726,36.117, -96.116
Shotgun,109090296,118291683.0,697,36.153, -96.168
Gold Rush Area,119706800,109090296.0,794,36.151, -96.165
Main Area,119706797,109090296.0,771,36.152, -96.166
Wekiwa Road,107992873,118291683.0,804,36.146, -96.152
Zen Pen,105988507,118291683.0,728,36.134, -96.402
Around the Corner,105989672,105988507.0,,36.137, -96.402
Black Pearl,105989705,105988507.0,,36.137, -96.402
North Beach,111504407,105988507.0,741,36.135, -96.402
The Peninsula (AKA Hell's Kitchen),112812185,105988507.0,732,36.134, -96.403
Purgatory,105989659,105988507.0,,36.133, -96.402
