name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Jail Bait,110402441,Boulder,110402298,V1,10,1,2.0,1.0,Climb in the middle of the boulder. It's short but has a cool crux move getting onto the boulder. If it was taller I would have given it 3 stars.,{108886549: 2}
Solitary Confinement,110402302,Boulder,110402298,V0-,20,1,2.0,1.0,The whole reason I came to this place is because from the opposite shore this crack looks like a world class off-width...unfortunately it's hands with a lot of ledges so it is a very easy climb. I probably spent an hour cleaning it and it still is worth while. Crux is probably getting off the ground.,{108886549: 2}
Eucha Cuchie,114784660,Trad,113700679,5.4,70,1,2.0,1.0,This route traverses hard right before going up and gradually traversing left.,{200132139: 2}
Anakin,118821209,Boulder,118819268,V0-1,12,1,2.0,1.0,"Start on the right flake, right hand up to a crimp ledge, then left hand to the gaston in the middle, the  up to the horns on the top. ",{200091013: 2}
Obi-Wan,118821184,Boulder,118819268,V1,12,1,2.0,1.0,"Start on the flake on the right, left hand to the two finger crimp, cross over, righ hand to the flake then up to the top horns. ",{200091013: 2}
Not Mariah,118821044,Boulder,118819168,V0+,9,1,2.0,1.0,"Start on the upside down T on the right, to the left hand side pull, bump to the far ledge side pull. Right hand to the pocket, and then a series of crossovers to the far right horn for the finish. Not a good top out finish.   ",{200091013: 2}
This is Whitney,118819196,Boulder,118819168,V1,13,1,2.0,1.0,"Sit start on far right, left hand gaston or right hand cross over to pinch. Left hand to pocket, right hand to sloper, top out of horns to the left.null",{200091013: 2}
Warm up the daddy long legs,118819246,Boulder,118819168,V0,11,1,2.0,1.0,"Warm up Traverse. Start on left ledge, traverse the ledge to the right, then up to the right side of the second boulder, and finish in top of the horn.  ",{200091013: 2}
A-Bob,118629361,Boulder,118332190,V0,15,1,2.0,1.0,Start from a two hand ledge with your feet low and gain the wide crack to the top.,{108416422: 2}
Cabin Fever,118861208,Boulder,118332190,V0-1,15,1,2.0,1.0,Straight up the middle of the face to a mantle finishu,{108416422: 2}
Diaper Rash,118861247,Boulder,118332190,V1,0,1,2.0,1.0,Start at the lowest point of the chimney and top out on the chockstone.d ,{108416422: 2}
Greenhorn,118869598,Boulder,118332190,V0,20,1,2.0,1.0,Green horn climbs the green face to the horn at the top. ,{108416422: 2}
Lady Lumps,118629191,Boulder,118332190,V1,15,1,2.0,1.0,Slab with slopey ledges leads to a large horizontal crack that allows you to gain a finger crack to the top.,{108416422: 2}
Layzeeboi,118869649,Boulder,118332190,V1,20,1,3.0,1.0,Start the route at the lowest point below the boulder and finish at the finger crack.,{108416422: 3}
ORIF,118629087,Boulder,118332190,V2,15,1,3.0,1.0,The first half is a steep slab climb that leads to a finger crack to the top. Watch out for a semi-loose boulder up top.,{108416422: 3}
Parkin,118627373,Boulder,118332190,V0-1,15,1,3.0,1.0,Obvious right leaning crack in the middle area of the wall. Handjam and lieback your way to the top where you can go either left or right around the top boulder. Avoid the right leaning ramp for full value.,{108416422: 3}
Pinchaloaf,118869416,Trad,118332190,5.9,20,1,4.0,1.0,Slightly overhung crack climb with a roof finish.,{108416422: 4}
Water Mocasaan,119929259,Boulder,118332190,V2-3,20,1,3.0,1.0,Climb the arete/face,{108416422: 3}
Lavender,120037355,Boulder,119993599,V1,15,1,2.0,1.0,Two hand start under the bulge and by the wide crack. Follow the crack up and left.,{108416422: 2}
Narcolepsy,120037459,Boulder,119993599,V1,15,1,2.0,1.0,Start in the left corner crack and follow it exiting left at the top. The right exit would be v0,{108416422: 2}
Sleepwalker,120037514,Boulder,119993599,V2,20,1,3.0,1.0,start at the lower right edge of the wall and follow it up gaining the crack in the center for the finish.,{108416422: 3}
Atlantic Route,107355842,Trad,105866101,5.7,0,1,3.2,13.0,Look for two crescent shaped underclings followed by a left leaning crack.  Above is one of the best chimneys in the state.,"{108886549: 4, 107559987: 4, 110148614: 4, 106703100: 3, 108933244: 3, 111014490: 3, 111709307: 3, 110177220: 3, 107835621: 3, 105853720: 3, 105916328: 3, 200436519: 3, 108315387: 2}"
Atomic Dust Dance,107355909,Trad,105866101,5.10c,0,1,3.3,3.0,"Start same as Grand Morass, go right after the first crescent.  Crux is at the first bolt, which leads to a second bolt.  Then join Power Grip at the 3rd.","{105916328: 4, 105853720: 3, 200256691: 3}"
