name,id,parent_id,elevation,latitude,longitude
Oregon,105708965,,"5,314",44.042, -120.292
Central Oregon,109532041,105708965.0,"2,996",44.27, -121.17
The Badlands,107329661,109532041.0,"3,500",43.957, -121.016
Castle,107357989,107329661.0,"3,500",43.989, -121.039
The Drive In,107329692,107329661.0,"3,500",43.996, -121.019
Central Oregon Bouldering,108531732,109532041.0,"4,000",44.28, -121.54
Bend Area,114430274,108531732.0,,44.059, -121.277
Cascade Lakes Highway,114430295,114430274.0,,44.28, -121.54
"Meadow Camp, AKA Meadow Picnic Area",109506973,114430295.0,"3,854",44.002, -121.376
Widgi Creek,109506959,114430295.0,"3,938",44.006, -121.389
Widgi 3/4,113843756,109506959.0,"3,202",44.28, -121.54
3/4 Boulders,113843770,113843756.0,"4,231",44.016, -121.424
Bulletproof,113843906,113843756.0,"4,055",44.012, -121.4
Widgi Left,117302894,109506959.0,"3,938",44.006, -121.389
Orange Marmalade Boulder,117302924,117302894.0,"3,938",44.006, -121.389
Tree Dyno Boulder,119825383,117302894.0,"4,040",44.013, -121.397
Uncle Philip's Rock,117302916,117302894.0,"3,938",44.006, -121.389
Widgi Face Boulder,117302901,117302894.0,"3,938",44.006, -121.389
Widgi Right,113843678,109506959.0,"3,202",44.28, -121.54
The Brain Boulder,113843684,113843678.0,"3,202",44.28, -121.54
Cranky Locals Wall,117795804,113843678.0,"3,202",44.28, -121.54
Vader's Helmet Boulder,117795688,113843678.0,"5,581",43.977, -121.549
The Depot,109506969,114430274.0,"3,644",44.031, -121.333
The Homeless Shelter,116746997,114430274.0,"3,611",44.051, -121.32
The MBV Boulders,117032084,114430274.0,"3,631",44.032, -121.333
The Boombox/Juniper Slab,117035997,117032084.0,"3,634",44.031, -121.334
Hobo Boulders,117036083,117032084.0,"3,634",44.032, -121.334
The Hole/Little Wing,117035951,117032084.0,"3,634",44.031, -121.334
Left Side/Classic Corner,117035860,117032084.0,"3,636",44.031, -121.334
Riverside Boulders,118872901,117032084.0,"3,625",44.032, -121.333
Sawyer Park,116992547,114430274.0,"3,539",44.086, -121.311
Skyliners Road,114430289,114430274.0,,44.28, -121.54
Burn Boulders,117087635,114430289.0,"3,892",44.062, -121.399
Mile Marker 5,114529132,114430289.0,"4,110",44.038, -121.423
Tick Ranch / The Deep,114362435,114430289.0,"3,853",44.052, -121.412
The Deep,114362473,114362435.0,"3,922",44.052, -121.423
Metalhead Area,114362565,114362473.0,"4,079",44.051, -121.427
Razor Wall,114362541,114362473.0,"3,946",44.052, -121.423
Wave Boulder,114362482,114362473.0,"3,905",44.052, -121.423
Tick Ranch,114362453,114362435.0,"4,013",44.053, -121.417
1) East Hillside Zone 1,114565690,114362453.0,"3,952",44.052, -121.414
Big Slopey,118726632,114565690.0,"3,955",44.052, -121.414
Random Bottle Boulder,114565870,114565690.0,"3,952",44.052, -121.414
2) Main Area (John's Slab/ Tick boulder),114362726,114362453.0,"4,013",44.053, -121.417
3) Ming Boulder Area,118726820,114362453.0,"3,992",44.053, -121.418
Ming Boulder,118726832,118726820.0,"3,990",44.053, -121.418
