name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
African Swallow,107358243.0,Trad,107357989.0,5.7,15.0,1.0,1.5,2.0,"Steep, but enough pockets and a vertical crack to keep the climbing moderate.","{108104464: 2, 105848763: 1}"
As You Wish,107357995.0,Trad,107357989.0,5.7,25.0,1.0,2.5,2.0,"Head straight up the face following the flake-like edge around the cave with your hands. Top out is pretty high, but the rock had nice ledges and pockets, making this fun and comfortable despite the height.","{105848763: 3, 108104464: 2}"
Astro Jesus,118766483.0,Boulder,107357989.0,V2+,15.0,1.0,2.0,1.0,"Sit start, climb up the face and top out up and right. Refer to pictures for further details.   (Avoid using neighboring boulder, and be careful to avoid the rock on the ground to your immediate right. Be wary of loose rock on top as you get begin to top out.)",{200136212: 2}
Fezzik,107358339.0,Trad,107357989.0,5.6,15.0,1.0,2.0,2.0,"Plenty of features to choose from following this crack surrounded by pockets and ledges. Easy-going, mellow climb.","{105848763: 2, 108104464: 2}"
Grayskull,107358264.0,Boulder,107357989.0,V1-,8.0,1.0,2.0,2.0,"A small cave provides a few juggy, overhanging problems with a sandy landing. For Grayskull, start sitting right of the cave, and move up and left over the opening to top-out. Not many moves to this short climb, but entertaining if you're already at Castle for some climbing.","{105848763: 2, 108104464: 2}"
Holy Hand Grenade,107358251.0,Trad,107357989.0,5.8,15.0,1.0,1.0,1.0,"Fun, steep, but bushes making the top-out a bit annoying keep this at one-star.",{105848763: 1}
Inconceivable,107358324.0,Trad,107357989.0,5.9,15.0,1.0,2.0,3.0,"Tricky moves off the ground and then 2/3's of the way up keeps the climbing interesting. Move onto the arete on your right 2/3 of the way up to keep the climbing more moderate, or stay in the middle of the face to tip-toe up small pockets and ledges.","{105848763: 2, 108104464: 2, 200136212: 2}"
Mekaneck,107358348.0,Trad,107357989.0,5.8,15.0,1.0,2.0,1.0,"Start under a big roof. Move up and left, escaping out from under the roof by pulling straight up & over it's left side. Watch for loose rocks above the middle of the large roof.",{105848763: 2}
Orko,107358440.0,Trad,107357989.0,5.5,10.0,1.0,1.5,2.0,"A wall 5 feet wide is heavily pocketed, offering fun, but short, easy climbing.","{109208153: 2, 105848763: 1}"
Skelator,107358365.0,Trad,107357989.0,5.7,15.0,1.0,2.0,2.0,Use horizontal ledges as jugs to move up a nice rock face with some large concave shapes. Pull up to top out just right of the large roof.,"{105848763: 2, 109208153: 2}"
