name,id,parent_id,elevation,latitude,longitude
Pennsylvania,105913279,,"1,233",40.928, -77.347
Central PA,109481682,105913279.0,"1,145",40.793, -77.86
Blue Run Rocks,107902808,109481682.0,"2,087",41.804, -77.547
Aider's Rock,107902880,107902808.0,,41.804, -77.547
Campfire Boulder,107902815,107902808.0,,41.804, -77.547
Lichen Wall,107902875,107902808.0,,41.804, -77.547
The Main Attraction,107902847,107902808.0,,41.804, -77.547
Ship Rock (Shipwreck Boulder),114173762,107902808.0,"2,086",41.804, -77.547
The Vila Boulder,107903250,107902808.0,10,41.804, -77.547
Boone Run,114056961,109481682.0,"1,571",41.675, -77.076
Chimney Hollow Falls (Ice),113103725,109481682.0,"1,273",41.722, -77.444
Donation Rocks,117995969,109481682.0,862,40.573, -77.944
Damnation Wall,117997021,117995969.0,994,40.574, -77.944
Left Side,118022515,117997021.0,991,40.574, -77.944
Right Side,118022535,117997021.0,988,40.574, -77.944
Lower Wall,117997011,117995969.0,861,40.573, -77.944
Front Walls,118022480,117997011.0,861,40.573, -77.944
Southside Gully,118022490,117997011.0,862,40.573, -77.944
Triceps Wall,118022407,117997011.0,861,40.573, -77.944
Main Wall,117996998,117995969.0,874,40.573, -77.944
Africa Wall,118007201,117996998.0,874,40.573, -77.944
Big Gully,118007495,117996998.0,868,40.573, -77.944
The Buttress,118007309,117996998.0,881,40.573, -77.944
Jam Crack Wall,118008152,117996998.0,871,40.573, -77.944
Main Wall Right,118812939,117996998.0,870,40.573, -77.944
Upper Wall,119051325,117995969.0,"1,016",40.574, -77.944
Left End Wall & Arête,119051486,119051325.0,"1,015",40.574, -77.944
Eversince Area,118027434,109481682.0,"1,482",40.728, -77.885
Hunter's Rocks (Rocky Ridge Natural Area),106531911,109481682.0,971,40.55, -77.859
The Celery Roof,114184296,106531911.0,"1,149",40.564, -77.854
The Garden,114267486,106531911.0,"1,026",40.565, -77.854
The Main Area,107399798,106531911.0,967,40.55, -77.859
North Hunters,114305477,106531911.0,871,40.573, -77.845
The Oaks,107400524,106531911.0,903,40.565, -77.849
The Powercut,107400520,106531911.0,"1,033",40.559, -77.853
Private Property - do not use,107402094,106531911.0,,40.55, -77.859
Little Scandinavia,112284034,109481682.0,905,40.85, -77.822
Rock Run,107393314,109481682.0,"1,082",41.509, -76.934
High Noon Area,111077818,107393314.0,"1,132",41.516, -76.918
