name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Face the Facts,107903102.0,Sport,107902880.0,5.8,0.0,1.0,2.1,15.0,Start to the right of Jake said Ouch beneath a flake. Climb up the corner to a set of shared anchors with Jake said Ouch,"{107919874: 3, 108225547: 3, 111814228: 3, 108236993: 3, 106897206: 2, 112511338: 2, 112086258: 2, 200040702: 2, 112259757: 2, 109608414: 2, 106555971: 2, 107611605: 2, 200333235: 2, 106736701: 1, 108234115: 1}"
Flatlander,107903085.0,Sport,107902880.0,5.8,30.0,1.0,3.0,6.0,Start with small crimps on a slabby face and move into a short vertical crack.,"{111443138: 4, 200040702: 4, 107919874: 3, 112511338: 3, 108236993: 2, 112259757: 2}"
Jake Said Ouch,107903117.0,Sport,107902880.0,5.9,0.0,1.0,2.3,8.0,Some slightly tricky footwork near the bottom will get you to some larger holds and an easier finish.,"{107919874: 3, 108234115: 3, 111814228: 3, 108236993: 2, 106897206: 2, 106555971: 2, 200040702: 2, 112259757: 1}"
Liberal Line,107903146.0,Trad,107902880.0,5.12,0.0,1.0,0.0,,"Starting near the tree work up the corner,then move right through the short crack section.",
Metastable,107903150.0,Sport,107902880.0,5.12,0.0,1.0,0.0,,Starting directly beneath the bolts move over the bulge on thin holds and climb through the overhang to chains.,
Monolithic,107903131.0,Sport,107902880.0,5.12,30.0,1.0,0.0,,Climb the overhung corner staying on the downhill face to a set of shared anchors with #3. ,
Slab-a-licious,107903125.0,Sport,107902880.0,5.9,0.0,1.0,2.3,7.0,A low crux on slabby face climbing leads through three bolts to shuts.,"{108234115: 3, 108225547: 3, 108236993: 2, 106897206: 2, 106555971: 2, 112259757: 2, 200655724: 2}"
Campfire Direct,107902821.0,Boulder,107902815.0,5.12c/d,0.0,1.0,3.8,4.0,"The obvious, usually chalked climb that is nicely overhung on phenomenally generous holds. Crux at the top (first part of climb to huge jug before left facing rail goes around +/- V2/3) like a mega-classic like this one should have.     Top rope through old shuts (careful now!) at the top or highball for fullest value.","{108234115: 4, 107919874: 4, 111814228: 4, 106758116: 3}"
The Chip,107976759.0,Trad,107902875.0,5.6,40.0,1.0,2.5,15.0,"Found left of the chimney of the partially lichen covered wall. An easier crux makes this a nice introduction climb for someone new to the area. Start underneath flake, moving right around flake to ledge, to a nice finger crack crux. Easy finish to chains.","{200777736: 4, 200040702: 4, 200119035: 3, 112086258: 3, 107971932: 3, 112166547: 3, 108234115: 3, 108236993: 2, 107611605: 2, 109079758: 2, 111850228: 2, 105936713: 2, 107379236: 2, 108741916: 1, 112259757: 1}"
Steelworker,107978456.0,Sport,107902875.0,5.11a,40.0,1.0,3.4,13.0,A tricky face climb that requires solid footwork and balance.,"{200040702: 4, 200333235: 4, 200271949: 4, 107919874: 4, 111700670: 4, 108234115: 4, 108741916: 3, 109608414: 3, 112166547: 3, 112086258: 3, 109408103: 3, 106758116: 3, 107971932: 2}"
Taking It Easy,107977787.0,Sport,107902875.0,5.9,40.0,1.0,2.0,14.0,"A slabby climb that requires some solid footwork. Obvious start at bottom, move left and follow bolts to a layback crux after second bolt with an easy finish to chains. Can easily be toproped with direct access to chains.","{107919874: 3, 107971932: 2, 200119035: 2, 112086258: 2, 200040702: 2, 112259757: 2, 106555971: 2, 109079758: 2, 108236993: 2, 109608414: 2, 107611605: 2, 108234115: 2, 108032974: 2, 108741916: 1}"
Darwin's Dilemma,107902859.0,Sport,107902847.0,5.9,30.0,1.0,2.2,21.0,Start off on the horizontal and move up and right through three bolts and a fixed pin. The crux is   after clipping the second bolt.,"{107919874: 4, 105936713: 3, 112259757: 3, 111814228: 3, 112086258: 3, 108234115: 3, 200333235: 2, 200119035: 2, 108032974: 2, 200376120: 2, 112511338: 2, 109079758: 2, 107379236: 2, 111700670: 2, 106555971: 2, 108741916: 2, 106897206: 2, 108236993: 2, 109608414: 2, 106736701: 1, 200040702: 1}"
Flake Accesss,107903176.0,Trad,107902847.0,5.4,0.0,1.0,2.1,7.0,The easiest line up the Main Attraction which can be lead wiggle up the crack and face,"{111700670: 3, 200777736: 3, 107919874: 2, 108032974: 2, 108234115: 2, 200040702: 2, 108236993: 1}"
I Just Can't Wait to be King,107903191.0,Sport,107902847.0,5.8,0.0,1.0,2.5,15.0,"Stay on the face around the corner from Piton Crack. Thin holds, but its slabby. An easy route to the top of Main Attraction.","{107919874: 3, 112086258: 3, 112511338: 3, 106897206: 3, 107611605: 3, 108234115: 3, 108032974: 3, 109608414: 2, 109079758: 2, 112259757: 2, 200040702: 2, 111700670: 2, 106555971: 2, 108236993: 2, 108741916: 2}"
Levitation,107902851.0,Sport,107902847.0,5.10d,30.0,1.0,3.3,14.0,A great route that follows the obvious line near the corner.,"{108234115: 4, 200655724: 4, 200040702: 4, 111574222: 4, 200333235: 4, 109608414: 4, 112259757: 3, 109079758: 3, 111443138: 3, 108741916: 3, 200189646: 3, 200119035: 3, 106897206: 2, 106736701: 2}"
Piton Crack,107903237.0,Trad,107902847.0,5.10,30.0,1.0,3.0,5.0,Follow the crack up to the roof and keep your balance as you pass this crux. Nice trad line...,"{107919874: 4, 106897206: 3, 110811023: 3, 112086258: 3, 112259757: 2}"
Power Play,109496675.0,Sport,107902847.0,5.11a,25.0,1.0,3.7,3.0,Sit start low on the corner. Climb through 3 bolts and some sustained climbing to some chains.,"{200119035: 4, 200655724: 4, 107919874: 3}"
