name,id,parent_id,elevation,latitude,longitude
Rhode Island,106842810,,46,41.807, -71.406
Arcadia Management Area,107478460,106842810.0,200,41.577, -71.71
"The ""Found"" Boulder",107501659,107478460.0,14,41.582, -71.703
"The ""Lost"" Boulder",106895631,107478460.0,301,41.617, -71.766
The Backwoods Wall,107969385,107478460.0,339,41.627, -71.778
Breakheart Ledge,111497453,107478460.0,296,41.608, -71.699
Escoheag,107479939,107478460.0,278,41.585, -71.754
The Escoheag Boulder,107487048,107479939.0,15,41.585, -71.754
The Great Wall,107812018,107479939.0,285,41.586, -71.752
The Long Wall,107812086,107479939.0,,41.585, -71.754
The Mason Boulder,108476422,107479939.0,249,41.587, -71.751
The Overhangs,107487105,107479939.0,362,41.588, -71.756
The Swamp Boulder,107505278,107479939.0,12,41.589, -71.751
The Gnome Boulder,107969440,107478460.0,313,41.617, -71.765
The Hudson Boulder,107480097,107478460.0,257,41.579, -71.702
Mt. Tom,107029590,107478460.0,295,41.57, -71.733
3 Walls,107029755,107029590.0,286,41.571, -71.732
The First Wall (Warm Up Wall),107465551,107029755.0,,41.571, -71.732
The Second Wall,107465555,107029755.0,,41.571, -71.732
Sensational Slab,107465564,107029755.0,,41.571, -71.732
The Upper Wall,107466077,107029755.0,,41.571, -71.732
Wall 3 (Squatch),107465560,107029755.0,,41.571, -71.732
Aretes between Slim Boulder and Small Cave,107029777,107029590.0,,41.57, -71.733
Fat and Happy area,110479453,107029590.0,232,41.57, -71.736
Firewall,107029784,107029590.0,189,41.568, -71.734
Grunge Wall,107618011,107029590.0,25,41.57, -71.733
Halloween,107029812,107029590.0,201,41.568, -71.73
The Hideaway,107421407,107029590.0,343,41.572, -71.734
The Ivy Wall,107029701,107029590.0,13,41.57, -71.734
Main Wall,107029792,107029590.0,,41.57, -71.733
Main Wall,107618002,107029792.0,25,41.57, -71.733
Main Wall Boulder.,107618026,107029792.0,12,41.57, -71.733
Right Side of the Main Wall.,107618014,107029792.0,25,41.57, -71.733
Overlook Roof.,107029802,107029590.0,,41.57, -71.733
RoadSide Wall,107029606,107029590.0,348,41.574, -71.735
SlabTop 40' x 100' +,107029844,107029590.0,,41.57, -71.733
Slim Boulder,107029767,107029590.0,,41.57, -71.732
Small Cave,107029772,107029590.0,,41.57, -71.733
Small Egg Boulder,107029687,107029590.0,279,41.57, -71.733
Trailside  (The Scoop and the Pine Line area).,107029615,107029590.0,282,41.571, -71.734
Walls by Egg Boulder,107029743,107029590.0,,41.57, -71.733
War Zone,110584782,107029590.0,,41.57, -71.733
The Penny Hill Boulders,107533738,107478460.0,283,41.602, -71.731
The Pussy Boulder,107481111,107478460.0,357,41.579, -71.697
Riverbed Boulder,108824895,107478460.0,145,41.577, -71.712
Ballard Park (closed),107114464,106842810.0,29,41.467, -71.323
Beach Pond,106890252,106842810.0,301,41.574, -71.785
Beached Whale,118858747,106890252.0,335,41.57, -71.778
Big 40 Wall,120051405,106890252.0,331,41.573, -71.779
Deadwood,106890530,106890252.0,351,41.569, -71.777
Deep South Caves,118798213,106890252.0,311,41.553, -71.761
Center Cave,118798424,118798213.0,352,41.553, -71.757
Right Cave,118798296,118798213.0,352,41.553, -71.757
Deep South Talus,118660017,106890252.0,311,41.561, -71.77
Middle Cave,118660048,118660017.0,311,41.561, -71.77
Tin Can Boulder,118660036,118660017.0,312,41.561, -71.77
Deep Woods Boulder,118655605,106890252.0,332,41.561, -71.769
Hemlock Ledges,106890255,106890252.0,355,41.569, -71.777
Jungle Pond,119190553,106890252.0,359,41.575, -71.778
Lookout Boulders,118771591,106890252.0,295,41.571, -71.781
Farewell Boulder,116985518,118771591.0,307,41.572, -71.78
FernGully,118635825,118771591.0,311,41.572, -71.781
Mermaid’s Rock,118637499,118771591.0,295,41.571, -71.781
Serpentine,118646067,118771591.0,295,41.571, -71.781
Normandy,107614767,106890252.0,14,41.57, -71.777
North Shore,106890265,106890252.0,301,41.584, -71.806
Mushroom boulder,107805514,106890265.0,,41.584, -71.806
Parking Lot Wall,107774947,106890265.0,307,41.585, -71.805
Prism Boulder,107822735,106890265.0,313,41.584, -71.804
Prow Boulder,107774688,106890265.0,,41.584, -71.806
Rounded Corners Boulder,107822722,106890265.0,311,41.584, -71.804
Outcast Region,119031809,106890252.0,358,41.571, -71.776
Galactic Variant,119036275,119031809.0,347,41.57, -71.776
The Hideout,119032113,119031809.0,357,41.57, -71.776
Razor Twins,119031837,119031809.0,353,41.571, -71.776
Pirate ship wall,107614705,106890252.0,309,41.57, -71.777
Tinder Boulder,116251410,106890252.0,356,41.567, -71.78
Valley of Kings (Pyramid Area),118875200,106890252.0,352,41.567, -71.778
Hobbit Hole,118875206,118875200.0,367,41.567, -71.778
King Tut’s Tomb,118875344,118875200.0,369,41.567, -71.778
Pyramid Boulder,111034962,118875200.0,359,41.567, -71.778
Treasure Trove,118875520,118875200.0,354,41.567, -71.778
Black Hut Boulder,106891059,106842810.0,484,41.986, -71.67
The Buckeye Boulders,107405557,106842810.0,59,41.398, -71.705
The Avacado,108383185,107405557.0,,41.398, -71.705
The Butt Cave,108383069,107405557.0,61,41.398, -71.705
The Elephant Toe,108383115,107405557.0,,41.398, -71.705
Low Life,108383137,107405557.0,,41.398, -71.705
The Midway boulder,108383151,107405557.0,,41.398, -71.705
Carr's Pond Boulders in the Big River Management Area,108282503,106842810.0,398,41.637, -71.561
Connors Farm,111192614,106842810.0,353,41.903, -71.565
The 45s,111192645,111192614.0,,41.903, -71.565
Boulder 1,111192642,111192614.0,,41.903, -71.566
The Cirque,111192623,111192614.0,390,41.904, -71.566
Crocodile Rock,111193235,111192614.0,,41.903, -71.565
Crystal Palace,111192961,111192614.0,,41.906, -71.565
Dragon's Den,111192619,111192614.0,373,41.908, -71.563
The Fortress Area,119031855,111192614.0,352,41.903, -71.565
Fortress of Solitude,111192648,119031855.0,436,41.903, -71.567
Metropolis Boulder,119010902,119031855.0,435,41.903, -71.567
Fox Cave,111192639,111192614.0,,41.903, -71.567
Grandma's House,111216296,111192614.0,,41.909, -71.563
Hawk's Nest,111193199,111192614.0,,41.903, -71.566
Mars Boulder,111221626,111192614.0,,41.909, -71.562
The Roofs,111192627,111192614.0,,41.903, -71.565
Atomic Boulder,111192631,111192627.0,,41.903, -71.565
Talus Roof,111192635,111192627.0,,41.905, -71.565
Second Talus Area,111276974,111192614.0,,41.903, -71.565
The Planetarium,111286912,111276974.0,,41.903, -71.565
S&M Boulder,111277133,111276974.0,,41.903, -71.565
Talus Area,111192968,111192614.0,390,41.904, -71.565
Judgement Rock,111221864,111192968.0,,41.904, -71.565
The Loaf,111218083,111192968.0,,41.904, -71.565
Power Wall,111193215,111192968.0,,41.904, -71.565
Prejudice Rock,111210301,111192968.0,,41.904, -71.565
Pride Rock,111194392,111192968.0,,41.904, -71.565
The Prow,111218110,111192968.0,,41.904, -71.565
The Pyramid,111218117,111192968.0,,41.904, -71.565
Yellow Boulder,111264048,111192614.0,,41.911, -71.563
The De Coppet Estate,111950546,106842810.0,218,41.522, -71.643
The Hillsdale Boulders,112017338,111950546.0,205,41.522, -71.641
Dance Hall Boulder,112017343,112017338.0,218,41.522, -71.643
Old Mountain Rd.,107479493,111950546.0,252,41.538, -71.642
Diamond Hill,112494734,106842810.0,207,42.001, -71.417
Catamint Quarry aka the Ice Cream Slabs,112494745,112494734.0,243,42.001, -71.422
Diamond Hill (closed),112494738,112494734.0,401,41.998, -71.414
Diamond Mine,112494751,112494734.0,387,42.002, -71.429
Lower Zales,112495184,112494751.0,370,42.001, -71.43
The Ramp,112495202,112494751.0,329,42, -71.428
Upper Zales,112495172,112494751.0,398,42.002, -71.427
Warm Up Blob,112495192,112494751.0,260,41.999, -71.427
Zales,112495160,112494751.0,388,42.004, -71.428
Durfee Hill,106845343,106842810.0,522,41.898, -71.791
Fort Wetherill State Park (closed),107119244,106842810.0,64,41.48, -71.365
Lincoln Woods,105913161,106842810.0,215,41.897, -71.434
Africa Boulder,119923019,105913161.0,226,41.899, -71.436
The Alcove,107004881,105913161.0,,41.898, -71.434
Betty Boulder,107004905,107004881.0,,41.898, -71.426
Hole in One Boulder,107004908,107004881.0,,41.898, -71.434
Sickle boulder,118910154,107004881.0,167,41.898, -71.427
Swamp Thing Boulder,107004884,107004881.0,,41.898, -71.427
Ball Buster,108456846,105913161.0,205,41.897, -71.43
Bear Hug Boulder,111404156,105913161.0,201,41.895, -71.433
Best Kept Secret,107696363,105913161.0,11,41.898, -71.431
Beyond Summit Area,111549029,105913161.0,315,41.899, -71.433
Iron Boulder,111549206,111549029.0,314,41.899, -71.433
Perched Rock,111549180,111549029.0,317,41.899, -71.433
Satellite Boulder,111549064,111549029.0,317,41.899, -71.433
The Spaceship Boulder,111549033,111549029.0,310,41.899, -71.433
Buddy Boulder,108456864,105913161.0,226,41.897, -71.432
Busy Child Boulder,106841828,105913161.0,,41.898, -71.434
Cloud's Rest Boulder,111404432,105913161.0,302,41.902, -71.438
The Coffin Boulder,116784610,105913161.0,168,41.898, -71.429
Coke Bottle Boulder,107942612,105913161.0,,41.895, -71.433
Dam Boulders,106841881,105913161.0,,41.898, -71.434
Dam Prow,106895776,106841881.0,,41.898, -71.434
Dam Wall,106895771,106841881.0,,41.898, -71.434
Far Dam,106895786,106841881.0,,41.895, -71.425
Near Dam,114039540,106841881.0,231,41.895, -71.428
Second Prow,106895779,106841881.0,,41.898, -71.434
Egg Swamp,117913298,105913161.0,269,41.902, -71.435
The Egg,106834282,105913161.0,246,41.901, -71.436
Font Boulder,106841843,105913161.0,,41.898, -71.434
Fox Den,117828567,105913161.0,250,41.902, -71.436
Fred Boulder,106841877,105913161.0,220,41.898, -71.435
Goat Rock,112474699,105913161.0,165,41.899, -71.427
Great Slab / Wave Boulder,106731151,105913161.0,212,41.896, -71.434
Green Drool,112045479,105913161.0,216,41.893, -71.432
Heart Boulder,106729773,105913161.0,222,41.899, -71.435
Hidden Boulders,111577028,105913161.0,254,41.894, -71.439
The Blank Boulder,111577036,111577028.0,258,41.894, -71.439
Pyramid Boulder,111577033,111577028.0,257,41.894, -71.439
Horse Cave,106720304,105913161.0,,41.899, -71.438
Improbable Boulder,106841874,105913161.0,,41.898, -71.434
Lake Side Boulder,107942655,105913161.0,204,41.894, -71.431
Little Tomato,106884347,105913161.0,225,41.897, -71.432
Lodi's Warmup,107990037,105913161.0,,41.898, -71.434
Lost Crag Area,112496244,105913161.0,223,41.898, -71.43
Dream Time Boulder,111549312,112496244.0,223,41.898, -71.43
Earthmover Wall,112496253,112496244.0,227,41.898, -71.43
Lost Crag,107446228,112496244.0,,41.898, -71.429
Lower Heart,106841850,105913161.0,,41.899, -71.435
The Mines of Moria,117888681,105913161.0,280,41.902, -71.437
Mold Boulders,118136167,105913161.0,86,41.897, -71.42
Northwest Area,112496235,105913161.0,292,41.904, -71.439
The Belief Boulder,111404905,112496235.0,222,41.905, -71.438
Comealong Boulder,111404351,112496235.0,311,41.903, -71.44
Joe's Little Secret,111404120,112496235.0,212,41.905, -71.439
Little Bits Boulder,111404322,112496235.0,304,41.903, -71.44
Parking Lot Boulders,111495532,105913161.0,213,41.896, -71.436
Parking Lot Boulder B,111495585,111495532.0,220,41.897, -71.436
Parking Lot Boulder C,111495701,111495532.0,212,41.896, -71.436
Parkling Lot Boulder A,111495536,111495532.0,214,41.896, -71.436
Peace Dove Area,112496211,105913161.0,243,41.895, -71.43
Jesus Loves You Boulder,107364117,112496211.0,,41.895, -71.43
Peace Dove Boulder,106729907,112496211.0,244,41.895, -71.43
Poison Ivy Wall,112512126,105913161.0,143,41.9, -71.426
Pond Cave Area,112540800,105913161.0,192,41.905, -71.436
Chromatic Ribbon Boulder,119007466,112540800.0,187,41.905, -71.436
Fatboy Boulder,106912822,112540800.0,,41.905, -71.435
Fish and Chips wall,107422332,112540800.0,,41.905, -71.436
Hurricane Boulder,117746426,112540800.0,190,41.905, -71.435
Pond Cave,106832970,112540800.0,15,41.905, -71.436
Pond Cave Parking Boulder,111404826,112540800.0,195,41.905, -71.438
Talus Boulder,106912889,112540800.0,,41.905, -71.435
Potato Boulder,117952938,105913161.0,228,41.901, -71.436
The Quarry Boulder,111404401,105913161.0,260,41.902, -71.437
Roadside Attraction,111495376,105913161.0,237,41.897, -71.432
Ship's Prow,106882671,105913161.0,230,41.896, -71.433
Sit Down area / Druid's Circle,106721481,105913161.0,254,41.903, -71.434
Backside Boulder,112549147,106721481.0,256,41.903, -71.434
Beehive Boulder,111598724,106721481.0,254,41.903, -71.434
Lower Boulders,111598771,106721481.0,248,41.903, -71.434
The Pedestal Boulder,108192909,106721481.0,252,41.903, -71.434
Shin Buster Boulder,112507321,106721481.0,256,41.903, -71.434
Layback Face,112507328,112507321.0,256,41.903, -71.434
Shin Buster Face,109611703,112507321.0,256,41.903, -71.434
Split Rock,108192955,106721481.0,256,41.903, -71.434
Street Side,111598744,106721481.0,254,41.903, -71.434
Slick 50 and Whale Area,112540776,105913161.0,212,41.895, -71.432
Captain Ahab Boulder,111495294,112540776.0,216,41.895, -71.432
The Gift,111495265,112540776.0,202,41.895, -71.432
Slick 50 Boulder,111243395,112540776.0,216,41.895, -71.432
The Whale Boulder,112540780,112540776.0,213,41.895, -71.432
Suicide Boulder,106890152,105913161.0,,41.897, -71.434
Summit / Pinnacle Boulders,106833047,105913161.0,,41.898, -71.434
The Pinnacle,106833050,106833047.0,,41.898, -71.434
Summit Boulders,106833053,106833047.0,,41.898, -71.434
Super Crack 2 Area,112512211,105913161.0,226,41.9, -71.429
Bowling Pin Boulder,112512224,112512211.0,226,41.9, -71.429
Bowling Pin Roof,112513471,112512211.0,226,41.9, -71.429
Easy Wall,112512268,112512211.0,226,41.9, -71.429
Loadies Slabs,112512274,112512211.0,228,41.9, -71.429
Stallion Boulder,112512230,112512211.0,226,41.9, -71.429
Super Crack 2,106886220,112512211.0,,41.9, -71.429
Upper Wall,112512234,112512211.0,226,41.9, -71.429
Vatican,112512264,112512211.0,239,41.9, -71.429
Super Crack I Area,114087227,105913161.0,246,41.902, -71.431
Tomato Boulder,107696329,105913161.0,278,41.898, -71.433
The Tombstone,106705264,105913161.0,,41.895, -71.437
Triangle Boulder,111495406,105913161.0,223,41.897, -71.432
Try Again Boulder,106666184,105913161.0,215,41.896, -71.432
