name,id,type,area_id,grade,height,pitches,score,votes,description,star_ratings
Corner slab,107516891,Boulder,107501659,V0,12,1,1.6,8.0,"Grab what ever you can to get your feet on and reach up for small ""ear"" hold, move up to cracks, reach for the top... You need to warm up on something...","{106554217: 3, 200457009: 3, 107540375: 2, 108425859: 2, 107487549: 1, 105885115: 1, 107382900: 1, 109804610: 1}"
Crimps Rule Everything Around Me,110977618,Boulder,107501659,V7,0,1,2.5,2.0,Sit start as for treehugger sit and traverse right across very sharp crimps and finish flake problem. Lucy has the FA so problem is more around V9+,"{200287589: 3, 109021679: 2}"
Dana's Highball,107513151,Boulder,107501659,V1-2,6,1,2.3,10.0,"Sit down on the left side of the arete on the low south west corner, feet on the crystals out left, right hand on the arete and left high on the good flake. Pull on and step the left through to the dish then heel hook with the right. Pop for the good hold up and right over the lip. Top out. Better and harder than it looks","{109804610: 4, 111783002: 3, 106554217: 3, 200523816: 2, 200457009: 2, 105885115: 2, 108425859: 2, 107540375: 2, 107382900: 2, 200155321: 1}"
Fight The Right,107889516,Boulder,107501659,V4,14,1,2.3,3.0,Start left hand on the highest hold on the arete on temperance and right on the lousy sidepull that appears to be whats left from a broken left start hold of leprechaun hunt and dyno to crack in prow. Harder to get setup for the dyno than the dyno itself.,"{109804610: 3, 107889393: 2, 109648338: 2}"
Flake Problem,107511613,Boulder,107501659,V0,12,1,2.4,7.0,"On the trail side, below the bridge tree, is a nice big right facing sidepull at head height. Use it to pull on, adjust your feet and move out right to a good edge in the seam. Top out just right of the tree bridge. ","{109804610: 4, 107540375: 3, 109648338: 3, 108425859: 2, 200457009: 2, 106554217: 2, 105885115: 1}"
Hroo?  (Hroom SemiDirect),107513172,Boulder,107501659,V4,14,1,2.5,2.0,"Same as Hroom, but half way out the traverse head straight up where a little vertical seam is, using a good sidepull pod in it (same finish as Leprechaun Hunt).","{106554217: 3, 105885115: 2}"
Hroom,107506694,Boulder,107501659,V5,14,1,2.0,3.0,"On the west side of the boulder there are two seams leading up and left. Start with both hands on the lower one, feet on and pop to the upper seam with the right hand. Finger traverse left along the seam across the top of the overhanging face to the prow and top out as for Temperance. (The grade is a bit easier if you are tall enough to reach your feet all the way down to the big flake. Keep off it if you want to keep it pure and more pumpy) The name is from Treebeard","{105885115: 2, 107382900: 2, 106554217: 2}"
Leprechaun Hunt,107516746,Boulder,107501659,V5,14,1,2.0,3.0,"Use two small crimps to stand on lower block... Right toe in good jug, lean out on left crimp and fire right to good hold in seam. Topout straight up using vertical incut crimp. (Circus trick type of boulder problem)","{107487549: 2, 107382900: 2, 109648338: 2}"
Lick the Bag,107537044,Boulder,107501659,V4,0,1,2.4,9.0,2 crimps to start.  Move up and left using tricky foot beta.  Finish right of crack,"{200070186: 4, 109804610: 3, 200523816: 3, 107382900: 2, 106554217: 2, 108168043: 2, 109648338: 2, 200457009: 2, 200155321: 2}"
Sit to the Crack,107511567,Boulder,107501659,V2,8,1,1.5,4.0,"On the left side of the south face, sit start below and left of the short vertical crack, left hand pinching the mini arete, right where you wish. Pull on, bump or go all the way into the crack. Top out. You can make an eliminate variation avoiding the crack and using the face holds to its left.","{200523816: 3, 105885115: 1, 106554217: 1, 108425859: 1}"
